Vessel Name: 143B-ATF4-reporter-low_p1
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/23/2022 11:00:00 PM	0	1255969	1906907	1143466	1222213	1314929	1288762	1269983	1296657	1271858	1280295	1226297	1140683	1478028	1492891	1201741	1395382	1285388	1263826	1298441	1196677	1608470	1343553	1142553	1128551
1/24/2022 12:30:00 AM	1.5	1186639	1403192	997745.3	1098266	1153992	1119839	1124835	1163059	1246961	1172487	1173250	1097198	1326114	1298987	1009087	1188812	1192956	1142889	1192993	1118731	1543018	1197303	1027410	1019403
1/24/2022 2:00:00 AM	3	1219916	1216257	1001554	1063473	1105050	1067896	1084444	1113738	1202940	1146973	1134026	1121324	1237039	1282094	952443.6	1130005	1159596	1168539	1174398	1073126	1480412	1150660	1000636	1025231
1/24/2022 3:30:00 AM	4.5	1135278	1151147	981561.6	1052381	1018602	1034877	993961.9	1045603	1095982	1081907	1080363	1164285	1242578	1226656	983283.9	1105815	1066149	1124943	1080441	1051396	1465418	1097002	995497.1	915403.6
1/24/2022 5:00:00 AM	6	1103298	1065589	991712	1038855	904362.4	973234.7	925228.1	1039299	1005823	1036756	1097306	1053175	1195184	1132621	946640.1	1112823	1009982	989515.8	1052026	997476.1	1251148	1074949	929195.9	850726.8
1/24/2022 6:30:00 AM	7.5	1041135	1063922	954824	1007109	866674.8	903293.1	863644.3	972783.8	907702.8	938952.9	1014376	1063256	1151260	1071590	844962.3	1115624	942793.1	962097.8	977515.3	953577.7	1203184	894137.1	940560.7	781513.7
1/24/2022 8:00:00 AM	9	1002456	951202.3	852189.1	1009794	770973.1	752750.6	776276.3	823437.9	851774.1	969861.3	926182.9	893546.8	1084030	994617.6	811207.8	1039616	920785.6	908319.5	882063.8	916671.3	1099160	836714.5	887152.4	768247.8
1/24/2022 9:30:00 AM	10.5	930650.3	940251	854406.2	909288.8	741017.6	770770	750743.3	833862.8	869197.6	915333.8	816210.8	834928.5	978870.9	912315.4	752642.9	969496.9	859636.3	846787.1	780561.6	783497.8	862572	822000.1	781941.4	699567
1/24/2022 11:00:00 AM	12	825101	856309.9	813858.5	885704.4	700120.6	688516.9	692513.1	714181.9	791632.8	783617.1	793162.8	788073.8	975716.3	869194.9	729825.1	908325.7	801141.1	819000.3	761732.6	755977.7	778746.7	813045.3	801973.6	665960.5
1/24/2022 12:30:00 PM	13.5	801944.3	822334	842995.8	876834.9	668664.2	648230.3	648305	678996.1	756487.2	740035.3	772535.3	778699.3	921941.8	792818.7	647165.8	882703.6	758245.1	753060.9	735285.4	753943.1	743425.5	774562.3	751234.9	631933.3
1/24/2022 2:00:00 PM	15	868268	892321.1	830106.1	893259	635932.4	605884.9	636788.9	682105.7	758158.6	706047.8	742314.3	777521.1	888171	732603.1	651981.4	820039.2	771425.4	730708.4	725052.7	724916.8	809205.4	778965.1	740347.1	620130.4
1/24/2022 3:30:00 PM	16.5	799533.9	862658.1	766927.8	845326.2	632503.5	604539.7	629196.8	660816.6	720383.9	705539.8	724184.8	820862.1	826181.8	758036.3	616489.2	834589.8	772685	725455.9	682189.8	721501.4	678614.8	712875.9	731733	589401.1
1/24/2022 5:00:00 PM	18	856693	820448.8	730691.6	846147.1	642224.7	612641.6	626777.6	613943.8	702782.3	725126.4	742303.3	837692.6	816047.4	774359.1	614356.6	780368.1	740053.1	753535.1	633820.3	735075.3	683447	697129.8	707066.2	636089.4
1/24/2022 6:30:00 PM	19.5	907035.9	843041.1	693729.8	835636	705076.3	634136.8	613242.3	678929.3	692998.6	751748.8	760872.9	865443.3	740818.6	768818.6	595435.2	794972.6	701905.8	757850.8	621410.2	700868.1	692207.9	723982.8	716728.8	628741.8
