Vessel Name: 143B-ATF4-reporter-low_p6
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/24/2022 12:00:00 AM	0	1040531	811745.4	930076	960955.8	1083596	993446.8	884362.8	1000990	937194.8	769928.4	1020474	1049319	880689	1007697	951356.3	1056587	990103.9	1120272	932359.3	1121725	1029518	1141261	1045738
1/24/2022 1:30:00 AM	1.5	1019641	860765.6	888073.3	917053.7	1093071	960451.6	881722.3	963026.8	1113438	935279.1	1138260	1008044	884385.6	1032968	972088.8	1060972	936534.9	1036001	964091.7	1072997	932618	1060346	997293.3
1/24/2022 3:00:00 AM	3	1004739	811013.9	854447.3	883539.6	1042273	972412.9	891747.4	951049.4	1324018	1245314	1533691	1047500	932332.1	1027146	937848.7	1046846	924243.8	1052292	947045.9	1043318	930144.7	1060076	959224.8
1/24/2022 4:30:00 AM	4.5	964923.4	801470.1	781649	871891.8	1034665	979992.3	859164.3	959153.8	1653938	1452016	1901010	1133446	1014741	1080222	1060649	1085829	893966.8	1028586	938568.9	1049965	915502.5	1019792	910676.3
1/24/2022 6:00:00 AM	6	908841.4	729406.4	842514.1	838924.1	974663.7	996135.7	855694.8	873845.6	1822062	1588545	2058531	1137054	1110388	1123657	1142171	1019802	866984.4	940784.4	867794.3	1007884	906364.8	961872.3	833157.9
1/24/2022 7:30:00 AM	7.5	868994.2	657593.4	870582.7	759510.6	875763.6	1018761	818963.6	855136.2	1856987	1840824	2050021	1224139	1139265	1101030	1098327	959972.3	918026.2	899067.3	779886.1	962106.7	855106	924387.7	797177.8
1/24/2022 9:00:00 AM	9	829763.9	580734.1	750939.5	700770.1	792342.4	908619.9	681685	916819.6	1800081	1752177	2030241	1209122	1161598	1098330	975055.3	891124.3	908414.5	877748.5	727272.3	945326.9	802421.8	821540.3	724603
1/24/2022 10:30:00 AM	10.5	809051.8	585102.9	703930.9	657981.8	766907.3	832599.3	668802.2	831547.3	1820192	1648087	2083475	1158342	1143478	1102773	1108905	890889.3	855450.9	803730.8	673028.3	902355	753198.3	791628.9	680120.8
1/24/2022 12:00:00 PM	12	766331.3	543815.8	615465.2	610871	780013.4	802195.6	619487.8	759548.4	1853601	1617193	1985380	1073118	1164547	1157478	986908.6	832263	825370.4	840095.5	606433.8	822959.5	647497.1	745711.8	621610
1/24/2022 1:30:00 PM	13.5	777215.6	474631.4	610587.8	578774	729759	860142.1	616977.3	716882.8	1728116	1580613	1953977	1093415	1165049	1122757	971561.4	802714.3	799698.3	790552.6	576517.9	845945.8	636346.3	762347.3	574974.7
1/24/2022 3:00:00 PM	15	693935.8	445684.3	581977.4	565324.8	735742.5	876057.9	628295.1	658439.4	1709413	1551098	1831683	1079596	1201774	1020596	999288.1	795938.3	814684.2	747314.3	560175.6	813892.6	674080.4	706594.3	568233.1
1/24/2022 4:30:00 PM	16.5	734982.3	453219.8	589882.1	547949	769479.6	806422.1	620556.4	666927.7	1617689	1538311	1803474	1123894	1079874	1104224	979802.8	883658.6	773786.6	783663.3	590556.5	770252.3	631792.8	677832.4	570218.6
1/24/2022 6:00:00 PM	18	738575.6	439130.6	585936.6	552524.3	730836.3	830972.6	659297.1	679728.3	1563792	1488372	1819568	1164123	1128716	1078394	921686.9	980618.1	765482.5	833758	643271.8	801147.3	623742.9	636908.5	590252.2
1/24/2022 7:30:00 PM	19.5	707882.7	483457.2	601973.7	530309.8	836993.4	785471.1	628506.8	684481.9	1628816	1522793	1730210	1236573	1176962	1118966	937525.8	964567.7	808445.5	944125.6	692397.3	799218.3	641449.1	636943.8	606827.8
