Vessel Name: 143B_ATF4-rep-low_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	A6	B6	C6	D6
2/3/2022 3:12:00 PM	0	960329.7	950618.8	1063286	910132.4	913195.4	995859.3	830436.2	972983.7	839052.3	1168757	930460.8	963223.7	865188.7	921249.8	910601	1060533	914651.7	1075156	990768.3	1155794	1282292	1027516	1174826
2/3/2022 4:42:00 PM	1.5	895603.6	917548.1	1018760	865697.3	848263.1	936960	795665.1	913290.5	862660.5	1149806	856653.9	873039.8	829058.1	886766.1	777363	947505.3	841903.4	1074552	937602.1	1052729	1252450	985715	1177974
2/3/2022 6:12:00 PM	3	891519.3	920284.3	1039596	888346	892642.9	976872.3	817500.1	947093.6	839209.8	1146421	829418.1	886772.6	869891.4	934696.6	789389.1	923437.1	888918.3	1133922	974289.8	1181339	1204172	1010047	1217504
2/3/2022 7:42:00 PM	4.5	1068422	1107565	1191903	996193.1	909173.8	1036547	867607.3	895968.9	851747.8	1107871	789548.7	930788.3	864388.8	879102.6	810643.6	939166.7	905416.3	1082612	919407.8	1168701	1223601	1057583	1266387
2/3/2022 9:12:00 PM	6	1495565	1390858	1507100	1251564	1101525	1198701	1057741	1069111	893690.3	1132068	821963.7	922452.3	911092.4	911934.9	845464.1	1012555	928397.2	1118561	964245.3	1117445	1235351	1107229	1333102
2/3/2022 10:42:00 PM	7.5	2033631	1900371	1872520	1551779	1406422	1592539	1348863	1406993	1024669	1277223	905204.9	989880.8	954200.3	973856.7	921402.5	993642.1	1000281	1170785	993921.6	1069503	1234900	1161326	1318643
2/4/2022 12:12:00 AM	9	2487159	2372888	2313528	1857377	1894715	1995867	1792106	1812707	1192112	1485877	1133564	1215665	969652.7	1014071	949451.3	1042838	1031627	1301516	983728.8	1080368	1372779	1167483	1331458
2/4/2022 1:42:00 AM	10.5	2934845	2706216	2662432	2346105	2273724	2472793	2182963	2243176	1511965	1834053	1376064	1536062	1108571	1209312	1096117	1060974	1129795	1343929	973442.8	1150699	1411566	1250385	1390547
2/4/2022 3:12:00 AM	12	3354870	3224329	3127785	2728535	2677835	2985489	2696639	2682060	1712925	2125832	1694512	1850589	1258681	1403567	1232301	1232093	1230251	1430021	1073214	1229631	1476040	1310652	1413992
2/4/2022 4:42:00 AM	13.5	3738265	3568960	3587204	3111513	3198277	3436175	3191651	3040935	1990393	2423412	2049613	2174252	1414009	1605182	1456939	1415243	1387916	1533791	1209216	1338123	1582728	1424435	1481479
2/4/2022 6:12:00 AM	15	4176200	3973438	4091785	3476963	3604288	4008372	3573469	3457333	2282477	2893271	2327209	2454051	1570414	1873562	1690889	1595588	1592200	1687283	1391647	1463055	1693022	1500558	1598368
2/4/2022 7:42:00 AM	16.5	4649281	4415389	4586293	3852927	3999825	4498252	3962762	4034616	2716940	3271669	2701691	2673550	1824750	2202385	1938074	1808847	1768061	1916706	1635039	1606131	1804973	1589772	1857165
2/4/2022 3:52:00 PM	24.6666666666667	7254489	7223247	7451829	6214352	7293957	7872403	7296148	6994181	5321657	6570938	5342337	5487598	3654062	4025303	3718597	3364655	3396601	3693805	3472328	3445440	3692887	3060283	3588999
