Vessel Name: 143B_ATF4-rep-low_p3
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	A5	B5	C5	D5	A6	B6	C6	D6
2/3/2022 3:24:00 PM	0	849593.3	861481.1	1005453	738832.3	933562.4	1066738	872297.9	767102.1	868738.4	731791.3	898032.6	909092.8	980425.9	874651.1	896974.6	1046047	926216	960733.4	845906.4	1152379	997774.3	1652173	976793.7
2/3/2022 4:54:00 PM	1.5	1002450	974720.8	1106951	796300.7	975176.1	1218361	924485.7	782001.3	985335.4	868360.9	908389.9	951565.3	1044597	1013871	997024.1	1098977	1023657	1054057	911308.3	1066019	987065.8	1600707	1013039
2/3/2022 6:24:00 PM	3	1414202	1454714	1518903	1225900	1430278	1683780	1387499	1154741	1421249	1236044	1314621	1259592	1434645	1436716	1374342	1536967	1566340	1450818	1395598	1072330	995389.3	1648622	1030755
2/3/2022 7:54:00 PM	4.5	2188932	2173918	2197959	1941828	2034779	2413635	2091632	1719940	1934772	1998612	1853468	1867244	1980378	2117681	1962957	2200700	2237112	2086833	2084051	1107927	1020624	1644285	1085767
2/3/2022 9:24:00 PM	6	2925028	2932061	2928110	2630610	2729682	3084302	2676737	2272134	2534103	2726436	2425349	2566898	2471633	2684756	2537065	2807510	3022925	2565889	2804847	1081446	1019574	1623563	1091120
2/3/2022 10:54:00 PM	7.5	3821565	3758693	3660069	3407435	3454237	3807145	3402949	2856401	3183450	3454318	3011351	3253769	3047418	3397333	3170948	3511089	3749845	3167675	3544394	1110126	1092619	1672280	1158558
2/4/2022 12:24:00 AM	9	4645946	4527556	4452774	4181369	4067262	4557830	4179789	3629316	3921029	4186086	3607832	3946033	3699034	4083563	3771208	4164817	4548294	3779465	4170652	1122051	1145032	1673060	1115918
2/4/2022 1:54:00 AM	10.5	5656153	5399573	5274886	4953303	4866910	5252429	4939611	4363034	4744700	5088823	4392500	4657888	4383962	4892305	4365697	4905571	5308886	4388958	4909415	1148249	1213157	1711483	1125412
2/4/2022 3:24:00 AM	12	6725393	6186797	6258758	5701841	5719242	6258394	5847414	5242924	5600535	5943887	5117294	5592672	5204478	5867459	5060022	5770220	6130900	5130088	5801424	1150751	1284962	1794288	1123653
2/4/2022 4:54:00 AM	13.5	7757712	7138570	7261850	6623737	6440291	7318862	6780973	6139878	6416140	6841558	5971198	6396123	5985615	6799074	5858706	6561712	7033610	6021789	6830281	1232287	1427052	1940605	1222450
2/4/2022 6:24:00 AM	15	8898207	8253435	8500084	7600136	7664112	8192540	7704262	6900226	7288335	7887830	6828335	7286626	6940187	7867598	6774844	7537198	8006598	6911645	7756767	1281926	1537038	1951978	1224513
2/4/2022 7:54:00 AM	16.5	9917097	9555323	9818326	8733621	8552346	9391281	8963379	8030662	8270348	8924805	7984294	8329001	7881822	9051271	7886772	8416793	9014104	7747855	8901866	1357148	1698872	2106050	1316098
2/4/2022 4:04:00 PM	24.6666666666667	1.712545E+07	1.681116E+07	1.656956E+07	1.573448E+07	1.552004E+07	1.691589E+07	1.614116E+07	1.464759E+07	1.500139E+07	1.667575E+07	1.458575E+07	1.491915E+07	1.4198E+07	1.588161E+07	1.513407E+07	1.451178E+07	1.583996E+07	1.399788E+07	1.547156E+07	2790156	3441817	3639645	3034204
