Vessel Name: 143B_ATF4-rep-low_p4
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
2/3/2022 3:36:00 PM	0	884738.5	890579	817950.6	896342.8	991866	814711.9	892629.3	856225.9	897419.2	996289.9	1001460	879828.4	780376.7	680383.9	775343.1	885128.4	832505.8	907910.1	969283.3	1112657	1001381	977246.3	800439.3
2/3/2022 5:06:00 PM	1.5	912600.8	940895.6	786396.8	846714.6	911593.1	739157.6	848487.5	815947.6	853002.7	919365.8	938363.4	843724.3	717315.5	665463.2	742954.8	937231.8	791256.5	865600.1	905694.3	1160590	965456.3	951460.7	787448.6
2/3/2022 6:36:00 PM	3	947890.6	921837.3	872991.3	870861.9	895156.6	726393.4	787732.8	805595.6	801611.8	865380.2	905297.3	782148.1	736311.3	695541.3	724738.3	843532.5	787126.5	848629.3	871138.1	1153268	965045.8	962381.8	772882.8
2/3/2022 8:06:00 PM	4.5	1124262	1026554	1055418	943693.9	877553.8	780620.3	888252.4	817244.3	803029.3	876826.7	873905.1	780737.5	701628.6	670992.3	708632.4	814735.9	820272.8	887367.6	910379.9	1203723	983881	974755.4	821760.9
2/3/2022 9:36:00 PM	6	1239580	1159673	1255516	1154647	979048.3	791096.3	960665	839419.4	769066.9	883160.3	830102.3	762747.8	685778.3	665797.4	684572.3	831558.2	872549.8	919423.2	915483.8	1210240	980466.6	958706.4	848692.7
2/3/2022 11:06:00 PM	7.5	1457002	1428497	1542365	1390499	1038557	931229.6	1062123	934238.6	795491	901012.4	818780.9	784438.6	748103.4	667710.1	687903.3	884248.9	853564.8	919631.3	926276.7	1190184	1052786	1039813	850571
2/4/2022 12:36:00 AM	9	1598625	1725920	1674761	1566108	1203280	1075638	1265623	983312	862006.8	957244.9	831691.9	809626.7	831885	687511.9	702557.3	886552.1	874906.6	933659.6	961038.6	1236731	1055564	984796	890550.9
2/4/2022 2:06:00 AM	10.5	1881805	1961228	1824097	1785997	1263549	1208647	1379509	993047.4	963412.6	935078.1	830085.9	829745.3	891586.4	705348.3	744208.3	955606.7	891486.6	1000185	1027820	1287765	1106367	1086313	841389.5
2/4/2022 3:36:00 AM	12	2036477	2107343	2009689	1969845	1415435	1438780	1454409	994619.3	1035383	957713	827303.3	827811.3	905172.3	714515.9	808871.3	985263.4	932386	1095678	1099018	1317187	1110465	1070823	876825.4
2/4/2022 5:06:00 AM	13.5	2219339	2347017	2222162	2197437	1532824	1596418	1668166	1030795	1035117	1054716	854077.8	906473.8	910370.4	732339	836803.3	1010005	998913.7	1203778	1221311	1364598	1154857	1133906	944773
2/4/2022 6:36:00 AM	15	2397433	2596587	2456951	2496123	1527907	1763130	1716163	1106642	1135827	1155299	935735.9	1070958	951395.6	800637.6	867458.7	1085615	1060189	1296609	1285772	1466522	1253384	1202106	992396.3
2/4/2022 8:06:00 AM	16.5	2419464	2847975	2784781	2602515	1634013	1969209	1931235	1165395	1301199	1241566	1073374	1167757	1059882	886526.3	1066555	1200348	1252716	1500997	1411564	1588822	1432689	1299786	1127287
2/4/2022 4:16:00 PM	24.6666666666667	3811509	4270890	4274061	3936528	2616851	3458689	3244703	2372373	2532795	2305201	2326252	2223235	2595991	1908291	2189044	2426783	2815630	2674956	2576677	2998997	2795514	2887432	2288276
