Vessel Name: 143B_ATF4-rep-high_p4
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
3/14/2022 5:30:00 PM	0	8068430	9267749	9940386	8576742	7682261	9057208	9526372	9580590	7852982	8956602	9163797	1.063937E+07	9104741	9011546	9034011	9600958	8580015	7754045	9600186	8321441	8366251	7809498	8225846	8079131
3/14/2022 7:00:00 PM	1.5	7010657	8505252	8407279	7921688	6954795	8165487	8674732	8540284	6952582	8181913	8515670	9258026	8476155	7953852	8087680	8814826	7783480	7278510	8651073	7673192	7585577	7103512	7617869	7544269
3/14/2022 8:30:00 PM	3	6520839	7338583	7602544	7633640	6217711	7600196	8115118	7791526	6267848	7542603	7463481	8329774	7648859	7438873	7175228	7921526	7026707	6541473	8114844	7214046	6849457	6284303	6858171	6914342
3/14/2022 10:00:00 PM	4.5	5964166	6682740	6953101	6832215	5824707	6943308	7370982	7542741	5817970	7152977	6861973	7257989	7059126	7117787	6318804	6777705	6455926	6384373	7890581	6819269	6470003	5742390	6157187	6734772
3/14/2022 11:30:00 PM	6	5345574	6346495	6254902	6395988	5940939	6380086	6922081	6803989	5518877	6809582	6710488	6545414	6652998	6746252	5940371	6520026	5988234	6034819	7521526	6469305	6048529	5093953	5984341	6350216
3/15/2022 1:00:00 AM	7.5	4965861	5622946	5800766	5589444	6056059	6043927	6366366	6895409	5154362	6584740	6475118	6313501	6210590	6464895	5595285	6097888	6024122	5921706	7275367	6487386	5741041	4945501	5905262	6226815
3/15/2022 2:30:00 AM	9	4776090	5427039	5361712	5255127	6328946	5943802	5931330	6558130	5183416	6151713	6141635	5836016	6164853	6245100	5084037	5996554	6078198	6257327	7187421	6504273	5851193	5079890	5812002	6314935
3/15/2022 4:00:00 AM	10.5	4703105	5516726	5551246	5218258	6659561	5803817	5552930	6496950	5203341	5809429	5774519	5563335	6424042	6323250	4961624	5909718	6735801	6505017	7018768	6908661	6167384	5084865	5918839	6146222
3/15/2022 5:30:00 AM	12	5061178	5546530	5546334	5474490	7023958	6222420	5256646	7003274	5672601	5622614	5639594	5656794	6876945	6685082	4966024	6160572	6944265	6505970	7273615	7717622	6460726	5304909	6324807	6582438
3/15/2022 7:00:00 AM	13.5	5414214	5889974	5885714	5780441	7645364	6476059	5328809	7556838	5922450	5612814	5564074	5909317	7356842	6877399	4946202	6766654	7613905	7061604	7403523	8049570	7059294	5694145	6841489	7068028
3/15/2022 8:30:00 AM	15	5782288	6676530	6336788	6256970	8519680	7440802	5603572	8165188	6465722	5858583	5628641	6218969	8185990	7379182	5282798	7301429	8698421	7787113	7894525	8879066	7824727	6463387	7491024	7749527
3/15/2022 10:00:00 AM	16.5	6725818	7314918	6698407	7124097	9591817	7568065	6043730	8864937	7041498	6392119	5844016	6627853	9363918	8342464	5516308	8351702	9458052	8692669	8427316	9751267	8725190	7490786	8515994	8405847
3/15/2022 11:30:00 AM	18	7423189	8432788	8030366	8118621	1.091245E+07	8499792	6293983	1.022285E+07	7713611	6903788	5891992	7251422	1.051091E+07	8808344	5702958	9206658	1.069284E+07	9534783	9291999	1.051721E+07	9621678	8038132	9344925	9965612
3/15/2022 1:00:00 PM	19.5	8392574	9536113	9281857	9051417	1.24594E+07	8878396	6881382	1.088671E+07	8893498	7495744	6119848	8279097	1.201771E+07	9727506	6332478	1.07799E+07	1.174826E+07	1.022926E+07	9657212	1.192802E+07	1.052629E+07	9437768	1.017512E+07	1.107602E+07
3/15/2022 2:30:00 PM	21	9786596	1.096079E+07	1.030689E+07	1.024487E+07	1.392139E+07	9688284	7313240	1.219359E+07	1.018165E+07	8066854	6910158	9343374	1.375162E+07	1.050029E+07	7178331	1.221887E+07	1.285313E+07	1.11274E+07	1.046944E+07	1.304358E+07	1.162156E+07	1.069375E+07	1.167326E+07	1.275672E+07
3/15/2022 4:00:00 PM	22.5	1.134925E+07	1.221272E+07	1.204957E+07	1.141136E+07	1.582004E+07	1.041307E+07	8554271	1.342799E+07	1.116389E+07	8864322	7440806	1.073849E+07	1.565334E+07	1.168441E+07	8219070	1.468648E+07	1.491427E+07	1.304125E+07	1.12065E+07	1.477812E+07	1.349297E+07	1.211444E+07	1.298778E+07	1.43831E+07
