Vessel Name: 143B_ATF4-rep-high_p3
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	D3	A4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
3/14/2022 5:20:00 PM	0	7016407	6574588	7024098	6700298	6674666	7989047	7064727	6805330	6954749	7207781	7834361	7566110	6886000	6766902	7092458	7511760	8216322	7540916	6513000	6397037	5766351	5747715
3/14/2022 6:50:00 PM	1.5	1.043199E+07	1.026244E+07	1.099163E+07	1.121375E+07	9299517	1.0876E+07	9461005	9990944	9661802	1.01036E+07	1.040586E+07	1.09898E+07	9673478	9707468	1.0588E+07	1.132572E+07	1.194119E+07	1.118053E+07	6461354	6260217	5396664	5534393
3/14/2022 8:20:00 PM	3	1.878046E+07	1.830512E+07	1.968409E+07	2.035255E+07	1.531281E+07	1.647851E+07	1.456691E+07	1.583986E+07	1.525254E+07	1.591283E+07	1.532991E+07	1.662288E+07	1.42682E+07	1.536723E+07	1.742488E+07	1.885956E+07	1.918696E+07	1.870847E+07	6470288	6032891	5227274	5306906
3/14/2022 9:50:00 PM	4.5	2.829341E+07	2.82739E+07	2.910714E+07	3.029134E+07	2.201602E+07	2.331357E+07	2.091427E+07	2.274607E+07	2.223707E+07	2.240922E+07	2.125884E+07	2.34008E+07	1.973821E+07	2.098274E+07	2.603702E+07	2.989733E+07	2.893895E+07	2.892534E+07	6102590	5838150	5409454	4830902
3/14/2022 11:20:00 PM	6	3.509713E+07	3.632196E+07	3.699283E+07	3.823088E+07	2.859859E+07	2.890257E+07	2.564159E+07	2.938883E+07	2.765454E+07	2.854132E+07	2.689143E+07	2.93608E+07	2.415587E+07	2.600034E+07	3.892652E+07	4.214981E+07	4.065788E+07	3.859867E+07	5851153	5920152	5123372	4835329
3/15/2022 12:50:00 AM	7.5	4.149002E+07	4.320211E+07	4.323282E+07	4.521549E+07	3.305583E+07	3.286466E+07	2.837175E+07	3.336003E+07	3.331686E+07	3.296247E+07	3.131104E+07	3.419167E+07	2.825661E+07	3.014568E+07	5.09348E+07	5.575104E+07	5.214447E+07	4.953138E+07	6017038	5883510	5266311	4812111
3/15/2022 2:20:00 AM	9	4.762253E+07	4.897835E+07	4.773482E+07	5.096683E+07	3.631534E+07	3.610241E+07	2.995927E+07	3.664574E+07	3.828926E+07	3.765709E+07	3.464683E+07	3.82381E+07	3.099302E+07	3.290057E+07	6.705524E+07	7.07621E+07	6.59092E+07	6.563622E+07	6020994	5837194	5410702	4763926
3/15/2022 3:50:00 AM	10.5	5.183142E+07	5.188071E+07	5.448354E+07	5.618968E+07	3.8254E+07	3.726415E+07	3.125764E+07	3.881238E+07	4.265445E+07	4.151761E+07	3.816211E+07	4.32425E+07	3.496114E+07	3.622347E+07	8.023895E+07	8.75429E+07	8.05007E+07	7.990198E+07	6141133	6179330	5358057	4866839
3/15/2022 5:20:00 AM	12	5.848414E+07	5.643522E+07	5.964308E+07	6.252502E+07	3.999743E+07	3.823851E+07	3.444059E+07	4.021977E+07	4.747108E+07	4.624842E+07	4.214405E+07	4.645494E+07	3.786204E+07	3.94549E+07	9.74657E+07	1.058858E+08	9.270678E+07	9.292722E+07	6270231	6356318	5618588	5125862
3/15/2022 6:50:00 AM	13.5	6.202113E+07	6.116916E+07	6.212064E+07	6.713243E+07	4.057215E+07	3.91839E+07	3.582269E+07	4.080138E+07	5.21421E+07	5.050566E+07	4.658521E+07	5.067399E+07	4.018893E+07	4.274735E+07	1.146997E+08	1.257092E+08	1.094292E+08	1.099493E+08	6834551	6894683	5867556	5489229
3/15/2022 8:20:00 AM	15	6.840534E+07	6.821882E+07	6.847863E+07	7.386015E+07	4.294968E+07	3.967769E+07	3.660892E+07	4.124095E+07	5.642204E+07	5.453334E+07	5.001343E+07	5.535728E+07	4.508944E+07	4.688178E+07	1.340052E+08	1.450557E+08	1.206708E+08	1.26464E+08	7241692	7396694	6396166	6030792
3/15/2022 9:50:00 AM	16.5	7.442991E+07	7.339614E+07	7.295846E+07	7.886049E+07	4.369618E+07	4.010232E+07	3.775736E+07	4.182484E+07	6.025637E+07	5.929924E+07	5.324891E+07	5.928379E+07	4.885415E+07	5.095396E+07	1.529994E+08	1.625112E+08	1.34488E+08	1.412384E+08	8228262	8159989	7247747	6425246
3/15/2022 11:20:00 AM	18	8.212778E+07	7.721202E+07	7.815717E+07	8.450009E+07	4.337603E+07	4.040555E+07	3.783789E+07	4.165092E+07	6.558958E+07	6.352065E+07	5.876382E+07	6.152642E+07	5.127078E+07	5.427289E+07	1.694588E+08	1.781878E+08	1.461358E+08	1.589279E+08	9090375	9023555	8204944	7196790
3/15/2022 12:50:00 PM	19.5	8.72632E+07	8.439927E+07	8.773154E+07	9.031014E+07	4.248728E+07	3.995194E+07	3.842214E+07	4.243106E+07	7.000589E+07	6.84074E+07	6.310364E+07	6.428629E+07	5.317278E+07	5.654444E+07	1.851751E+08	2.013974E+08	1.656485E+08	1.730009E+08	1.013009E+07	1.000584E+07	9258927	8163073
3/15/2022 2:20:00 PM	21	9.099328E+07	8.76064E+07	9.075779E+07	9.827802E+07	4.364027E+07	3.931339E+07	3.785677E+07	4.165043E+07	7.335724E+07	7.184342E+07	6.577867E+07	6.619588E+07	5.686215E+07	5.798386E+07	1.99688E+08	2.080213E+08	1.714329E+08	1.857639E+08	1.160518E+07	1.133152E+07	1.053334E+07	9591188
3/15/2022 3:50:00 PM	22.5	9.321778E+07	9.246862E+07	9.539938E+07	1.05928E+08	4.264413E+07	3.883306E+07	3.76261E+07	4.135332E+07	7.501058E+07	7.255942E+07	6.731174E+07	6.756758E+07	5.664639E+07	5.696676E+07	2.106549E+08	2.294474E+08	1.825343E+08	1.956875E+08	1.34472E+07	1.280232E+07	1.203214E+07	1.089691E+07
