Vessel Name: HT1080-WT_ATF-reporter-high_P2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/4/2022 9:42:00 PM	0	9218499	9914703	1.000373E+07	1.068278E+07	8418106	8713071	9625478	9936073	9787420	9572034	9800174	1.091118E+07	1.088893E+07	9845730	1.019841E+07	1.00321E+07	1.096868E+07	1.098975E+07	1.029495E+07	1.03527E+07	1.095553E+07	1.132086E+07	1.030832E+07
1/4/2022 11:12:00 PM	1.5	9813332	1.084367E+07	1.137375E+07	1.163938E+07	9424237	9366204	1.057152E+07	1.118175E+07	9889699	9577056	9996301	1.064515E+07	1.07795E+07	9740296	1.008716E+07	9942201	1.080269E+07	1.070538E+07	1.018064E+07	1.152758E+07	1.226817E+07	1.245293E+07	1.124839E+07
1/5/2022 12:42:00 AM	3	1.179829E+07	1.284689E+07	1.359514E+07	1.379374E+07	1.11386E+07	1.073313E+07	1.221457E+07	1.292889E+07	1.060322E+07	1.013977E+07	1.047871E+07	1.042628E+07	1.069229E+07	9550290	9929078	9989047	1.081696E+07	1.066615E+07	1.011468E+07	1.293376E+07	1.336157E+07	1.363931E+07	1.236551E+07
1/5/2022 2:12:00 AM	4.5	1.429871E+07	1.490436E+07	1.598911E+07	1.58925E+07	1.30937E+07	1.190977E+07	1.334679E+07	1.438142E+07	1.111017E+07	1.053407E+07	1.031606E+07	1.042929E+07	1.046629E+07	9489598	1.022855E+07	1.007673E+07	1.0839E+07	1.078941E+07	9982418	1.404008E+07	1.43315E+07	1.476228E+07	1.346436E+07
1/5/2022 3:42:00 AM	6	1.716292E+07	1.716128E+07	1.880927E+07	1.845959E+07	1.497358E+07	1.327623E+07	1.475537E+07	1.609682E+07	1.130627E+07	1.089411E+07	1.070812E+07	1.0389E+07	1.06181E+07	9543167	1.029572E+07	1.006994E+07	1.092106E+07	1.091782E+07	1.006765E+07	1.515023E+07	1.543983E+07	1.575673E+07	1.449818E+07
1/5/2022 5:12:00 AM	7.5	1.983866E+07	1.944044E+07	2.169802E+07	2.076385E+07	1.686727E+07	1.449384E+07	1.603993E+07	1.779577E+07	1.164231E+07	1.074721E+07	1.095594E+07	1.009965E+07	1.079083E+07	9629347	1.008137E+07	1.025635E+07	1.11548E+07	1.121195E+07	1.035608E+07	1.646558E+07	1.636208E+07	1.653258E+07	1.55379E+07
1/5/2022 6:42:00 AM	9	2.13447E+07	2.138458E+07	2.365323E+07	2.256646E+07	1.832035E+07	1.541416E+07	1.686656E+07	1.90194E+07	1.153292E+07	1.097249E+07	1.127675E+07	9922956	1.123718E+07	9547435	9955458	1.076725E+07	1.126644E+07	1.158102E+07	1.070762E+07	1.735819E+07	1.720632E+07	1.731463E+07	1.668713E+07
1/5/2022 8:12:00 AM	10.5	2.334587E+07	2.29534E+07	2.540379E+07	2.373344E+07	1.907297E+07	1.644505E+07	1.741905E+07	1.964704E+07	1.164707E+07	1.09818E+07	1.13515E+07	9954031	1.102721E+07	9508141	9744953	1.108594E+07	1.159714E+07	1.174652E+07	1.082187E+07	1.847816E+07	1.796707E+07	1.824678E+07	1.735762E+07
1/5/2022 9:42:00 AM	12	2.490822E+07	2.46437E+07	2.681563E+07	2.485654E+07	1.94712E+07	1.715386E+07	1.808266E+07	2.036438E+07	1.118285E+07	1.089255E+07	1.102193E+07	9416950	1.046023E+07	9158967	9421935	1.141883E+07	1.184756E+07	1.204994E+07	1.115322E+07	1.934497E+07	1.85208E+07	1.901928E+07	1.803089E+07
1/5/2022 11:12:00 AM	13.5	2.663209E+07	2.580111E+07	2.842307E+07	2.622688E+07	1.952405E+07	1.763481E+07	1.817065E+07	2.070532E+07	1.056582E+07	1.061642E+07	1.053007E+07	8814473	1.001576E+07	8915001	9350634	1.158965E+07	1.217924E+07	1.218629E+07	1.128391E+07	1.997502E+07	1.904521E+07	1.949508E+07	1.832372E+07
1/5/2022 12:42:00 PM	15	2.797483E+07	2.673821E+07	2.940002E+07	2.715518E+07	1.900698E+07	1.759762E+07	1.76229E+07	1.981579E+07	9840398	1.04253E+07	1.003089E+07	8425288	9256047	8523657	9185258	1.161137E+07	1.224426E+07	1.214876E+07	1.127214E+07	2.014115E+07	1.902958E+07	1.955944E+07	1.829827E+07
1/5/2022 2:12:00 PM	16.5	2.952662E+07	2.801721E+07	3.072007E+07	2.857882E+07	1.883866E+07	1.77464E+07	1.726781E+07	1.952206E+07	9679834	1.026996E+07	9726391	7753775	8780455	7974124	8864207	1.169096E+07	1.227689E+07	1.211631E+07	1.143904E+07	2.041872E+07	1.951601E+07	1.979169E+07	1.834977E+07
1/5/2022 3:42:00 PM	18	3.098944E+07	2.910835E+07	3.123767E+07	2.933549E+07	1.847297E+07	1.766818E+07	1.72443E+07	1.888815E+07	9219126	9635104	9442289	7057355	8026117	7513612	8335096	1.177794E+07	1.233654E+07	1.198588E+07	1.1578E+07	2.061008E+07	1.963603E+07	1.959722E+07	1.846254E+07
1/5/2022 5:12:00 PM	19.5	3.335486E+07	3.064498E+07	3.311805E+07	3.087034E+07	1.832475E+07	1.776403E+07	1.709965E+07	1.875542E+07	8883551	9652059	9034103	6475073	7608272	6895731	8066061	1.190018E+07	1.258819E+07	1.215677E+07	1.188966E+07	2.11632E+07	2.012493E+07	2.009744E+07	1.903277E+07
