Vessel Name: HT1080-WT_ATF-reporter-high_P5
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6
1/4/2022 10:18:00 PM	0	9433936	1.068106E+07	1.12866E+07	1.114617E+07	1.197579E+07	9996183	9806510	1.13632E+07	1.066496E+07	1.071149E+07	1.062947E+07	1.075165E+07	1.204255E+07	1.084848E+07	1.166078E+07	1.251952E+07	1.103687E+07	1.146788E+07	1.113452E+07	1.131841E+07	1.182747E+07	1.111388E+07
1/4/2022 11:48:00 PM	1.5	1.087247E+07	1.228446E+07	1.294768E+07	1.270119E+07	1.37335E+07	1.185446E+07	1.191873E+07	1.365715E+07	1.21782E+07	1.225816E+07	1.216513E+07	1.225554E+07	1.336925E+07	1.238518E+07	1.313947E+07	1.358809E+07	1.249596E+07	1.237996E+07	1.209109E+07	1.290368E+07	1.340949E+07	1.289104E+07
1/5/2022 1:18:00 AM	3	1.241045E+07	1.424371E+07	1.484276E+07	1.450952E+07	1.60841E+07	1.417074E+07	1.407107E+07	1.583687E+07	1.373491E+07	1.332607E+07	1.374994E+07	1.347949E+07	1.474839E+07	1.358582E+07	1.465537E+07	1.429772E+07	1.266512E+07	1.337836E+07	1.282949E+07	1.415918E+07	1.523513E+07	1.448719E+07
1/5/2022 2:48:00 AM	4.5	1.425069E+07	1.620792E+07	1.651694E+07	1.679844E+07	1.919674E+07	1.668393E+07	1.657904E+07	1.84833E+07	1.559549E+07	1.535067E+07	1.574159E+07	1.47474E+07	1.632687E+07	1.508927E+07	1.650863E+07	1.499513E+07	1.323204E+07	1.381036E+07	1.323336E+07	1.591107E+07	1.682074E+07	1.622285E+07
1/5/2022 4:18:00 AM	6	1.646659E+07	1.923353E+07	1.964136E+07	1.902646E+07	2.274642E+07	1.990182E+07	1.964035E+07	2.175204E+07	1.826514E+07	1.773519E+07	1.826675E+07	1.659324E+07	1.770857E+07	1.718106E+07	1.834237E+07	1.509275E+07	1.372133E+07	1.416264E+07	1.355979E+07	1.736782E+07	1.837963E+07	1.814156E+07
1/5/2022 5:48:00 AM	7.5	1.880058E+07	2.19737E+07	2.215599E+07	2.173581E+07	2.607765E+07	2.380809E+07	2.310049E+07	2.55234E+07	2.139898E+07	2.059657E+07	2.117283E+07	1.884862E+07	1.983573E+07	1.986966E+07	2.102697E+07	1.528845E+07	1.426759E+07	1.456223E+07	1.41949E+07	1.899697E+07	1.962307E+07	1.983737E+07
1/5/2022 7:18:00 AM	9	2.109567E+07	2.439329E+07	2.41249E+07	2.415738E+07	2.962383E+07	2.788307E+07	2.693683E+07	2.914053E+07	2.510717E+07	2.457157E+07	2.49358E+07	2.127464E+07	2.218122E+07	2.251914E+07	2.432378E+07	1.607819E+07	1.486057E+07	1.515786E+07	1.464236E+07	2.035061E+07	2.117397E+07	2.130822E+07
1/5/2022 8:48:00 AM	10.5	2.317008E+07	2.667722E+07	2.632799E+07	2.620065E+07	3.528227E+07	3.257986E+07	3.160865E+07	3.373232E+07	2.915854E+07	2.786878E+07	2.900091E+07	2.470717E+07	2.503998E+07	2.583757E+07	2.74563E+07	1.659382E+07	1.598353E+07	1.574646E+07	1.553444E+07	2.237219E+07	2.290365E+07	2.287395E+07
1/5/2022 10:18:00 AM	12	2.521687E+07	2.835305E+07	2.860249E+07	2.787516E+07	3.996212E+07	3.700683E+07	3.695806E+07	3.848889E+07	3.308668E+07	3.16104E+07	3.313436E+07	2.744031E+07	2.794759E+07	2.840468E+07	3.07951E+07	1.749468E+07	1.669366E+07	1.639774E+07	1.647065E+07	2.396907E+07	2.466523E+07	2.425779E+07
1/5/2022 11:48:00 AM	13.5	2.740097E+07	3.010912E+07	3.04688E+07	2.964219E+07	4.627968E+07	4.34037E+07	4.189186E+07	4.436702E+07	3.684864E+07	3.599804E+07	3.798502E+07	3.069588E+07	3.175067E+07	3.247034E+07	3.504408E+07	1.840858E+07	1.796704E+07	1.739135E+07	1.710752E+07	2.556073E+07	2.62622E+07	2.558072E+07
