Vessel Name: HT1080-WT_ATF-reporter-low_P1
Date Time	Elapsed	A1	B1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/5/2022 10:00:00 PM	0	2962938	2482007	2533717	2570495	2543572	2487789	2789898	2456358	2718571	2491635	2812613	2591867	2666169	2690152	2823218	2746079	2825924	2776386	3076932	2853426	2486178	2695049	2839413
1/5/2022 11:30:00 PM	1.5	3125115	2661988	2816275	3041291	2880525	2781731	3016763	2232173	2682691	2480550	2635474	2289853	2421721	2387195	2603347	3240145	3119967	3194736	3695793	3038809	2708811	2750912	2998569
1/6/2022 1:00:00 AM	3	3401722	3079261	2989321	3312686	3145356	3156413	3266762	2136234	2356966	2195607	2550551	2094523	2260661	2095849	2368931	3447031	3765518	3822153	4004891	3332875	2964182	3235122	3210292
1/6/2022 2:30:00 AM	4.5	3677159	3300130	3457481	3490896	3338914	3097495	3403644	2028895	2247848	1962203	2360006	1998700	2005206	1988530	2216807	3980552	4058433	4321050	4663344	3468657	3060941	3628845	3506316
1/6/2022 4:00:00 AM	6	3869046	3449682	3575269	3660721	3523529	3234925	3421658	1879977	2168675	1859298	2127920	1853989	1875352	2016346	2116424	4650124	4705759	4830433	5111017	3582014	3215505	3636501	3643139
1/6/2022 5:30:00 AM	7.5	3900708	3444387	3589754	3704079	3682325	3252783	3357019	1878082	2117506	1575422	1866407	1870989	1913738	1911017	2199080	5009685	5060653	4863389	5504520	3762344	3368911	3772250	3699353
1/6/2022 7:00:00 AM	9	3986774	3158433	3369021	3633844	3724671	3349629	3212973	1571388	1859411	1393920	1639271	1915397	1828127	1791210	2249577	5521005	5455670	5168688	5412294	3571439	3578476	3737365	3743153
1/6/2022 8:30:00 AM	10.5	3557201	3073005	3086733	3599218	3795392	3372573	3146123	1364540	1717622	1328254	1388011	1902945	1903893	1748345	2134483	5680126	5835517	5627841	5548860	3552815	3498760	3622364	3663475
1/6/2022 10:00:00 AM	12	3413835	3152688	3096632	3546055	3787172	3547499	3039204	1234716	1515994	1152967	1421773	1717097	1805733	1751205	1930890	6155147	6221833	6212635	5858622	3521754	3374775	3250015	3443260
1/6/2022 11:30:00 AM	13.5	3327410	3145066	3103137	3635415	3980538	3600117	3328348	1178092	1477735	1017035	1242441	1760222	1741693	1719328	1955045	6574040	7297809	7120566	6606650	3503983	3357605	3271213	3424495
1/6/2022 1:00:00 PM	15	3492842	3229110	2925304	4094618	4180344	3850935	3460923	1023947	1291786	1029624	1121173	1876092	1699254	1835267	1816792	7096587	8206361	7543934	6916234	3473630	3409553	3106398	3364637
1/6/2022 2:30:00 PM	16.5	3683875	3271241	2954970	4387666	4540358	4093795	3678195	905804.9	1386395	863186.3	1075840	1955834	1860902	1898539	1953955	7616354	8951200	8129882	7708278	3305881	3382924	3336406	3174247
