Vessel Name: HT1080-WT_ATF-reporter-low_P3
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/5/2022 10:24:00 PM	0	1821969	1723164	1724322	1873305	1669823	1716699	1563009	1701321	2188617	1895875	1921197	1989845	2435705	2434120	2445544	2354573	2107079	1857677	1892033	2100074	1983996	1809511	1779742	1970599
1/5/2022 11:54:00 PM	1.5	1855894	1754536	1711759	1870880	1911238	1836066	1724178	1798803	2464074	2000368	2218961	2048745	2451774	2398663	2271666	2322897	2332741	2017889	2083121	2295164	1946948	1856859	1876162	2030241
1/6/2022 1:24:00 AM	3	2115595	1986428	1948039	2249986	2413017	2246269	2204103	2174888	2680910	2348977	2439455	2366680	2530543	2457353	2352012	2301645	2493308	2302440	2373799	2415520	2086756	2048263	2026749	2134971
1/6/2022 2:54:00 AM	4.5	2904054	2600400	2631537	2962765	3062384	3137409	3034081	2934434	3246455	2930591	2985166	2826489	2513016	2549865	2354911	2314044	2782013	2565402	2605022	2728466	2713956	2490603	2354801	2560965
1/6/2022 4:24:00 AM	6	4176269	3671979	4066404	3960171	3948017	4184972	4238892	4053750	3691198	3568123	3835502	3345586	2439430	2528966	2290897	2171635	3218799	2875913	3040758	3274160	3423827	3247437	3026190	3132693
1/6/2022 5:54:00 AM	7.5	5962380	5186690	5590220	5691194	5318282	5422574	5728052	5641270	4415299	4292380	4486011	4079561	2527730	2440321	2335783	2155319	3713142	3572017	3600800	3980609	4393627	4241834	4016468	4026807
1/6/2022 7:24:00 AM	9	8270395	7107584	7652675	7551382	6987092	7460235	7488469	7284923	5132481	4920793	5373984	4704692	2517133	2437035	2346988	2039957	4407622	4434136	4570286	4613046	5457327	5492168	5349744	5096190
1/6/2022 8:54:00 AM	10.5	1.07356E+07	9568784	1.039104E+07	9654382	8634075	9366489	9734933	8778151	5752661	5513613	5914936	5296246	2502095	2551642	2222376	2097470	5114200	5463202	5437726	5553068	6907369	6892999	6932228	6398695
1/6/2022 10:24:00 AM	12	1.353322E+07	1.191045E+07	1.306479E+07	1.198293E+07	1.062677E+07	1.141732E+07	1.153469E+07	1.04746E+07	6028321	5753051	6350121	5602930	2410564	2411748	2223103	1937849	5866013	6469657	6255950	6456118	8113133	8385559	8452319	7708765
1/6/2022 11:54:00 AM	13.5	1.630834E+07	1.406458E+07	1.586037E+07	1.393913E+07	1.225685E+07	1.331003E+07	1.339556E+07	1.227453E+07	5900652	5543541	6284297	5661951	2342706	2235203	2118444	1928983	6577363	7132082	6997277	7187511	9426468	9670243	9930178	9006366
1/6/2022 1:24:00 PM	15	1.926589E+07	1.63762E+07	1.867951E+07	1.552044E+07	1.382748E+07	1.487773E+07	1.465739E+07	1.33386E+07	5590686	5316496	5647669	5326151	2239106	2188137	2045917	1823309	7270958	7928549	7544579	7878472	1.039576E+07	1.062942E+07	1.125814E+07	9793556
1/6/2022 2:54:00 PM	16.5	2.112399E+07	1.831657E+07	2.067501E+07	1.711873E+07	1.500661E+07	1.56068E+07	1.60697E+07	1.446505E+07	5017229	4885125	5150223	4861882	2223608	2191688	1965419	1846867	7810093	8605428	7943884	8259118	1.111494E+07	1.156464E+07	1.224579E+07	1.059182E+07
