Vessel Name: HT1080-WT_ATF-reporter-low_P6
Date Time	Elapsed	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/5/2022 11:00:00 PM	0	2438422	2108094	2545979	2206311	2278744	2394768	2536420	1853761	2122413	2268185	2254283	2012012	2201590	2161667	2121709	2785709	2372555	2446142	2732512	2116768	2146956	2521847	2509448
1/6/2022 12:30:00 AM	1.5	2433605	2176158	2332763	2308187	2415899	2502678	2753987	1802370	1983917	2058062	2086755	1734724	2019239	1985678	1900677	2978159	2726867	2608051	2785554	1955794	2083755	2396769	2421469
1/6/2022 2:00:00 AM	3	2543645	2163065	2441663	2434947	2566829	2699668	3018935	1764045	1935210	2015642	1925102	1683233	1999304	1987859	1777509	3136860	2705247	2838328	3049996	2012302	2166582	2505047	2466584
1/6/2022 3:30:00 AM	4.5	2800186	2180698	2443241	2485746	2666640	2802623	2993005	1795884	1867158	1996124	1966987	1676852	2117404	2018276	1829400	3304242	2990216	3105456	3197493	2149763	2406698	2657725	2598155
1/6/2022 5:00:00 AM	6	2957674	2499362	2766765	2672286	3003407	2956177	3283474	1800969	1968741	2036659	2011237	1872694	2330358	2241018	2042189	3724829	3502299	3319240	3758416	2439345	2567768	2935945	2956608
1/6/2022 6:30:00 AM	7.5	3440183	2860036	3214255	3095046	3451939	3376078	3719813	1870584	2145047	2243871	2021955	2134810	2497344	2531826	2450289	4196189	4041497	3941219	4261186	2751185	3036697	3182791	3343735
1/6/2022 8:00:00 AM	9	3914774	3200360	3511803	3533739	4002855	3905004	4150187	2057150	2221640	2474417	2284422	2547755	2974750	2810736	2626275	4614966	4587645	4412278	4903877	3235488	3308355	3687718	3744019
1/6/2022 9:30:00 AM	10.5	4399478	3579079	3887191	3930554	4386154	4279227	4697493	2171976	2504485	2758135	2462401	2790046	3141529	3110197	2927092	5140495	5309804	5221318	5400761	3817717	3855100	4218399	4213405
1/6/2022 11:00:00 AM	12	4674177	3886861	4087623	4303090	4925335	4734939	5138733	2424911	2678547	2944070	2496149	3214408	3597227	3537375	3253661	5810798	5936620	5750193	5802475	4145321	4256353	4707971	4527885
1/6/2022 12:30:00 PM	13.5	5082665	4606491	4684231	5078607	5685577	5499826	5781345	2730723	2966546	3190712	2793888	3615983	3958161	3990208	3625771	6301277	6725663	6294824	6571262	4720235	4658775	5294064	4929528
1/6/2022 2:00:00 PM	15	5403747	4999748	5029442	5662651	6482886	6009609	6614476	2984896	3152854	3324437	2994486	3972375	4284549	4279504	3939477	7047973	7255467	7332465	7085577	5197083	5344433	5628199	5678915
1/6/2022 3:30:00 PM	16.5	5959451	5541062	5393537	6180800	7404463	6733456	6952326	3232194	3215094	3499135	3211130	4507567	4702628	4759070	4283598	7630994	7785149	7891339	7548062	5934057	5748729	6174805	6332120
