Vessel Name: HT1080-WT_ATF4-reporter-high_P2-2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/6/2022 8:42:00 PM	0	8915455	9207381	9048664	8927730	9233317	8817633	8815106	9102410	8339802	8531997	7909652	8621918	9167266	8420844	8592647	1.012219E+07	9284932	8854213	8953153	9363973	9680132	9726464	8968402
1/6/2022 10:12:00 PM	1.5	9112495	9517470	9265973	9066880	9263913	9036759	9172307	8463684	8254085	7907767	7913378	8562268	8299946	7898902	8050300	1.083852E+07	1.066405E+07	9972356	9727073	1.025193E+07	9998943	1.02295E+07	9637291
1/6/2022 11:42:00 PM	3	9893712	1.057497E+07	1.043427E+07	9821753	9135900	9256028	9316925	8461232	7839449	7905246	7312311	8028161	7463382	7311084	7626138	1.25791E+07	1.219209E+07	1.143733E+07	1.121176E+07	1.1433E+07	1.108726E+07	1.14591E+07	1.075062E+07
1/7/2022 1:12:00 AM	4.5	1.107338E+07	1.194908E+07	1.151153E+07	1.106694E+07	9343438	9509903	9397281	8446633	7261201	7653315	7049713	7883378	7178517	6788878	7002965	1.389617E+07	1.337785E+07	1.259237E+07	1.310662E+07	1.304284E+07	1.23993E+07	1.265397E+07	1.194261E+07
1/7/2022 2:42:00 AM	6	1.254233E+07	1.34814E+07	1.33523E+07	1.223783E+07	9747310	1.02371E+07	9504531	7657198	7150844	6925659	6729065	7107373	6451338	6200100	6755864	1.586301E+07	1.486121E+07	1.445809E+07	1.492811E+07	1.469597E+07	1.423489E+07	1.403747E+07	1.328115E+07
1/7/2022 4:12:00 AM	7.5	1.374539E+07	1.538475E+07	1.487872E+07	1.372256E+07	9579003	1.035208E+07	1.001935E+07	7100663	6632935	6732338	6386610	6505206	6164209	5639198	6439079	1.801003E+07	1.612125E+07	1.597064E+07	1.694498E+07	1.569616E+07	1.573936E+07	1.576583E+07	1.445596E+07
1/7/2022 5:42:00 AM	9	1.523154E+07	1.625215E+07	1.550881E+07	1.483073E+07	9847513	1.06952E+07	1.063876E+07	6513192	6297574	6296403	5852088	6282176	5944613	5152013	5777397	1.894886E+07	1.766079E+07	1.699396E+07	1.827976E+07	1.691097E+07	1.71184E+07	1.690699E+07	1.597686E+07
1/7/2022 7:12:00 AM	10.5	1.640799E+07	1.749519E+07	1.635268E+07	1.607225E+07	1.023531E+07	1.108167E+07	1.089672E+07	6210544	6191426	6075766	5690018	5840582	5844019	4854933	5401374	1.993726E+07	1.959298E+07	1.760959E+07	1.962357E+07	1.831021E+07	1.826914E+07	1.859917E+07	1.723439E+07
1/7/2022 8:42:00 AM	12	1.730044E+07	1.854441E+07	1.751311E+07	1.690359E+07	1.073867E+07	1.131763E+07	1.077833E+07	5673753	5760893	5523916	5198032	5462005	5472205	4591555	4941990	2.067596E+07	1.967985E+07	1.842706E+07	2.06159E+07	1.865138E+07	1.85235E+07	1.897687E+07	1.783701E+07
1/7/2022 10:12:00 AM	13.5	1.865626E+07	1.999353E+07	1.869976E+07	1.763298E+07	1.127312E+07	1.153324E+07	1.094404E+07	5597324	5457111	5340099	4799749	5133821	5037108	4675286	4782330	2.169293E+07	2.109756E+07	1.946389E+07	2.166054E+07	1.984713E+07	1.957826E+07	1.966771E+07	1.872503E+07
1/7/2022 11:42:00 AM	15	2.000292E+07	2.09995E+07	2.011878E+07	1.887814E+07	1.212026E+07	1.175384E+07	1.12151E+07	5388861	5566155	5325840	4637157	4930829	4838667	4339002	4795382	2.301623E+07	2.21484E+07	2.038658E+07	2.249463E+07	2.051771E+07	2.034446E+07	2.028801E+07	1.966158E+07
1/7/2022 1:12:00 PM	16.5	2.076824E+07	2.146653E+07	2.068008E+07	1.951078E+07	1.242582E+07	1.204779E+07	1.138656E+07	5639073	5318526	5194310	4674728	4751184	4820742	4262220	4591744	2.330622E+07	2.344623E+07	2.07374E+07	2.345296E+07	2.128744E+07	2.131273E+07	2.083221E+07	2.061485E+07
