Vessel Name: HT1080-WT_ATF4-reporter-high_P4-2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	B4	C4	D4	A5	B5	D5	A6	B6	C6	D6
1/6/2022 9:06:00 PM	0	9985416	1.078403E+07	9686404	9810823	9638444	1.069696E+07	1.008556E+07	9917707	9234526	9656909	1.007054E+07	9490180	1.030804E+07	9444814	9007381	9164340	1.039293E+07	1.033857E+07	9301457	9855191	9832916	9156391
1/6/2022 10:36:00 PM	1.5	9597105	1.055482E+07	9377452	9544346	9452444	1.028043E+07	9721424	9747933	8875387	9087505	9461187	8965587	9279286	8958760	8500261	8803618	1.037413E+07	1.00735E+07	8828203	9466095	9126968	8941281
1/7/2022 12:06:00 AM	3	9501856	1.004899E+07	9025780	9454082	9257178	9286080	9149781	9294069	8255229	8380801	8711034	8420101	8963366	8513340	7773342	9013134	1.040439E+07	1.005031E+07	7890009	8811105	8497634	8095263
1/7/2022 1:36:00 AM	4.5	9356564	1.03621E+07	8717740	9364637	9473102	9358196	9331702	9844608	7994196	7714814	8277202	8005620	7996109	8050035	7367143	9281492	1.017934E+07	1.021568E+07	7256908	8672533	8154807	7713134
1/7/2022 3:06:00 AM	6	9923845	1.085318E+07	9221356	9690507	1.016924E+07	9849859	9839002	9908960	7992914	7304647	8183027	7729689	8580308	8202950	7674976	1.079824E+07	1.096268E+07	1.082242E+07	7467092	8607918	7838059	7674841
1/7/2022 4:36:00 AM	7.5	1.014396E+07	1.168885E+07	9384564	1.016024E+07	1.124415E+07	1.075108E+07	1.068354E+07	1.053925E+07	8383263	7347993	8161132	7768100	8786580	8176235	7793575	1.17756E+07	1.138811E+07	1.171079E+07	7993378	8686119	8025481	7693539
1/7/2022 6:06:00 AM	9	1.077793E+07	1.221717E+07	9968756	1.072476E+07	1.278108E+07	1.21685E+07	1.192187E+07	1.140547E+07	8499549	7561619	8106337	7953003	9110769	8618039	8313627	1.341709E+07	1.191425E+07	1.26705E+07	8177191	9023154	8144539	7721472
1/7/2022 7:36:00 AM	10.5	1.146273E+07	1.289044E+07	1.045281E+07	1.111425E+07	1.446009E+07	1.311055E+07	1.361147E+07	1.257257E+07	8513139	7455509	8516056	8039869	9351848	8997272	8450480	1.463053E+07	1.295213E+07	1.377711E+07	8951439	9319332	8681679	8086335
1/7/2022 9:06:00 AM	12	1.19473E+07	1.305239E+07	1.091012E+07	1.154242E+07	1.536674E+07	1.38601E+07	1.447373E+07	1.384035E+07	8802557	7650864	8421206	7965627	9415355	9319219	8729364	1.552717E+07	1.432757E+07	1.4705E+07	9055048	9318995	8633447	8024111
1/7/2022 10:36:00 AM	13.5	1.196744E+07	1.305644E+07	1.113556E+07	1.196151E+07	1.625446E+07	1.482286E+07	1.476232E+07	1.457185E+07	8703058	7743863	7950315	7602909	1.020822E+07	9428662	9100846	1.637313E+07	1.435024E+07	1.512484E+07	9451736	9296798	8834529	7701426
1/7/2022 12:06:00 PM	15	1.257412E+07	1.324444E+07	1.148878E+07	1.241414E+07	1.735021E+07	1.50141E+07	1.498556E+07	1.519888E+07	8807764	7738240	8131023	7643100	1.04351E+07	9585880	9023244	1.817153E+07	1.610353E+07	1.588888E+07	9458546	9317892	8688265	7332361
1/7/2022 1:36:00 PM	16.5	1.284401E+07	1.35012E+07	1.174586E+07	1.262667E+07	1.893626E+07	1.582987E+07	1.590885E+07	1.613654E+07	8672108	8070662	7942403	7754115	1.065986E+07	9620978	8996892	1.980635E+07	1.748625E+07	1.746974E+07	9633004	9084187	8380651	7107493
