Vessel Name: HT1080-WT_ATF4-reporter-high_P6-2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/6/2022 9:30:00 PM	0	7591816	8870505	7820430	8089502	6880817	8075937	6622427	6702730	6711186	6620782	6552182	7157346	7773548	5980628	6611124	7838638	7105217	7105090	7517458	7112162	6771831	7459121	6069674
1/6/2022 11:00:00 PM	1.5	7807722	9035940	8128169	8303814	7211530	8319654	6859162	6902618	6866539	6604377	6584681	7271661	7759955	6009310	6579032	8174992	7398430	7518005	7938662	7271183	7048021	7470784	6167679
1/7/2022 12:30:00 AM	3	8296842	9445944	8341953	8908980	7741990	8861698	7338653	7378064	7076802	6877778	6721773	7489741	8174125	6428248	6857337	8907534	8108977	8370864	8491190	7591638	7318587	7583386	6275528
1/7/2022 2:00:00 AM	4.5	8742802	1.016407E+07	8896678	9538339	8127467	9598208	7901184	7862536	7162366	7097460	6920544	7947412	8605942	6650672	7248157	1.003919E+07	9022527	9002373	9232526	7816989	7523785	8151317	6589821
1/7/2022 3:30:00 AM	6	9193366	1.071606E+07	9575880	1.017941E+07	8781711	1.00216E+07	8385123	8208962	7337751	7297860	7025149	8437278	9295926	7135995	7703650	1.083758E+07	9733757	9770523	1.003178E+07	8115581	7993119	8412219	6975120
1/7/2022 5:00:00 AM	7.5	9817591	1.154205E+07	9976429	1.080733E+07	9554980	1.07893E+07	9017151	8693866	7543570	7612244	7416239	8898239	9894414	7576065	8321558	1.177988E+07	1.050203E+07	1.080667E+07	1.0575E+07	8517804	8178858	8834504	7264805
1/7/2022 6:30:00 AM	9	1.045836E+07	1.229542E+07	1.044302E+07	1.163746E+07	1.020014E+07	1.137611E+07	9648549	9204146	7706776	7693254	7546262	9465922	1.03983E+07	7930484	8936292	1.250733E+07	1.130137E+07	1.148615E+07	1.141573E+07	8931684	8623876	9081210	7591054
1/7/2022 8:00:00 AM	10.5	1.091016E+07	1.31463E+07	1.085076E+07	1.200798E+07	1.071724E+07	1.194122E+07	1.023686E+07	9607108	7983895	7732198	7674738	1.009889E+07	1.089463E+07	8217872	9337915	1.320296E+07	1.191713E+07	1.208651E+07	1.17327E+07	9219179	8969032	9379676	8022426
1/7/2022 9:30:00 AM	12	1.12568E+07	1.365414E+07	1.092128E+07	1.284167E+07	1.140831E+07	1.249149E+07	1.077874E+07	1.046343E+07	8084316	7889722	7801889	1.044804E+07	1.12491E+07	8677614	9841028	1.413627E+07	1.257241E+07	1.295661E+07	1.230911E+07	9572868	9238834	9591205	8325747
1/7/2022 11:00:00 AM	13.5	1.163769E+07	1.428457E+07	1.122526E+07	1.335846E+07	1.184242E+07	1.296124E+07	1.12127E+07	1.068879E+07	8216204	7791125	7972666	1.099459E+07	1.173109E+07	9072194	1.006635E+07	1.490282E+07	1.304069E+07	1.354147E+07	1.288223E+07	9819828	9369390	9762988	8735811
1/7/2022 12:30:00 PM	15	1.214171E+07	1.483171E+07	1.142564E+07	1.407811E+07	1.242796E+07	1.374678E+07	1.181098E+07	1.086655E+07	8383145	8023884	8195436	1.15692E+07	1.222783E+07	9440026	1.059332E+07	1.594277E+07	1.35942E+07	1.419105E+07	1.333872E+07	1.010623E+07	9657605	9817349	9122066
1/7/2022 2:00:00 PM	16.5	1.263524E+07	1.535889E+07	1.191287E+07	1.482691E+07	1.321823E+07	1.449215E+07	1.229459E+07	1.120584E+07	8539271	8084527	8393389	1.193335E+07	1.260503E+07	9717873	1.113115E+07	1.689627E+07	1.436804E+07	1.480922E+07	1.391054E+07	1.039964E+07	9741602	9965978	9566922
