Vessel Name: HT1080-WT_ATF-reporter-low_p2_2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/7/2022 11:00:00 PM	0	508498.8	538081	522982.9	411099.3	495853.3	494464.6	617304.2	388495.6	466403.2	488629.2	464669.9	500364.9	453689.3	507909.4	488341.8	449977.1	379787.4	521142.4	474379.2	423960.6	537225.8	393700.8	448360.1	458414.9
1/8/2022 12:30:00 AM	1.5	544141.8	540702.7	531906.6	461475.7	640927.2	537501.3	642183.6	466420.6	576351.3	441467.3	510000.9	493537.7	447288.2	448793.2	481812.7	394839.3	414758.3	514502.4	587800.4	448661.5	551335.7	449955.1	409171	403574.4
1/8/2022 2:00:00 AM	3	690783.9	683385.1	649199.3	535433.6	740305.6	707258	891452.3	629652.9	660230.2	547329.8	547942.3	623546.7	502255.4	610311.5	601073.4	484659.3	430387.2	634381.6	660544.8	516175.3	609783.4	595711.1	473499.1	507993.4
1/8/2022 3:30:00 AM	4.5	847213.1	797917.9	801628.1	731890.5	957372.3	1110122	1359806	895317.9	838579.8	628478.6	679481	616992.4	620569.8	755742.1	698554.8	626508.2	583188.8	810514.3	819039.8	690776.3	753030.9	720580.5	601902.1	648865.7
1/8/2022 5:00:00 AM	6	911622.6	1010775	908488.3	871091.6	1266362	1628857	1701495	1189474	842509.4	649416	737654.3	771857.6	783508.7	779808.3	829624.8	766667.6	803391.6	1069251	898092.3	915751.2	961898.6	912113.5	858086.4	731394.9
1/8/2022 6:30:00 AM	7.5	1180646	1273109	863942.6	947381.6	1522414	2073990	2097656	1511728	939597.3	797306.6	800658	800538.4	896224.1	959284.9	1064555	829599.6	1024907	1296573	1061395	1020440	1034221	1237125	983812.9	962401.9
1/8/2022 8:00:00 AM	9	1343177	1457397	1079430	1141071	1893063	2556769	2718273	1884281	1039920	995406.6	970661.6	849245.1	904232.1	1153013	1246448	971328.3	1127278	1449393	1286787	1185242	1188230	1350828	1127636	1075784
1/8/2022 9:30:00 AM	10.5	1589189	1664424	1390581	1412087	2426215	3138371	3030948	2264075	1048795	903432.6	999482.9	876558.2	1016220	1322988	1487586	1129107	1299657	1514615	1512776	1327348	1307510	1504150	1300238	1273399
1/8/2022 11:00:00 AM	12	1707455	1890660	1516026	1557141	2952152	3735871	3625916	2873364	1093192	974164.6	1049562	970656.3	1235246	1507304	1848871	1320538	1445006	1806313	1749214	1458978	1602929	1785595	1411849	1391860
1/8/2022 12:30:00 PM	13.5	1943687	2134271	1961700	1661633	3534497	4542299	4289558	3556934	1159632	1017682	1157259	984216.3	1584567	1920260	2223314	1572871	1707031	2087397	1889301	1610835	1896769	2006364	1639935	1506941
1/8/2022 2:00:00 PM	15	2385362	2543958	2243761	2154931	4154997	5377046	5310463	4133437	1217686	1046752	1247135	1081273	1850728	2395629	2683029	1930354	1942733	2321399	2213863	1913654	2188150	2260868	1988774	1719460
1/8/2022 3:30:00 PM	16.5	2873590	2939317	2594809	2568616	5021224	6324603	6232252	4924422	1376187	1099757	1365097	1169083	2162961	2932951	3150887	2222434	2402219	2652959	2750236	2298334	2530321	2661590	2394252	2029360
