Vessel Name: HT1080-WT_ATF-reporter-low_p3_2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
1/7/2022 11:12:00 PM	0	440799.4	390192.8	299079.6	390333.9	516407.1	483324.6	497530.1	463190.6	477104.6	382743.3	410921.4	459904.6	410966.7	443533.8	418237.4	447324.9	531860.8	413526.8	398480.3	441971.7	374261.6	431957.4	536934.2
1/8/2022 12:42:00 AM	1.5	433917.2	406352.4	316791.4	373857.8	645301.4	573685.8	526043.3	611418.4	500108.6	388303.2	439701.7	502389.2	468064.8	499234.1	439114.1	456557.9	475657.8	432534.7	430829.2	443218	340997.9	428163.4	521024.1
1/8/2022 2:12:00 AM	3	507790.4	555694.8	402022.3	526467.3	763145.3	853042.9	925881.4	738039.8	560948.6	430907.9	483975.2	525537.9	580696.4	620151.8	548202.1	540082.5	637775.3	573640.8	454241.1	622932.9	456703.3	512419.2	620880.6
1/8/2022 3:42:00 AM	4.5	789993	776715	774504.8	761376.8	1108445	1461080	1466182	1283381	616776.1	644568.7	560098	655489.4	684108.1	810938.1	699721.8	819410.6	801963.3	782845	748615.3	735442	660430.6	771539.1	909373.7
1/8/2022 5:12:00 AM	6	1026507	1324822	1127849	1082911	1780028	2139581	2088497	1930211	678233.3	652591.6	669782.1	728507.1	799517.4	824887.9	729129.7	1047331	1250759	1119384	1128405	1178877	1008273	1135676	1333127
1/8/2022 6:42:00 AM	7.5	1381706	1732596	1562168	1479661	2524309	2825280	2598811	2514487	728681.4	667524.8	733170.6	788036.8	874082.8	949092.4	863918.3	1452005	1587994	1668572	1469371	1544346	1340621	1440738	1642439
1/8/2022 8:12:00 AM	9	1904722	2170350	2145089	1855497	3099744	3579862	3324691	3047651	829899.2	725970.1	753929.2	826223	1031127	1024106	924294.4	1816732	2099793	2040079	2017313	1904651	1654131	1899197	1907851
1/8/2022 9:42:00 AM	10.5	2453275	2662439	2464202	2346196	3977600	4561091	4363757	3709859	772367.1	735817.4	778334.9	911954.8	1150731	1146393	1060844	2214901	2615702	2445415	2195422	2482434	2209473	2471479	2489497
1/8/2022 11:12:00 AM	12	2890948	3351452	3103303	2985603	4642567	5433858	5297761	4561528	825207.9	800964.1	840629.6	872037.1	1199745	1107595	995511.3	2838854	3321114	3226052	2982818	3062579	2812357	3111508	2975638
1/8/2022 12:42:00 PM	13.5	3697162	4122441	3869701	3721033	5342886	6637473	6352484	5547141	907203.8	905170.9	906298.4	870056.7	1272586	1099348	970780.3	3599652	4308102	4103142	3808561	4008802	3804377	3850637	3960164
1/8/2022 2:12:00 PM	15	4849009	5307927	4703702	4642475	6280480	7763336	7117455	6172030	916275.2	968866.1	900689.5	836740.3	1169786	1071502	943050.7	4504300	5107594	5155258	4803824	4975451	4651440	4759258	4882995
1/8/2022 3:42:00 PM	16.5	5652730	6110258	5651034	5737714	7179809	8944093	8183338	7008845	926008.2	1112548	1042595	790134.6	1111828	1037989	898765.3	5907903	6403345	6192471	5804556	6320165	5664032	5953375	6007161
