Vessel Name: HT1080-WT_ATF-reporter-low_p6_2
Date Time	Elapsed	A1	B1	C1	D1	A2	C2	D2	A3	B3	C3	D3	A4	B4	C4	A5	B5	C5	D5	A6	B6	C6	D6
1/7/2022 11:48:00 PM	0	386340.1	369810.4	375563	459075.7	386853.8	568078.3	520904.4	341471.9	417874.4	455326.1	446630.4	309746.1	424523.7	447879.6	418662.5	393527.6	337800.8	411534.2	390642.4	350385.8	414517.4	383162.5
1/8/2022 1:18:00 AM	1.5	461912.3	408712.7	420678.4	500455.8	452250.3	668897.2	596136.8	347809.7	418110.1	431161.1	437393.5	296109.5	439376.9	435525.5	458637	434084.7	353159.9	426870.6	434080.6	384690.3	480848.2	448054
1/8/2022 2:48:00 AM	3	547975.7	482199.9	507369.1	675465	691228.3	779068.4	695005.7	384688	476210.5	497115.6	482337.9	385544.4	485356.6	499287.7	524915.4	530474.9	512296.6	490454.3	555481.6	465361.4	568031.8	594365.6
1/8/2022 4:18:00 AM	4.5	670477.4	581626.9	658394.8	843390.1	886200.1	1010463	937577.3	441564.3	546169.8	510947.3	578370.3	506232.3	584710.4	665190.6	716003.2	784761.5	707796.3	729204	768913.8	647849.1	785022.3	739705.3
1/8/2022 5:48:00 AM	6	874874.3	756264.6	910910.4	992297.9	1324777	1347397	1369513	522544.2	576168	588065.7	680466.3	712198.8	761816.1	877661.5	899000.6	1046278	994220.7	1012513	958501.9	885643.8	1011112	1071165
1/8/2022 7:18:00 AM	7.5	1095885	1021202	1154013	1255477	1630736	1690875	1861251	693482	716677.6	703261.6	800412.6	930126.9	979484.3	1157331	1107232	1369629	1302937	1185915	1310375	1118198	1296649	1310516
1/8/2022 8:48:00 AM	9	1433159	1261689	1364679	1481800	2148728	2040380	2076093	868691	846128.1	827418.1	1029608	1123916	1215054	1404145	1274461	1590013	1593596	1415694	1676525	1388480	1592569	1667366
1/8/2022 10:18:00 AM	10.5	1801901	1569170	1719866	1862829	2510228	2347013	2438823	1026977	1005674	954831.3	1179425	1362531	1480058	1557198	1551035	1915346	2023364	1735013	2032807	1617017	1881656	1951739
1/8/2022 11:48:00 AM	12	2009098	1718998	1988667	2165466	2780358	2661206	2732146	1246268	1114031	1123755	1321549	1625672	1856130	1733892	1919536	2119423	2280509	2067227	2235997	1907147	2256716	2236503
1/8/2022 1:18:00 PM	13.5	2407635	2147138	2352277	2476796	3238873	3021064	3227539	1479693	1311617	1220629	1501677	1956032	2115344	1903279	2226196	2414435	2532357	2394360	2668780	2014541	2531406	2474229
1/8/2022 2:48:00 PM	15	2798508	2510136	2786961	2932237	3574693	3394396	3686205	1715721	1412368	1358811	1636144	2118091	2336559	2187207	2514877	2571578	2697774	2699854	2964238	2406209	2940188	2922513
1/8/2022 4:18:00 PM	16.5	3238266	2851397	3120726	3136507	4204418	3855378	4028705	1803241	1529616	1625376	1852701	2424435	2594064	2435978	2773257	2858398	3067246	2921045	3471816	2677448	3309887	3082405
