Vessel Name: HT1080_ATF4-rep-low_p3
Date Time	Elapsed	A1	B1	C1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	B5	C5	D5	A6	B6	C6	D6
2/21/2022 9:10:00 PM	0	574121.8	599679.1	504874.4	446984.7	516906.8	519327.7	494849.8	552460.9	400914.6	548875	528094.8	671820.8	656937.9	481793.7	709866.4	544601.2	497532.8	443330.2	589473.3	644176.2	479065.8	505004.1
2/21/2022 10:40:00 PM	1.5	504020.1	513324.2	456767.2	480143.3	486054.6	580798.3	517677.4	536609.1	436204.9	569889.1	566423.1	682052.4	624964.1	497779.9	692256.8	596463.9	480518.1	522682.4	645782.2	597466.8	522254.9	531750.8
2/22/2022 12:10:00 AM	3	565045.7	539371.4	439231	480931.1	486200.5	596173.4	512490.8	598264.1	479942.7	553099.2	591593.8	753596.1	636716.4	541412.6	803799.3	689031.1	537404.8	567011.6	701592.8	694403.9	560455.9	586914.1
2/22/2022 1:40:00 AM	4.5	486764.8	502761.1	442800.3	516849.7	485301.2	556489.1	514301.9	617962.8	494229	517765	621551.3	752466.4	711679.9	585332.9	798941	746104.9	664307.2	607233.1	759262.8	728405.6	672588.4	666773.8
2/22/2022 3:10:00 AM	6	463751.6	463208.9	406009.6	534666.3	494878.2	546517.8	493483.3	644856.8	502510.6	525920.2	637901.7	853172	802791.5	544675.4	819937.9	763997.9	764900.5	646594.8	875470.8	772057.8	752348.3	802057.7
2/22/2022 4:40:00 AM	7.5	454980.4	423716.4	380444	460013.3	535002.3	513346.1	477211.4	640507.4	528687.3	591842.4	672513.3	863486.1	771942.9	567515.2	843210.4	817232.1	733993.5	703530.6	904944.1	834279.3	760719.9	910516.3
2/22/2022 6:10:00 AM	9	421269.9	398221.5	398610.8	468498.8	521382.5	502787.7	477316.2	696887.3	545264.6	606296.1	730502.1	890519.5	891041.1	616670.1	905582.3	886812.3	859829.5	817494.4	1025324	919816.6	919131	1053191
2/22/2022 7:40:00 AM	10.5	400584.5	426253.4	370517.1	443369.8	538594.6	480713.8	439135.4	724045.3	624541.6	668512.3	746322.5	997767.4	988045.3	730091.8	937338.9	985957.1	934895.4	920969.7	1205629	1020022	1042227	1287480
2/22/2022 9:10:00 AM	12	368899.8	402072.1	375661.3	464383.3	532511.4	504435.7	450321.9	756656.3	691888.2	716523.6	809825.9	1034511	1116537	817104.3	1032411	1151840	1165759	1103671	1353831	1246283	1231830	1457344
2/22/2022 10:40:00 AM	13.5	399229.5	410022.7	405194.3	442548.1	521021.1	464804.3	438879.3	855505.6	767020.1	846318.5	935350.8	1140475	1227404	845523	1179237	1389163	1374606	1312228	1642635	1303411	1558563	1648610
2/22/2022 12:10:00 PM	15	376055.6	391000.6	385267.6	419497.3	508227.3	463655.1	405445.1	950016	854328.9	931417.7	959806.6	1252070	1426747	1071321	1292495	1582911	1512621	1449916	2028356	1598958	1669449	1931298
2/22/2022 1:40:00 PM	16.5	374472.4	388444.1	350340.8	392102.2	517407.7	481469.6	393339	1020554	1012450	962896	1035185	1472981	1671463	1217584	1436436	1812815	1803288	1687460	2409965	1882905	1967651	2291177
