Vessel Name: HT1080_ATF4-rep-low_p1
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	C5	D5	A6	B6	C6	D6
2/26/2022 4:15:00 PM	0	299374.2	298510.1	269687.5	157769.9	273967.6	239201.5	325565.6	206410	329397.2	239618.6	265983.2	220361.5	238908.4	316930	366942.1	309166.7	303160.2	227031.2	237669.8	228248.8	229554.9	231874.9	234974.1
2/26/2022 5:45:00 PM	1.5	407379.7	366095.2	325853.9	244212.8	357973.2	329039.3	359702.9	259148.3	369644.7	312457.2	332321.7	251632	342936.4	369099.4	461878.9	410375.3	443363.3	296231.2	309487	294576.3	307426.1	347315.6	331786.2
2/26/2022 7:15:00 PM	3	474455.6	487186.1	440018.1	296509.8	411433.6	412479.2	485420.4	319086.3	385426	402772.5	376750.7	348559.8	376776.4	462028.1	588984.3	479606.3	560491.4	480382.6	411163.6	432607.8	466220.8	470690.3	489447.4
2/26/2022 8:45:00 PM	4.5	573381.1	612266.8	597137.3	476663.2	573201.1	529653.4	644917.1	441400.3	580637.8	488368.4	512057.7	436323	630957.3	626577.2	774132.6	654144.6	845949.6	754144.3	629265.4	652033.3	691501.3	790042.2	754247.7
2/26/2022 10:15:00 PM	6	939082.6	1013816	984681.1	794841.5	886366.7	853252.3	991566.3	780566.9	787829.6	888656.3	837706.3	734599.8	1005747	1007929	1237466	1122983	1391404	1117242	1132139	1275862	1282875	1401300	1258683
2/26/2022 11:45:00 PM	7.5	1702559	1773160	1719185	1433398	1535963	1357853	1679183	1272139	1289777	1555916	1356467	1212307	1819145	1838426	1966481	1760164	2281527	2128801	1917235	2182945	2204381	2405648	2135578
2/27/2022 1:15:00 AM	9	2626491	2745872	2759841	2381025	2399295	2218321	2678301	2138265	2199241	2484856	2166289	1970752	2907439	2893689	3040231	2875332	3583497	3346269	2973001	3414210	3434460	3639077	3175359
2/27/2022 2:45:00 AM	10.5	3869107	4224098	3794841	3711781	3596963	3210846	3560480	3332938	3390365	3715751	3349825	3048510	4360985	4370945	4553493	4360250	5281419	4775641	4388212	5096881	5198200	5065511	4724870
2/27/2022 4:15:00 AM	12	5390557	5905224	5365329	5177446	5128572	4371783	4974509	4598905	4506050	5003902	4618382	4380494	6026582	6199077	6251045	5744798	7226793	6832564	6216186	6593900	6812715	7025444	6514899
2/27/2022 5:45:00 AM	13.5	7021002	8067425	7100691	7050839	6554567	6045737	6353403	6182236	6032913	6524930	6091627	5645390	8188478	8024250	8130822	7647658	9509532	8829840	7910800	8847431	8798558	8861344	8303892
2/27/2022 7:15:00 AM	15	9261467	1.060809E+07	9119518	9166126	8351134	7696890	8073250	7737492	7791398	8074442	7600948	6997553	1.057398E+07	1.040677E+07	1.022359E+07	9839962	1.210057E+07	1.108485E+07	1.033583E+07	1.072804E+07	1.103934E+07	1.114171E+07	1.011858E+07
2/27/2022 8:45:00 AM	16.5	1.136459E+07	1.314025E+07	1.100803E+07	1.118122E+07	1.029102E+07	9714399	1.005095E+07	1.007161E+07	9680754	9878683	9213737	8489040	1.325582E+07	1.286305E+07	1.249255E+07	1.197224E+07	1.516998E+07	1.376977E+07	1.32029E+07	1.346728E+07	1.3668E+07	1.348894E+07	1.227002E+07
2/27/2022 10:15:00 AM	18	1.376441E+07	1.576211E+07	1.325401E+07	1.368961E+07	1.258617E+07	1.185898E+07	1.182797E+07	1.229537E+07	1.186906E+07	1.204542E+07	1.084311E+07	1.004592E+07	1.596783E+07	1.528281E+07	1.466533E+07	1.393656E+07	1.833029E+07	1.614185E+07	1.616475E+07	1.627506E+07	1.661606E+07	1.625649E+07	1.429856E+07
2/27/2022 11:45:00 AM	19.5	1.623067E+07	1.877314E+07	1.531182E+07	1.601682E+07	1.49932E+07	1.440881E+07	1.393415E+07	1.476144E+07	1.386144E+07	1.437091E+07	1.249388E+07	1.154235E+07	1.880036E+07	1.850666E+07	1.716836E+07	1.66423E+07	2.204988E+07	1.967627E+07	1.955132E+07	1.911427E+07	1.939045E+07	1.896198E+07	1.648587E+07
2/27/2022 1:15:00 PM	21	1.883816E+07	2.136247E+07	1.791649E+07	1.880928E+07	1.796194E+07	1.657213E+07	1.58595E+07	1.674957E+07	1.595408E+07	1.654352E+07	1.455431E+07	1.372647E+07	2.192085E+07	2.16332E+07	1.948305E+07	1.906151E+07	2.538435E+07	2.261025E+07	2.253065E+07	2.17682E+07	2.254199E+07	2.134767E+07	1.889161E+07
2/27/2022 2:45:00 PM	22.5	2.183616E+07	2.396186E+07	2.039915E+07	2.135042E+07	1.983081E+07	1.936104E+07	1.795523E+07	1.938108E+07	1.833378E+07	1.904682E+07	1.621392E+07	1.557163E+07	2.470199E+07	2.433281E+07	2.249434E+07	2.219894E+07	2.924032E+07	2.497376E+07	2.534058E+07	2.508288E+07	2.605645E+07	2.453511E+07	2.099822E+07
2/27/2022 4:15:00 PM	24	2.442755E+07	2.745364E+07	2.240858E+07	2.40384E+07	2.241058E+07	2.191813E+07	1.979479E+07	2.137692E+07	2.08817E+07	2.102073E+07	1.767209E+07	1.667367E+07	2.81605E+07	2.730686E+07	2.466686E+07	2.496602E+07	3.300048E+07	2.859126E+07	2.867879E+07	2.818621E+07	2.861652E+07	2.707049E+07	2.318433E+07
