Vessel Name: HT1080_ATF4-rep-low_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
2/26/2022 4:25:00 PM	0	423502.6	486213.3	526345.8	397158.8	363111.4	441612.9	470951.7	509132.3	450343.3	375815.8	424456.8	378488.7	417329.1	613927	354338.1	470668.2	427455.3	399521.4	519801.7	333563	488797.3	455110	533961.4	374152.7
2/26/2022 5:55:00 PM	1.5	527758.8	516029.3	683904.1	404577.1	327231.7	393584.7	410118.3	356829.6	439651.7	387607.5	444563.5	353654	460928.3	560404.1	417345.1	479396.8	572629.2	465071.3	566525.8	425280	600791.6	477291.3	602227.7	451006.1
2/26/2022 7:25:00 PM	3	575562.6	560383.4	677397.3	423135	345830.4	357942.7	366581.9	356629.2	504870.3	509071.9	545546.8	469410.6	589991.1	723518.6	498853.1	529061.1	689640.3	695755.3	732996.8	571342	714432.4	572964.6	696894.8	582173.3
2/26/2022 8:55:00 PM	4.5	570287.6	599372.1	670306.6	503289.2	302425.7	341422.1	315744.3	328133.1	756315.8	622902.3	667198.8	630236.8	793121.3	1013541	742217.8	750803.3	923453.7	853119	951868	675879.4	930404.9	770075.8	841073.1	810961.3
2/26/2022 10:25:00 PM	6	609698.1	678710.4	714331.2	667990.7	287976.3	372928.9	329636.1	342470.7	1011408	879394.2	878678.1	854253.8	1085683	1368849	1034018	959162.1	1288347	1453873	1351641	996187.8	1182689	1059301	1050315	1105802
2/26/2022 11:55:00 PM	7.5	734475.3	778267.7	848592.1	718712.8	282114.8	390185.1	343392.8	355471.7	1157125	1183476	1031983	1039743	1411946	1540225	1205093	1150547	1832273	1923822	1760120	1393003	1558275	1354513	1377621	1359713
2/27/2022 1:25:00 AM	9	828674.2	849386.8	994933.3	755039	264365.7	403253.5	363969.7	356909.8	1169189	1205016	1138579	1151406	1555192	1867249	1441598	1422172	2226337	2259973	2019559	1765130	1893136	1662187	1530930	1527642
2/27/2022 2:55:00 AM	10.5	905273.3	984035.3	1037655	908305.9	258223.2	364009.9	352567.9	350317.7	1318794	1222069	1171302	1173450	1692500	2304045	1732518	1660541	2385798	2582578	2239524	2162293	2255303	1895840	1664134	1839846
2/27/2022 4:25:00 AM	12	865731.3	1084911	1141834	1013906	269339.6	385276.8	348339.3	376734.1	1464999	1310037	1336934	1230267	2038982	2572051	1977749	1934668	2813927	2990164	2774285	2610868	2391517	2250290	2039794	2093974
2/27/2022 5:55:00 AM	13.5	981854.9	1062707	1263649	1010788	237955.8	420245.9	368286.4	336801.6	1541563	1416917	1403193	1340462	2214759	2740512	2380544	2133401	3316358	3439194	3184333	3079267	2739632	2437872	2398029	2455954
2/27/2022 7:25:00 AM	15	1054236	1170421	1298840	995387.3	284830.9	446406.9	413348.9	328925	1700589	1611788	1460221	1500018	2518102	3160866	2613486	2541287	3555365	3867765	3644319	3480893	2983284	2714857	2780667	2700560
2/27/2022 8:55:00 AM	16.5	967904.6	1199379	1357439	1037040	299742.8	442565.2	410268.1	365089.6	1877881	1676062	1567313	1521801	2709834	3489539	2943250	2689158	4131586	4494210	4412590	4160825	3199748	2993097	3099877	2956111
2/27/2022 10:25:00 AM	18	1064904	1335297	1398339	1073529	343807.6	441590.7	410786.4	399842.3	2099669	1819523	1772118	1562320	3150088	3913887	3067146	3030439	4958690	5051373	4994713	4707598	3550479	3479997	3413512	3151193
2/27/2022 11:55:00 AM	19.5	1126868	1381517	1463601	1032402	334795.4	502413.2	460636.1	417581.6	2211535	2007072	2068607	1715353	3302733	4403686	3494965	3160889	5352057	5646666	5611667	5124553	3785489	3962808	3566350	3524355
2/27/2022 1:25:00 PM	21	1076187	1407569	1409114	1080674	339203.6	539328.5	475546.8	432809.4	2526183	2297763	2204999	1925208	3729774	4813316	3968817	3763526	5706210	5985625	6249445	5838734	4079216	4303292	3903390	3935227
2/27/2022 2:55:00 PM	22.5	1140132	1485218	1456551	1116130	357866.9	546725.3	479417.4	466921.6	2861899	2500009	2496276	2236141	4251929	5284157	4400243	3993995	6496042	6666677	6924000	6146166	4497391	4514557	4216132	3998543
2/27/2022 4:25:00 PM	24	1257618	1465445	1539681	1132126	391280.1	620865.2	494951.3	474131.4	3132088	2879339	2680870	2429398	4598702	5657244	4726733	4306116	7320237	7496099	7503257	6885642	4697249	4840356	4445788	4186840
2/27/2022 5:55:00 PM	25.5	1280968	1501891	1571604	1168797	386893.8	660097.5	514309.1	518380.4	3471039	3140279	2913571	2628173	5114547	5943318	5054490	4477408	7870963	8394071	8058046	7446425	5107399	4966953	4689997	4234054
