Vessel Name: HT1080_ATF4-rep-high_p1
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	C3	D3	A4	C4	D4	A5	B5	C5	D5	A6	B6	D6
2/28/2022 7:15:00 PM	0	1359130	1648406	1834375	1927441	1883198	1815043	1966507	2067091	1683214	1909177	2005619	1908277	2148098	2143896	1875286	2457075	2251775	2212835	2050077	1996368	2575610
2/28/2022 8:45:00 PM	1.5	1498299	1896411	1790173	2122384	1808759	1797849	1867109	2034977	1614703	1932347	2040927	2091614	2241211	2274685	2125829	2273531	2275015	2413097	2056780	2201723	2538903
2/28/2022 10:15:00 PM	3	1256008	1687599	1663633	2012964	1664777	1669064	1826538	2031650	1618505	1925166	1917697	1945415	2193108	2167613	1951415	2261418	2272159	2391867	1873422	1994781	2326221
2/28/2022 11:45:00 PM	4.5	1229989	1671870	1670109	1928795	1576379	1636032	1774055	1902503	1767318	2131745	2098730	2203525	2290862	2268852	2178341	2366893	2308286	2797872	2103544	2262115	2594827
3/1/2022 1:15:00 AM	6	1311449	1662193	1612525	1975390	1470140	1549566	1747039	1820147	1883087	2093634	2261616	2470744	2861431	2806637	2601922	2734191	2416983	3214737	2507741	2689769	3041833
3/1/2022 2:45:00 AM	7.5	1477842	1574190	1700867	2230806	1540590	1641993	1810173	1905599	1977390	2227057	2701509	3037288	3482880	3196753	3076940	3277687	2915571	3758403	2983329	3164931	3207802
3/1/2022 4:15:00 AM	9	1554324	1758034	1838933	2241586	1480418	1615130	1824347	2134867	2099741	2430957	2865850	3457678	3791721	3638457	3404419	3602114	3314725	4199177	3440978	3958157	3677812
3/1/2022 5:45:00 AM	10.5	1798567	1833830	1977211	2416556	1468641	1681029	1821411	2102479	2123678	2546190	2865020	3437202	3871327	3794631	3885231	3912252	3547675	4457663	3778555	3996240	4043172
3/1/2022 7:15:00 AM	12	1961659	1831994	1955515	2493879	1590371	1712118	1894415	2256168	2262552	2552466	2958239	3574124	3853614	3869577	3892151	3950196	3678574	4538720	3878946	4103353	4011643
3/1/2022 8:45:00 AM	13.5	2214049	1924629	2059751	2682841	1821450	1679062	1989224	2479202	2276351	2472023	3066380	3523567	4058203	4028629	4127857	4198560	4014695	4595125	4075660	4219645	4096740
3/1/2022 10:15:00 AM	15	2246802	2103341	2198789	3038773	1979815	1934277	2130944	2520647	2491833	2688368	3154647	3515073	4122892	4506382	4296442	4242549	4296066	4778851	4219887	4204056	4316369
3/1/2022 11:45:00 AM	16.5	2567725	2407106	2479773	3366678	2086623	2137909	2272260	2704938	2683497	2832265	3208029	3687178	4337059	4660602	4533003	4433950	4527975	5109704	4240044	4227349	4363541
3/1/2022 1:15:00 PM	18	2998472	2749831	2888430	3654070	2264488	2281049	2526899	2903621	2704096	3015683	3329546	3833341	4184654	4798886	4434049	4631845	4660181	5353661	4035278	4359758	4489256
3/1/2022 2:45:00 PM	19.5	3400449	2959960	3344116	4115472	2435529	2507955	2819615	3102847	2910794	3146494	3639161	4366461	4262611	4882433	4708867	4585627	4885318	5425806	4158598	4404156	4681005
3/1/2022 4:15:00 PM	21	3674634	3417817	3728428	4522537	2681898	2719848	2987941	3474700	3060421	3215183	3753095	4449252	4649325	5293445	5050747	4811513	5261378	5907296	4630010	4759910	4684946
3/1/2022 5:45:00 PM	22.5	4102361	3951814	4298882	5106596	3012916	3108643	3208483	3903120	3192399	3366939	3863706	4738255	5076515	5605774	5272590	5299765	5501751	6120906	4802210	4881122	4872788
3/1/2022 7:15:00 PM	24	4658614	4648670	4832586	5848285	3396453	3349889	3715736	4281636	3413275	3543907	4312975	4957037	5556505	5954624	5601451	5607782	5758418	6591455	5115106	5140107	4905676
3/1/2022 8:45:00 PM	25.5	5418960	5393597	5649539	6743112	3736254	3911104	3973161	4630032	3682474	3855157	4695842	5441393	6004140	6502687	6116739	6041054	6383553	6990942	5420682	5485091	5294988
