Vessel Name: HT1080_ATF4-rep-high_p4
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
2/28/2022 7:45:00 PM	0	1496820	1719708	1511433	1613755	1756917	2032822	1912827	1393253	1982830	1586621	1682452	1420669	1907830	2114880	1909407	1817872	2228865	2210901	1917094	2025023	1830896	1799145	1644244	1522474
2/28/2022 9:15:00 PM	1.5	1824544	2014180	1710693	1916124	1846647	2074379	1980118	1621571	2001627	1739702	1840328	1592454	2121132	2318233	2093587	1850062	2655134	2369288	2528648	2271421	2012141	2017905	1878679	1636936
2/28/2022 10:45:00 PM	3	2559214	2829967	2612027	2778106	2572733	2670734	2531128	2365446	2851330	2174839	2519391	2321605	2804881	2927711	2746429	2537996	3427114	3170223	3356082	2977512	2573345	2780658	2599046	2385602
3/1/2022 12:15:00 AM	4.5	4127368	4465133	4044455	4238215	4003445	3743808	3867156	3500740	3806730	3334490	3504355	3514717	3808846	4206503	3872870	3890774	5214502	4539550	5086420	4780632	3824273	4238121	3807468	3767403
3/1/2022 1:45:00 AM	6	6302412	6840906	6380532	6396463	5726458	5385589	5558471	4896792	5280694	4754779	4907730	4918105	5285400	5965892	5459519	5480856	7634026	7182772	7540260	6768646	5533758	6060771	5479666	5136454
3/1/2022 3:15:00 AM	7.5	8644765	9794133	8987769	9086140	7654086	7076589	7651229	6316661	6772906	6206158	6429926	6735586	7147138	8096569	7164611	7031682	1.068285E+07	1.00176E+07	1.010083E+07	9405995	7441164	8466825	7233727	6958760
3/1/2022 4:45:00 AM	9	1.199433E+07	1.189823E+07	1.194451E+07	1.180555E+07	9400723	8935541	9650309	7780172	8336230	7917088	8310209	8093261	9048281	1.003687E+07	8930509	8727150	1.365804E+07	1.327078E+07	1.267068E+07	1.14031E+07	9177665	1.058486E+07	9322818	8753205
3/1/2022 6:15:00 AM	10.5	1.521363E+07	1.481398E+07	1.447744E+07	1.419791E+07	1.124162E+07	1.093117E+07	1.140324E+07	9416654	9947897	9865758	9434100	9755963	1.084961E+07	1.211156E+07	1.086572E+07	1.043134E+07	1.665744E+07	1.590508E+07	1.520345E+07	1.341467E+07	1.062493E+07	1.232642E+07	1.085492E+07	1.017355E+07
3/1/2022 7:45:00 AM	12	1.807692E+07	1.764227E+07	1.764611E+07	1.634925E+07	1.357054E+07	1.244716E+07	1.366058E+07	1.065414E+07	1.186277E+07	1.199074E+07	1.078035E+07	1.151527E+07	1.273799E+07	1.37598E+07	1.234444E+07	1.182132E+07	1.979243E+07	1.860358E+07	1.822223E+07	1.629911E+07	1.184565E+07	1.453814E+07	1.288666E+07	1.194069E+07
3/1/2022 9:15:00 AM	13.5	2.105367E+07	2.03928E+07	2.058663E+07	1.931489E+07	1.620382E+07	1.452683E+07	1.535508E+07	1.2042E+07	1.40064E+07	1.389552E+07	1.280598E+07	1.354136E+07	1.504747E+07	1.63428E+07	1.449842E+07	1.364318E+07	2.289039E+07	2.229228E+07	2.106298E+07	1.910921E+07	1.314389E+07	1.647877E+07	1.446919E+07	1.327116E+07
3/1/2022 10:45:00 AM	15	2.371165E+07	2.346713E+07	2.343503E+07	2.226865E+07	1.912058E+07	1.67386E+07	1.805463E+07	1.33097E+07	1.591267E+07	1.610332E+07	1.508126E+07	1.539883E+07	1.683594E+07	1.900516E+07	1.648246E+07	1.556533E+07	2.578779E+07	2.566357E+07	2.402744E+07	2.168519E+07	1.50557E+07	1.843929E+07	1.595234E+07	1.472623E+07
3/1/2022 12:15:00 PM	16.5	2.686838E+07	2.765076E+07	2.680644E+07	2.581377E+07	2.160249E+07	1.924944E+07	2.106565E+07	1.541952E+07	1.790326E+07	1.861441E+07	1.726323E+07	1.751117E+07	1.95104E+07	2.17376E+07	1.881743E+07	1.756804E+07	2.913162E+07	2.957255E+07	2.712442E+07	2.41047E+07	1.583798E+07	2.072481E+07	1.730208E+07	1.568523E+07
3/1/2022 1:45:00 PM	18	3.124351E+07	3.146932E+07	3.026454E+07	2.856792E+07	2.36128E+07	2.196414E+07	2.301221E+07	1.700202E+07	2.036194E+07	2.070779E+07	1.953954E+07	1.956158E+07	2.128088E+07	2.452422E+07	2.131284E+07	1.932377E+07	3.195226E+07	3.281805E+07	3.051974E+07	2.711289E+07	1.774758E+07	2.215916E+07	1.925567E+07	1.694844E+07
3/1/2022 3:15:00 PM	19.5	3.49718E+07	3.502712E+07	3.347623E+07	3.196372E+07	2.55348E+07	2.401013E+07	2.50557E+07	1.81221E+07	2.204128E+07	2.282439E+07	2.131577E+07	2.064985E+07	2.339853E+07	2.741063E+07	2.309058E+07	2.104403E+07	3.500427E+07	3.672866E+07	3.323446E+07	2.974573E+07	1.88963E+07	2.392977E+07	2.032499E+07	1.776239E+07
3/1/2022 4:45:00 PM	21	3.826288E+07	3.846773E+07	3.753264E+07	3.435127E+07	2.825934E+07	2.609054E+07	2.694434E+07	2.002758E+07	2.439267E+07	2.478911E+07	2.373282E+07	2.310606E+07	2.469849E+07	2.933441E+07	2.495969E+07	2.282252E+07	3.792615E+07	3.934565E+07	3.683494E+07	3.184485E+07	2.050421E+07	2.552958E+07	2.158956E+07	1.811827E+07
3/1/2022 6:15:00 PM	22.5	4.229793E+07	4.266427E+07	4.112905E+07	3.78881E+07	3.098197E+07	2.943292E+07	2.993203E+07	2.247073E+07	2.704305E+07	2.75601E+07	2.542755E+07	2.454436E+07	2.655503E+07	3.074591E+07	2.729232E+07	2.466497E+07	4.190085E+07	4.142449E+07	4.003572E+07	3.467465E+07	2.246606E+07	2.764943E+07	2.281354E+07	1.937752E+07
3/1/2022 7:45:00 PM	24	4.656132E+07	4.725E+07	4.524099E+07	4.10912E+07	3.424147E+07	3.135332E+07	3.269867E+07	2.434788E+07	2.978544E+07	3.021127E+07	2.939025E+07	2.670932E+07	2.892525E+07	3.343922E+07	2.868821E+07	2.59014E+07	4.385586E+07	4.563756E+07	4.225421E+07	3.682181E+07	2.3837E+07	2.893578E+07	2.424872E+07	2.105149E+07
