Vessel Name: P3-9-15-21-27							
Date Time	Elapsed	A1	B1	A2	B2	A3	B3
7/17/21 10:52	0	15920.06	15303.56	16161.52	14378.91	14738.47	15683.77
7/17/21 12:52	2	26189.47	22814.28	21576.25	19850.1	21278.27	20142.97
7/17/21 14:52	4	19593.27	19012.7	21940.96	20744	19084.55	20692.65
7/17/21 16:52	6	22156.69	22773.26	20060.8	21134.43	20790.15	20399.77
7/17/21 18:52	8	29621.25	29087	28547.57	24725.46	25948.1	25295.64
							
							
							
							
							
							
							
							
							
							
	Treatment	Rotenone	IC Time	IC Count			
	Vec	10	7/17/21 10:52	15920.06			
	Vec	10	7/17/21 10:52	16161.52			
	Vec	10	7/17/21 10:52	14738.47			
	Vec	10	7/17/21 10:52	15303.56			
	Vec	10	7/17/21 10:52	14378.91			
	Vec	10	7/17/21 10:52	15683.77			
	SM	5	7/17/21 12:52	26189.47			
	SM	5	7/17/21 12:52	21576.25			
	SM	5	7/17/21 12:52	21278.27			
	SM	5	7/17/21 12:52	22814.28			
	SM	5	7/17/21 12:52	19850.1			
	SM	5	7/17/21 12:52	20142.97			
	Asp	0	7/17/21 14:52	19593.27			
	Asp	0	7/17/21 14:52	21940.96			
	Asp	0	7/17/21 14:52	19084.55			
	Asp	0	7/17/21 14:52	19012.7			
	Asp	0	7/17/21 14:52	20744			
	Asp	0	7/17/21 14:52	20692.65			
	Asp	160	7/17/21 16:52	22156.69			
	Asp	160	7/17/21 16:52	20060.8			
	Asp	160	7/17/21 16:52	20790.15			
	Asp	160	7/17/21 16:52	22773.26			
	Asp	160	7/17/21 16:52	21134.43			
	Asp	160	7/17/21 16:52	20399.77			
	Pyr	80	7/17/21 18:52	29621.25			
	Pyr	80	7/17/21 18:52	28547.57			
	Pyr	80	7/17/21 18:52	25948.1			
	Pyr	80	7/17/21 18:52	29087			
	Pyr	80	7/17/21 18:52	24725.46			
	Pyr	80	7/17/21 18:52	25295.64			
