Vessel Name: P6-12-18-24							
Date Time	Elapsed	A1	B1	A2	B2	A3	B3
7/17/21 11:40	0	19228.47	17702.73	18745.57	16634.1	18010.99	17476.68
7/17/21 13:40	2	20677.22	21930.64	20708	20528.25	21442.72	20286.77
7/17/21 15:40	4	26996.11	26960.15	26415.59	23697.93	23882.95	24391.52
7/17/21 17:40	6	16942.41	15786.48	16829.36	15699.2	16516	15966.26
							
							
							
							
							
							
							
							
							
							
							
	Treatment	Rotenone	IC Time	IC Count			
	Vec	80	7/17/21 11:40	19228.47			
	Vec	80	7/17/21 11:40	18745.57			
	Vec	80	7/17/21 11:40	18010.99			
	Vec	80	7/17/21 11:40	17702.73			
	Vec	80	7/17/21 11:40	16634.1			
	Vec	80	7/17/21 11:40	17476.68			
	SM	40	7/17/21 13:40	20677.22			
	SM	40	7/17/21 13:40	20708			
	SM	40	7/17/21 13:40	21442.72			
	SM	40	7/17/21 13:40	21930.64			
	SM	40	7/17/21 13:40	20528.25			
	SM	40	7/17/21 13:40	20286.77			
	Asp	20	7/17/21 15:40	26996.11			
	Asp	20	7/17/21 15:40	26415.59			
	Asp	20	7/17/21 15:40	23882.95			
	Asp	20	7/17/21 15:40	26960.15			
	Asp	20	7/17/21 15:40	23697.93			
	Asp	20	7/17/21 15:40	24391.52			
	Pyr	10	7/17/21 17:40	16942.41			
	Pyr	10	7/17/21 17:40	16829.36			
	Pyr	10	7/17/21 17:40	16516			
	Pyr	10	7/17/21 17:40	15786.48			
	Pyr	10	7/17/21 17:40	15699.2			
	Pyr	10	7/17/21 17:40	15966.26			
							
							
							
							
							
							
