Vessel Name: H1299-Nuc-RFP_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
3/30/2022 10:20:00 PM	0	4692.938	5102.875	4365.188	5266.875	3934.75	4262.688	3791.188	4283.188	4570.125	3709.25	4447.125	4078.25	4508.625	4775.125	3565.813	4570.188	4857.063	4262.688	4139.688	4426.75	5266.938	4426.5	5963.75	4549.688
3/31/2022 4:20:00 AM	6	5533.5	5451.375	4959.563	6394.188	4508.625	4877.563	4467.688	4836.563	4939.063	4303.625	5000.5	4898.25	5143.875	5226	3668.313	5000.625	5512.938	5000.563	4406.125	5062.063	6189.375	5205.438	6742.625	5390
3/31/2022 10:20:00 AM	12	7214.125	6558.25	5943.5	7378.063	4939.063	5615.375	5000.5	5718	6127.813	4836.625	5820.375	5533.563	5717.813	6168.938	4344.688	5738.438	5922.813	5471.938	5451.563	5922.875	7377.938	5922.938	7787.875	5943.375
3/31/2022 4:20:00 PM	18	7767.5	7849.438	7070.5	8669.25	5840.938	5799.813	5595	6312.313	6455.625	5451.563	6209.938	6189.25	6291.813	6701.75	4857	6517.188	6824.563	6414.813	5922.875	6558.313	8751.313	6599.25	8853.625	6742.625
3/31/2022 10:20:00 PM	24	8956.25	9140.688	7890.438	9919.563	6845.063	6414.75	6045.813	6742.813	6845.25	5799.938	6517.313	6681.125	6537.688	6906.625	4898.063	6763.188	6988.563	6537.688	6332.938	6947.625	8976.813	7337.063	9489.125	7378.063
4/1/2022 4:20:00 AM	30	10432.06	10186	9058.813	11292.75	7316.5	6947.688	6373.75	7214.25	6927.125	5861.375	6660.625	7050	6640.125	7460.125	5103.063	6906.625	7419.125	7029.625	6619.813	7111.688	9960.563	8464.313	10985.31	8156.813
4/1/2022 10:20:00 AM	36	11846.19	11538.69	11231.25	13649.88	8136.375	7542.063	7029.563	8259.313	7808.5	6127.875	6845.125	7583.063	6804.125	7808.5	5184.875	6845.063	7972.5	7664.938	6824.625	7357.563	11149.19	9530	13014.44	9673.5
4/1/2022 4:20:00 PM	42	15023	13752.06	13772.63	15596.94	8812.75	8997.313	8095.438	8997	8771.75	6783.688	7152.563	8013.438	7214	8054.438	5574.375	6968.188	8464.313	8054.5	7501.063	8136.313	13936.81	10821.25	14326.13	11641.06
4/1/2022 10:20:00 PM	48	18117.94	16539.5	16847.06	18630.19	10206.56	9858.125	9161.188	10042.44	8915.313	7316.625	7706	8259.375	7131.938	8259.438	5553.938	7316.5	9591.563	8730.813	8320.875	8997.188	15863.31	12666.06	16724.19	13731.75
4/2/2022 4:20:00 AM	54	21725.19	19531.94	20228.94	23180.31	12235.63	11436.25	10308.81	11661.56	9817.063	7808.375	7828.875	8689.75	7214	8177.438	5758.875	7214.063	10903.31	9960.5	8710.375	9817	17810.44	14367.06	19163.25	15719.75
