Vessel Name: H1299-Nuc-RFP_Rot_p1
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
3/30/2022 10:00:00 PM	0	5471.938	6414.875	5984.313	5615.375	5021	4734	4631.563	6496.625	5205.625	4508.625	4816	5389.938	4631.625	4693.125	4262.688	5144.063	4959.5	4836.625	5082.5	4857.125	5574.438	5676.813	5369.375	6086.813
3/31/2022 4:00:00 AM	6	6558.188	6988.688	7193.625	6640.188	5697.438	5328.375	5410.5	7214.063	5922.938	5143.938	5205.438	6127.813	5041.563	5185.063	4344.688	6127.875	5676.938	5082.5	5390.063	5594.938	6619.688	6599.188	6496.75	6824.75
3/31/2022 10:00:00 AM	12	7480.563	8300.313	8361.875	7624.063	6660.688	6414.625	6496.563	8423.438	6742.563	5922.875	5984.313	7357.563	5922.813	5963.813	5226.063	6906.5	6681.188	5841	5902.438	6394.188	7706	7992.938	7705.875	8054.438
3/31/2022 4:00:00 PM	18	8935.563	9919.438	9120.25	8279.875	7255	7173	7029.625	9181.625	7398.625	6476.25	7070.688	8382.313	6537.75	6537.75	5902.438	7459.875	7173.125	6640.188	7255.063	7316.625	8546.25	8771.813	8853.75	9017.75
3/31/2022 10:00:00 PM	24	10247.44	11374.69	10534.31	10124.56	7870	7685.375	7788	10206.56	7951.875	7234.563	7439.563	8546.188	6742.75	6824.563	6230.313	8033.813	7767.438	6599.188	7726.5	7337	9427.563	9591.625	10001.69	10042.38
4/1/2022 4:00:00 AM	30	12112.56	13157.94	12645.56	11928.06	8833.125	8238.875	8484.875	11395.13	8177.438	7419.063	7398.563	9120.188	7070.688	6742.563	6332.813	8218.313	8505.375	7050.125	7623.938	7419.188	10841.81	11313.25	11805.13	11538.63
4/1/2022 10:00:00 AM	36	15125.5	15678.88	15022.94	13752.25	10493.38	8669.25	9571	13116.94	8361.75	7275.5	7992.875	9878.438	7070.563	7070.563	6353.188	8669.25	8464.313	7972.438	8443.875	8136.25	12215	12481.56	13444.63	13260.44
4/1/2022 4:00:00 PM	42	17994.88	18876.13	18712.25	15596.81	11087.69	9694.063	10862.38	14572.06	8669.375	7972.375	8669.313	9980.938	7070.5	7132.063	6148.25	8587.313	9202.125	8402.813	9017.813	9345.5	14387.69	14326.06	15658.44	14469.56
4/1/2022 10:00:00 PM	48	20843.75	22463	22380.94	18958.13	13035.06	11169.69	12850.44	16724.25	9263.563	8669.313	8833.25	11005.81	7398.563	7111.563	6353.313	9058.563	10718.88	9550.563	9981.063	10247.5	16867.69	16560.25	17564.5	16703.75
4/2/2022 4:00:00 AM	54	25434.88	26992.44	26890.19	24471.69	15022.94	12747.94	14162.25	19634.5	9899.063	8956.188	9735.063	11866.56	7316.563	7234.5	6824.75	9345.5	11559.25	10862.31	10677.81	10841.75	19942	19470.63	20003.38	19819.06
4/2/2022 10:00:00 AM	60	31132.75	31993.63	33284.88	29759.56	17790	14941	16908.69	22729.38	10800.75	9714.563	10616.31	13465.38	7377.938	7746.938	6947.688	10042.44	13157.81	11784.63	12645.38	12542.94	24041.13	23159.88	23549.25	22872.88
4/2/2022 4:00:00 PM	66	36769.25	39474.63	39577.13	36933.25	20782.19	17646.5	19818.94	26644	12297	10616.44	12051.06	15064.06	7337.125	8095.438	7173.125	10472.88	14223.69	12665.88	13752.19	14285.06	27873.88	27197.56	27751	26029.19
4/2/2022 10:00:00 PM	72	44270.69	47365.5	48759.19	42508.06	23692.63	20536.38	22749.94	31891	13957.25	11764.19	12993.94	17195.56	7624.125	8177.313	7419.063	10554.94	16047.75	14695	15186.94	16109.38	32915.88	31993.63	31973.06	32485.56
4/3/2022 4:00:00 AM	78	54334.06	55994.31	60114	53411.94	28652.69	23098.31	26398.31	37752.94	16519.31	12522.5	14756.5	19368.06	7931.563	8279.813	7787.938	11538.75	17769.5	17174.94	17011.06	18261.31	39781.94	37609.44	36461.75	38347.25
4/3/2022 10:00:00 AM	84	65381.44	67533.38	71550.63	64930.5	33838.13	27279.44	32546.81	45746.31	17687.44	13936.69	16293.56	22216.94	8177.438	8792.313	8341.375	12174.06	20782.19	19142.75	19511.56	20966.81	45705.19	44967.38	44270.56	44291.06
4/3/2022 4:00:00 PM	90	79154.69	82700.44	87393.94	78888.31	40171.38	33653.75	39023.63	54457.06	20352.06	15801.88	18999.19	26090.75	8648.813	9386.688	8771.75	13342.31	23549.31	21725.06	22114.5	24410.13	54457.06	52592.06	52346.19	54334
4/3/2022 10:00:00 PM	96	94588	96637.56	103852.2	98113.31	48246.88	38900.56	45828.31	65709.31	23590.31	17502.94	21253.75	30210.38	8915.375	9755.625	9325.188	14490.06	26521.19	25291.56	25291.44	27259.06	63475.25	60687.75	61323.19	64725.44
4/4/2022 4:00:00 AM	102	115206.8	116785.1	123200.2	119777.5	58433.25	46935.13	54436.56	78437.25	27013	20105.88	24512.63	34740	9714.563	10165.44	10411.5	15637.88	31460.63	29657	27464	32874.88	73538.75	71899.06	70525.81	76080.06
