Vessel Name: H1299-Nuc-RFP_Rot_p2
Date Time	Elapsed	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6
3/30/2022 10:20:00 PM	0	4856.969	4067.953	4201.188	4354.938	4421.547	5051.719
3/31/2022 4:20:00 AM	6	5584.656	4672.609	4785.359	4759.703	4995.422	5881.859
3/31/2022 10:20:00 AM	12	6773.484	5318.234	5579.594	5492.469	5692.297	6758.031
3/31/2022 4:20:00 PM	18	7839.172	5887.016	6076.594	6091.938	6430.141	7736.703
3/31/2022 10:20:00 PM	24	8976.734	6512.109	6460.906	6276.391	6701.703	8295.266
4/1/2022 4:20:00 AM	30	10242.41	6963.047	6624.781	6527.484	7045.063	9391.75
4/1/2022 10:20:00 AM	36	12066.5	7741.828	7091.141	6660.641	7454.906	10841.78
4/1/2022 4:20:00 PM	42	14536.16	8725.625	7680.359	6952.75	8039.047	12681.31
4/1/2022 10:20:00 PM	48	17533.67	9817.078	8049.328	7065.453	8910.109	14746.33
4/2/2022 4:20:00 AM	54	21166.59	11410.56	8536.016	7091.094	9847.797	16765.13
4/2/2022 10:20:00 AM	60	25496.42	13255.23	9325.109	7424.141	10918.73	19660.2
4/2/2022 4:20:00 PM	66	31209.67	15274.03	10098.86	7572.813	12004.97	22621.88
4/2/2022 10:20:00 PM	72	37588.97	17836.03	11005.77	7987.844	13588.27	26531.36
4/3/2022 4:20:00 AM	78	45700.2	20900.13	12389.31	8484.875	15012.7	30794.53
4/3/2022 10:20:00 AM	84	55881.47	24886.64	13885.42	8894.75	16785.64	36446.3
4/3/2022 4:20:00 PM	90	66749.44	29790.27	15878.7	9371.25	19347.66	42600.23
4/3/2022 10:20:00 PM	96	80932.67	35529.14	17943.63	9858.016	22109.41	49666.14
4/4/2022 4:20:00 AM	102	99276.47	43496.94	20310.97	10452.44	24353.77	58366.64
4/4/2022 10:20:00 AM	108	117789.3	52638	23339.22	11630.95	27981.5	69183.41
4/4/2022 4:20:00 PM	114	138439	62675.94	26869.56	12281.69	32629	80497.08
4/4/2022 10:20:00 PM	120	160149.2	75270.67	31691.28	13583.19	36784.44	93122.58
4/5/2022 4:20:00 AM	126	180127.6	90432.5	37194.42	14787.22	41795.72	108161.4
4/5/2022 10:20:00 AM	132	199783.1	108197.3	43860.7	16580.73	47821.55	124056
4/5/2022 4:20:00 PM	138	214555.6	128729.1	52494.63	18594.38	54518.58	140632
4/5/2022 10:20:00 PM	144	221088.6	151418	61979.02	20449.28	60616.09	158135.5
4/6/2022 4:20:00 AM	150	217230.3	174096.7	74204.88	22811.39	67687.11	175306
4/6/2022 10:20:00 AM	156	209226.6	195745.5	87470.84	26065.09	74789	191641.2
4/6/2022 4:20:00 PM	162	194218.6	215595.8	102309.8	29846.69	83561.25	202498.8
4/6/2022 10:20:00 PM	168	191605.3	235000.2	119521.3	34340.41	92364.2	210149
4/7/2022 4:20:00 AM	174	190088.6	250003.3	137475.6	38808.42	100096.3	211096.9
4/7/2022 10:20:00 AM	180	197620.8	263135.9	157433.5	44870.11	107141.7	212982.5
