Vessel Name: H1299-Nuc-RFP_Rot_p3
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
3/30/2022 10:40:00 PM	0	4180.75	4918.563	4344.688	4385.625	4016.688	2684.375	2110.563	4180.813	3586.313	4160.125	2704.938	3791.313	4057.625	3627.25	2745.875	3955.25	4242.125	4221.813	2807.5	3750.313	4754.563	4180.75	3832.125	4672.688
3/31/2022 4:40:00 AM	6	5369.438	5779.438	4939.125	5430.938	5041.563	2930.375	2459	4836.625	4221.625	4754.563	3217.375	4447.125	4508.688	4221.75	3094.375	4426.688	4857	4898.188	2950.938	4201.125	6250.75	4898	4549.688	5677
3/31/2022 10:40:00 AM	12	6476.188	6865.688	5963.75	5984.438	5697.375	3545.313	2868.938	5369.5	4815.938	5512.875	3504.313	4939	4877.563	5041.438	3545.375	4959.563	5574.313	5656.375	3278.813	4918.5	6968	5656.313	5185	6701.813
3/31/2022 4:40:00 PM	18	7234.563	8054.5	6886.063	6906.75	6558.063	3934.688	3217.375	6230.25	5102.938	5840.875	4037.125	5430.875	5594.938	5205.375	3893.688	5185.125	6250.688	6517.188	3934.688	5471.938	7747	6250.75	5881.813	7480.438
3/31/2022 10:40:00 PM	24	8238.875	9304.625	8218.438	7972.375	6742.625	4816.063	3688.688	6722.125	5307.938	6291.75	4324.125	5615.375	5881.938	5410.313	3934.75	5328.563	6414.688	6455.688	4139.688	5635.938	8443.75	6968.063	6271.313	8443.688
4/1/2022 4:40:00 AM	30	9919.688	10944.19	9202.125	9386.563	7439.625	5123.438	3668.25	7029.625	5430.938	6414.75	4406.188	5492.313	5676.938	5389.813	3811.75	5635.875	6681.125	6845.125	4098.625	5963.813	10206.5	8074.938	7275.5	9366.188
4/1/2022 10:40:00 AM	36	11354.31	13219.31	11005.81	10985.38	8484.875	5553.875	4406.063	7767.438	5984.375	6537.75	4529.125	5717.875	5963.938	5471.813	3873.25	5390.063	6906.625	7521.563	4385.563	6394.188	11313.31	8853.75	7972.438	10144.88
4/1/2022 4:40:00 PM	42	13895.69	15596.94	13998.06	12317.56	8874.25	5922.813	5082.438	8915.188	6107.313	7009.125	4898.063	5922.75	6209.875	5574.25	4057.75	5389.938	7542	8095.375	4713.688	7255	12645.44	10329.38	9509.563	11948.63
4/1/2022 10:40:00 PM	48	16929.06	18589.25	16150.19	15228.06	9899.063	6824.75	5963.938	10104	6599.125	7480.438	5451.375	6373.75	6066.375	5779.375	4037.25	5533.313	8320.875	9202.188	5226	7583.063	14346.75	11784.63	11108.31	13834.19
4/2/2022 4:40:00 AM	54	20065.06	22852.44	19122.19	18999.06	10985.38	8095.313	6804.188	11272.31	7193.563	7931.438	5902.375	6988.75	6578.625	6168.688	3996.313	5656.25	9202.25	9735.063	5738.375	8054.5	17113.63	13526.81	12338	15883.81
4/2/2022 10:40:00 AM	60	24799.5	28201.81	23221.31	22647.56	13403.88	8710.25	7521.5	13178.38	7870	8997.188	6250.75	7439.625	6517.25	6168.625	4303.625	6168.75	9919.625	11231.31	6455.75	9202.25	20228.94	16006.75	13957.25	18199.88
4/2/2022 4:40:00 PM	66	29554.63	34022.63	28037.88	27525.44	15207.44	9571	9058.625	15576.31	8566.813	9632.625	7029.688	8280	7152.75	6209.688	4242.125	6373.75	11210.69	13178.31	7357.5	10308.88	23200.81	18425.38	16703.69	21725.13
4/2/2022 10:40:00 PM	72	35334.5	41196.13	33776.69	33325.81	17359.44	11559.06	9899.125	18240.81	9550.688	10575.44	7664.875	9038.25	7726.438	6763.188	4344.625	6722.125	12010.13	14797.5	7726.438	11456.81	26685.13	21663.63	19327.13	25086.44
4/3/2022 4:40:00 AM	78	44803.44	50870.25	42097.94	39905.06	20577.31	13916.19	11415.56	22012.13	10882.75	11190.31	8607.75	9960.563	7808.438	7131.938	4344.625	6865.688	13547.31	17236.56	8587.313	13075.88	31522.06	25147.94	23508.31	30189.94
4/3/2022 10:40:00 AM	84	53309.25	60708.31	49210.13	48431.25	24410	16252.75	14182.56	25332.38	12461.13	12952.94	9509.625	11764	8464.313	7193.5	4467.563	6886.188	15309.88	19265.63	9427.5	14326.25	36994.63	29698.13	27505.06	35211.44
