Vessel Name: U-13C-Asn_uptake-flux
Date Time	Elapsed	A1	B1	A2	B2	A3	B3
10/3/2020 12:30:00 AM	0	126459.3	123556.7	123212.8	127683.6	125372.6	125125
10/3/2020 2:30:00 AM	2	128784.1	124891.1	125840.3	129623.2	126500.6	126376.7
10/3/2020 4:30:00 AM	4	134080.2	129526.9	129004.2	135579.6	131053.8	132787.1
10/3/2020 6:30:00 AM	6	141976.2	137532.9	137670.5	141701.1	137519.2	138826
10/3/2020 8:30:00 AM	8	149528.3	144906.2	143475.5	149583.3	145539	144988.8
10/3/2020 10:30:00 AM	10	156984.1	153077.3	151206.5	156516.4	152953.5	153393.8
10/3/2020 12:30:00 PM	12	159295.1	151674.2	155979.8	158345.9	155085.7	153132.3
10/3/2020 2:30:00 PM	14	166640.8	160932.1	163697	165705.4	162142.6	161193.4
10/3/2020 4:30:00 PM	16	174399.3	169983.6	172872.4	175155.8	170547.5	169474.6
10/3/2020 6:30:00 PM	18	185940.6	182405.3	183354.5	184014.8	180960.9	179365.2
10/3/2020 8:30:00 PM	20	200219.5	197041.8	199229	199187.7	195776.2	195239.8
10/3/2020 10:30:00 PM	22	220234.6	214773.4	218886.5	217676	215557.5	213769.2
10/4/2020 12:30:00 AM	24	238337.6	230194	235834	234417.2	232037.3	231184.4
10/4/2020 2:30:00 AM	26	255133.8	247182.8	252712.7	252520.2	248530.8	247526.6
10/4/2020 4:30:00 AM	28	271696.1	266936.5	270705.7	274007.1	264350.4	265038.2
10/4/2020 6:30:00 AM	30	293760.9	289193.8	292853	296319.5	287020.4	286071.3
10/4/2020 8:30:00 AM	32	317201.3	313707.3	314890.3	320268.9	308397.4	307957.2
10/4/2020 10:30:00 AM	34	344218.3	341370.7	341700.9	347849.9	335923.3	334740.3
10/4/2020 12:30:00 PM	36	375224.6	370547.4	371881.8	375238.3	364907.5	363958.3
