Compound	Hypoxanthine (uM)	Isotopologue	Ratio
Gln	0	15N0	1.773950928
Gln	20	15N0	1.753952677
Gln	100	15N0	1.003505903
Gln	0	15N1	98.22604907
Gln	20	15N1	98.24604732
Gln	100	15N1	98.9964941
ATP	0	15N0	0.054070786
ATP	20	15N0	11.80500058
ATP	100	15N0	98.70991703
ATP	0	15N1	1.123541344
ATP	20	15N1	1.277790774
ATP	100	15N1	0.891375016
ATP	0	15N2	98.82238787
ATP	20	15N2	86.91720865
ATP	100	15N2	0.398707956
GTP	0	15N0	0
GTP	20	15N0	0
GTP	100	15N0	0
GTP	0	15N1	0
GTP	20	15N1	20.56943944
GTP	100	15N1	100
GTP	0	15N2	1.157329644
GTP	20	15N2	0.581366322
GTP	100	15N2	0
GTP	0	15N3	98.84267036
GTP	20	15N3	78.84919424
GTP	100	15N3	0
