Vessel Name: H1299_Nuc-RFP-60nM-Rot_rescue_p2
Date Time	Elapsed	A1	B1	C1	D1	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
4/8/2022 12:20:00 AM	0	6066.25	5512.938	5451.438	5082.438	5717.875	7746.875	5799.75	6209.813	6230.375	6045.688	6066.25	6066.313	6619.625	5266.938	5902.25	6004.875	5328.375	5840.875	5881.813	6496.75
4/8/2022 6:20:00 AM	6	6968.125	5758.75	6004.875	5758.938	6332.625	8730.75	6947.563	6845.188	6804.188	6640.063	6701.625	6701.688	7501	5963.938	6660.625	6927.188	5963.938	6373.813	6414.625	6845.188
4/8/2022 12:20:00 PM	12	7439.438	6927.125	6517.188	6455.75	7480.5	9530.125	7644.5	7726.313	8095.438	8136.375	7562.563	7644.438	8853.875	6824.75	7480.375	7849.5	6619.688	7029.688	6968.063	7644.375
4/8/2022 6:20:00 PM	18	8033.813	7296.063	7214.125	7132.063	7685.5	10165.44	7808.5	8443.688	8443.813	9181.688	8013.375	8300.313	9735.063	7337.063	8710.313	8874.25	7111.563	7623.938	7296.063	7992.813
4/9/2022 12:20:00 AM	24	8300.375	7726.625	7480.563	7316.375	8279.813	10841.75	8771.875	9530.063	8935.688	9468.563	8464.313	8956.188	10411.44	7746.938	9407.125	9755.688	7091.063	7767.5	7705.938	8197.813
4/9/2022 6:20:00 AM	30	8956.25	8259.375	7911	7542	8751.25	11436.25	9243.25	10145	9694.063	9755.5	8792.188	9817	11600.13	8648.75	9939.875	10800.88	6906.5	8013.375	7931.375	9140.688
4/9/2022 12:20:00 PM	36	9140.688	8136.375	8320.813	7828.813	9058.75	12379	9530.125	10575.44	9653	10104	8751.25	10022.13	13096.38	8997.188	10841.81	11518.25	6783.563	8156.813	8054.313	8956.188
4/9/2022 6:20:00 PM	42	9837.563	8505.313	8833.25	8402.75	10062.94	13588.19	10370.44	11415.88	9980.938	10452.31	9407.063	11128.94	14715.69	10390.94	11497.81	12727.56	6763	8136.375	8033.813	8751.25
4/10/2022 12:20:00 AM	48	10104	9325.25	9099.625	8525.688	10677.81	13526.81	11128.75	11764.25	10800.75	10780.25	9632.625	11087.81	16027.25	11190.25	12583.94	13793.25	6886.063	8279.75	8177.438	9345.625
4/10/2022 6:20:00 AM	54	10759.88	9263.625	9181.75	8648.75	11210.88	14838.63	11600.13	12911.94	11538.56	11251.75	9714.438	12174.13	18404.94	12563.56	14961.56	15842.69	7419	8956.25	8648.813	10022
4/10/2022 12:20:00 PM	60	11313.31	9468.625	9796.625	9427.563	12215	15842.81	12378.94	14305.56	11784.69	11948.63	9714.5	13444.81	21192.31	14510.63	15945.25	17031.63	7910.938	9366	9263.688	11231.25
4/10/2022 6:20:00 PM	66	12583.94	10370.44	10022	9981.125	13383.5	16765	13198.88	15412.38	12132.94	12317.44	10739.44	14162	23057.38	16478.13	17093.13	18261.19	8525.813	10062.94	9735.125	12686.44
4/11/2022 12:20:00 AM	72	14428.63	10698.31	10165.5	11026.25	14654.19	18281.81	14551.63	16375.69	13485.75	13670.38	11251.81	15145.81	26029.31	17625.94	19265.69	20823.25	9120.125	10862.38	10329.44	12809.31
