Name	noDox_vec	noDox_OU749	noDox_BSO	noDox_GSHee	noDox_BSO_GSHee	noDox_cys	Dox_vec	Dox_OU749	Dox_BSO	Dox_GSHee	Dox_BSO_GSHee	Dox_cys
Gln	337109.8	521463.5	317507.8	53820672	78084704	1.90E+08	578688.8	305374.3	399090.1	78863088	35449332	3.08E+08
Gln 13C1	96425.16	236962.4	116570.5	3140695	4720402	11039466	0	66489.02	134455.5	4298726	1941776	18251118
Gln 13C2	63379.95	76717.01	0	100339.5	176530.5	282244.4	29219.29	0	66974.79	116076.5	0	277750.7
Gln 13C3	281532.4	517150.9	305207.2	253159.3	355697.5	146129.5	304842.2	163835.5	259416.5	273340.2	0	122867.3
Gln 13C4	5669737	9096995	6268011	4926143	7647809	4993329	8681281	5432856	5253808	7111760	0	7618948
Gln 13C5	1.85E+08	2.89E+08	2.05E+08	1.67E+08	2.47E+08	1.67E+08	2.97E+08	1.80E+08	1.73E+08	2.21E+08	0	2.50E+08
Glu	4701270	9062472	5630530	47149328	69474312	84721968	8835749	8250584	11218825	40678200	65752608	1.14E+08
Glu 13C1	8556701	14097620	9033779	10691821	14578519	9385149	6596164	4448088	11113557	6515892	12817148	10396533
Glu 13C2	7386994	11977739	7567696	6747685	9387981	4083885	5919886	4139140	8918655	4299978	7857324	3658141
Glu 13C3	26074174	39558524	28442286	20621334	29503394	10347322	27554482	16737864	35199484	16462057	26015178	12819229
Glu 13C4	5146906	7464070	5966521	3943227	6049622	1773251	4749853	2913600	6021882	3310100	4909471	2097573
Glu 13C5	1.19E+08	1.72E+08	1.49E+08	97797688	1.46E+08	48227072	1.31E+08	82240664	1.73E+08	82817928	1.36E+08	60636400
Glu-Gly	19442.03	78445.74	14032.48	132671.2	55592.79	318108.3	136637	73869.45	26321.46	391947.6	48281.83	1907009
Glu-Gly 13C1	22356.08	87027.3	7222.15	30603.18	16294.9	34059.95	101192.6	38511.06	11757.54	83685.54	7316.71	197522.8
Glu-Gly 13C2	23078.46	69006.43	13343.83	20477.92	8659	11628.72	104894.3	41196.33	10587.81	41024	11780.82	46990.02
Glu-Gly 13C3	0	271674.2	22521.39	38379.92	18454.76	22065.84	426626	162840.5	21671.32	139228.4	10647.24	137241.7
Glu-Gly 13C4	31179	107569	14998.83	28108.4	17482.41	0	124831	42753.96	21840.86	43931.25	18869.63	37815.17
Glu-Gly 13C5	0	1240360	57709.41	241001	53567.95	187693.9	2355121	920200.2	112786.3	849071.3	45369.26	981018.6
Glu-Gly 13C6	16282.2	20528.26	0	0	0	0	41617.57	0	0	19118.24	0	29850.58
Glu-Ser	9537.11	18051.49	6015.04	24904.79	24208.67	62671.45	33114.48	23223.2	15011.2	68934.73	16598.31	266309
Glu-Ser 13C1	7263.84	0	0	6743.58	0	7999.76	18896.68	12563.93	8458.27	13102.7	6698.85	25558.93
Glu-Ser 13C2	7921.47	0	6665.28	3787.24	13260.78	0	18958.31	13946.45	11733.33	7077.66	0	6758.06
Glu-Ser 13C3	24582.8	0	9136.91	11100.83	0	5809.92	76106.93	46368.05	12054.45	24317.93	0	21685.86
Glu-Ser 13C4	0	36533.43	0	0	24702.8	0	0	13166.57	28333.66	0	4830.89	12463
Glu-Ser 13C5	81646.23	0	31821.67	35431.98	8367.4	23533.82	437716	239642	0	141157.6	18568.9	132118
Glu-Ser 13C6	0	0	0	0	0	0	14811.35	11820.7	0	0	0	8200.5
Glu-Val	72337.15	166109	11955.19	882501.5	64851.87	1937613	249318.3	126545.5	22553.92	1089687	70217.04	2713220
Glu-Val 13C1	117880.1	294851.3	0	198354.6	0	242338	160366.1	73329.41	7590.19	214610	12519.48	330133
Glu-Val 13C2	106619.2	245392.2	0	94065.84	0	44604.36	160698	61718.36	6184.52	85488.43	0	66706.71
Glu-Val 13C3	371072.2	829331.4	8451.39	269061.3	0	124088.9	692078.6	293998.7	20198.73	392460.7	0	185880.3
Glu-Val 13C4	121797.1	246161.5	19469.71	92769.25	0	42339.59	181673.5	85806.45	4997.38	109218.7	7098.14	53089.44
Glu-Val 13C5	2142151	4788823	134410.2	1896139	155816.7	1135907	4179730	1586279	0	2173764	143949.3	1351280
Glu-Val 13C6	110536.3	297229.5	7431.5	96411.73	0	62270.57	203834.4	76333.77	9808.47	103497.1	0	66867.46
Glu-Val 13C7	2325.29	0	0	0	0	0	2140.31	0	0	1583.25	0	0
Glu-Thr	26928.18	53602.97	5662.33	209169.2	22324.54	421508.3	69474.63	71753.76	10442.35	339480.3	19739.71	689605.2
Glu-Thr 13C1	0	0	0	55630.11	0	50740.72	51761.76	18350.26	0	83115.51	0	68708.62
Glu-Thr 13C2	36604.21	75692.61	0	0	0	0	68537.48	0	0	0	0	0
Glu-Thr 13C3	178187	245813.7	0	76118.17	0	0	240048.1	122744	0	125620.6	0	45420.53
Glu-Thr 13C4	25316.53	51687.33	0	25232.6	0	0	53716.88	32319.38	0	33736.66	0	0
Glu-Thr 13C5	775015.8	259088.1	0	487068.6	33816.87	303755	1091418	506720	0	621998.8	9966	369786.1
Glu-Thr 13C6	26468.8	0	0	0	0	0	42415.72	27427.84	0	31723.02	0	0
Glu-Leu	182982.6	255902.1	7908.65	1443741	90050.77	3209467	303558.6	197942.3	13007.05	1472020	92745.54	2353095
Glu-Leu 13C1	273563.3	408091.1	8398.1	324508.7	11308.48	420624.8	193879.7	114524.8	6776.46	318720.8	15807.6	337176.3
Glu-Leu 13C2	227710.2	332232.6	3597.79	148226.5	0	66433.89	182925.2	84580.49	5758.64	120532	5942.68	56851.56
Glu-Leu 13C3	912053	1144227	18988.55	437777	7110.25	179848.1	924774.3	451014.7	21593	502554.8	0	164733
Glu-Leu 13C4	262462.7	315947.5	0	143807.9	5228.7	76407.17	263160.2	104012.1	3920.19	137614.5	8034.55	54387.2
Glu-Leu 13C5	5377331	6225537	0	3199525	215574.7	1849923	5171430	2362831	0	2771012	234599.5	1247726
Glu-Leu 13C6	348869.4	381459.6	0	199282.7	12722.22	116402.9	293474.6	135178.8	0	185831.1	14367.11	73145.62
Glu-Phe	163887.1	266640.7	6161.61	1427473	58668.27	2816909	290172.3	153888.1	8030.36	1385714	69493.85	1854829
Glu-Phe 13C1	272829.6	376778.8	0	340688.3	12533.25	499892.9	189749.6	80135.3	0	303209.4	15716.28	333100.3
Glu-Phe 13C2	271351.2	305068.2	5220.74	129427.8	0	92080.26	166508.8	85885.49	0	113238.9	0	49074.12
Glu-Phe 13C3	867691.8	1194015	9794.83	421856.6	10521.04	176694.1	721429.8	327088.7	17481.24	469325	10582.67	0
Glu-Phe 13C4	298949.7	345018.3	7789.83	141467.2	12336.34	73515.41	223527.9	89148.63	7793.12	164707.6	0	40795.87
Glu-Phe 13C5	5692400	6266635	166346.7	2923748	182737.8	1653283	4595372	1783376	147892.7	2899512	192214.5	996848.5
Glu-Phe 13C6	460978.4	574545.8	18854.5	264144.1	13440.84	166904.1	441125.6	168483.9	13394.94	265906.7	17021.48	87583.75
GSH	3504885	7300194	173234.9	34621716	1715388	43961032	16342936	9194957	700401.4	38484496	2639567	1.44E+08
GSH 13C1	5166601	11314155	276323	10163379	433760.3	7360654	10600972	4956013	643604.8	8711645	702062.7	20910762
GSH 13C2	5322856	9372094	191623.5	5522761	261315.1	2347726	9143425	3756691	0	4728334	400364.7	5885599
GSH 13C3	20388538	32987014	815441.7	18173498	978074.3	6948398	43117068	18427626	2187389	17966274	1225324	17204874
GSH 13C4	4141954	6428666	145667.9	3646225	159189.6	1059320	8620517	3768182	369764.2	3416719	235530.4	3298154
GSH 13C5	66606684	96287680	2622350	54988564	2733412	19019974	1.83E+08	76581288	7558704	67411128	3846073	59994864
GSH 13C6	3559961	5102367	0	3195278	138073.6	1000732	9551205	4047412	416436.5	3353148	209665.6	3442338
GSH 13C7	245266.5	152641.2	0	71670.7	15475.67	51772.69	190588.1	211196.7	37024.4	178430.2	23254.41	35462.44
GSSG	13628.62	28801.41	1524.43	289336.1	1817.37	959006.1	80374.18	74969.03	0	919271.3	2782.78	8982564
GSSG 13C1	43744.28	86130.41	0	197819.5	0	359076	143904.8	89183.22	0	475319.3	0	2990960
GSSG 13C10	1833313	2870036	0	702646.6	5165.35	168861.2	10225137	4386956	0	2550870	7938.33	1647518
GSSG 13C11	227689	313362.3	0	79794.61	0	0	1239497	516603.3	0	291845.3	1231.84	183426.9
GSSG 13C12	7923.82	17893.28	0	4129.6	0	222.94	54163.91	30708.85	0	11863.32	0	7822
GSSG 13C2	54961.29	131251.9	0	140662.7	0	146688.8	216254.6	83067.16	0	318103.9	0	936303.3
GSSG 13C3	187452.6	282613.8	0	379716.4	2292.07	382022.6	677282.6	399210.4	0	1082207	4779.39	2784021
GSSG 13C4	187071.5	453101.2	0	173367.9	0	116981	648103.9	298400.4	0	482484.2	0	0
GSSG 13C5	348075.1	733139.2	0	924380.3	6525	801109.9	2251666	1271905	0	3084260	0	7233875
GSSG 13C6	672642.1	1299011	0	428427.4	0	226200.7	2500833	1111416	0	1172755	4088.19	1883963
GSSG 13C7	492087.4	845404.1	1630.13	215263.8	0	0	1405629	604701.1	0	574979	0	432262.4
