Compound	Sample Name	Area
Gln	noDox_vec	12164336
Gln	noDox_OU749	21386670
Gln	noDox_BSO	11139191
Gln	noDox_GSHee	2315732344
Gln	noDox_BSO_GSHee	3842310701
Gln	noDox_cys	10123466369
Gln	Dox_vec	21593472
Gln	Dox_OU749	12765695
Gln	Dox_BSO	12882714
Gln	Dox_GSHee	2852095624
Gln	Dox_BSO_GSHee	1588947145
Gln	Dox_cys	14695061873
Gln 13C1	noDox_vec	2299075
Gln 13C1	noDox_OU749	4631928
Gln 13C1	noDox_BSO	2182286
Gln 13C1	noDox_GSHee	129004306
Gln 13C1	noDox_BSO_GSHee	217599346
Gln 13C1	noDox_cys	570311986
Gln 13C1	Dox_vec	2121707
Gln 13C1	Dox_OU749	634421
Gln 13C1	Dox_BSO	2435842
Gln 13C1	Dox_GSHee	158566119
Gln 13C1	Dox_BSO_GSHee	89082467
Gln 13C1	Dox_cys	815700581
Gln 13C2	noDox_vec	1657972
Gln 13C2	noDox_OU749	2709463
Gln 13C2	noDox_BSO	1004533
Gln 13C2	noDox_GSHee	3874448
Gln 13C2	noDox_BSO_GSHee	6345884
Gln 13C2	noDox_cys	9733515
Gln 13C2	Dox_vec	1038043
Gln 13C2	Dox_OU749	219132
Gln 13C2	Dox_BSO	1011871
Gln 13C2	Dox_GSHee	3684875
Gln 13C2	Dox_BSO_GSHee	2769118
Gln 13C2	Dox_cys	15221866
Gln 13C3	noDox_vec	9224095
Gln 13C3	noDox_OU749	17459401
Gln 13C3	noDox_BSO	10308462
Gln 13C3	noDox_GSHee	9506248
Gln 13C3	noDox_BSO_GSHee	14501487
Gln 13C3	noDox_cys	6276371
Gln 13C3	Dox_vec	12432596
Gln 13C3	Dox_OU749	5643062
Gln 13C3	Dox_BSO	8876299
Gln 13C3	Dox_GSHee	7985600
Gln 13C3	Dox_BSO_GSHee	6189937
Gln 13C3	Dox_cys	7113794
Gln 13C4	noDox_vec	217335375
Gln 13C4	noDox_OU749	403574270
Gln 13C4	noDox_BSO	279414309
Gln 13C4	noDox_GSHee	204415798
Gln 13C4	noDox_BSO_GSHee	358445541
Gln 13C4	noDox_cys	255344687
Gln 13C4	Dox_vec	435360936
Gln 13C4	Dox_OU749	230773144
Gln 13C4	Dox_BSO	225519081
Gln 13C4	Dox_GSHee	256655216
Gln 13C4	Dox_BSO_GSHee	147896757
Gln 13C4	Dox_cys	334258971
Gln 13C5	noDox_vec	7397810279
Gln 13C5	noDox_OU749	13439622251
Gln 13C5	noDox_BSO	9311181680
Gln 13C5	noDox_GSHee	6945479451
Gln 13C5	noDox_BSO_GSHee	12000765826
Gln 13C5	noDox_cys	8437858638
Gln 13C5	Dox_vec	14294678721
Gln 13C5	Dox_OU749	7583693023
Gln 13C5	Dox_BSO	7529268367
Gln 13C5	Dox_GSHee	8553849912
Gln 13C5	Dox_BSO_GSHee	4997347169
Gln 13C5	Dox_cys	11280411512
Glu	noDox_vec	178494094
Glu	noDox_OU749	353722216
Glu	noDox_BSO	225744875
Glu	noDox_GSHee	2071691186
Glu	noDox_BSO_GSHee	2795121064
Glu	noDox_cys	3904532675
Glu	Dox_vec	344922089
Glu	Dox_OU749	256906110
Glu	Dox_BSO	415495817
Glu	Dox_GSHee	1661665835
Glu	Dox_BSO_GSHee	2328491470
Glu	Dox_cys	3966555306
Glu 13C1	noDox_vec	326472163
