Cell line	PCV (uL)	% of Theoretical PCV	Cell type	Theoretical PCV (uL)	Replicate	Speed (g)	Time (min)	Centrifugation step
143B	3.7	175.3554502	Adherent	2.11	1	2000	1	1
143B	3.8	180.0947867	Adherent	2.11	2	2000	1	1
143B	3.5	165.8767773	Adherent	2.11	3	2000	1	1
143B	3.7	175.3554502	Adherent	2.11	4	2000	1	1
143B	3.7	175.3554502	Adherent	2.11	5	2000	1	1
143B	3.7	175.3554502	Adherent	2.11	6	2000	1	1
143B	3.2	151.6587678	Adherent	2.11	1	4696	1	2
143B	3.2	151.6587678	Adherent	2.11	2	4696	1	2
143B	3.2	151.6587678	Adherent	2.11	3	4696	1	2
143B	3.4	161.1374408	Adherent	2.11	4	4696	1	2
143B	3.5	165.8767773	Adherent	2.11	5	4696	1	2
143B	3.2	151.6587678	Adherent	2.11	6	4696	1	2
143B	3.0	142.1800948	Adherent	2.11	1	4696	5	3
143B	3.0	142.1800948	Adherent	2.11	2	4696	5	3
143B	2.9	137.4407583	Adherent	2.11	3	4696	5	3
143B	2.9	137.4407583	Adherent	2.11	4	4696	5	3
143B	3.0	142.1800948	Adherent	2.11	5	4696	5	3
143B	3.0	142.1800948	Adherent	2.11	6	4696	5	3
143B	2.7	127.9620853	Adherent	2.11	1	17000	1	4
143B	2.7	127.9620853	Adherent	2.11	2	17000	1	4
143B	2.6	123.2227488	Adherent	2.11	3	17000	1	4
143B	2.5	118.4834123	Adherent	2.11	4	17000	1	4
143B	2.8	132.7014218	Adherent	2.11	5	17000	1	4
143B	2.7	127.9620853	Adherent	2.11	6	17000	1	4
143B	2.4	113.7440758	Adherent	2.11	1	17000	5	5
143B	2.6	123.2227488	Adherent	2.11	2	17000	5	5
143B	2.4	113.7440758	Adherent	2.11	3	17000	5	5
143B	2.4	113.7440758	Adherent	2.11	4	17000	5	5
143B	2.6	123.2227488	Adherent	2.11	5	17000	5	5
143B	2.5	118.4834123	Adherent	2.11	6	17000	5	5
H1299	2.7	127.9620853	Adherent	2.11	1	2000	1	1
H1299	2.8	132.7014218	Adherent	2.11	2	2000	1	1
H1299	2.7	127.9620853	Adherent	2.11	3	2000	1	1
H1299	2.6	123.2227488	Adherent	2.11	4	2000	1	1
H1299	2.8	132.7014218	Adherent	2.11	5	2000	1	1
H1299	2.9	137.4407583	Adherent	2.11	6	2000	1	1
H1299	2.5	118.4834123	Adherent	2.11	1	4696	1	2
H1299	2.6	123.2227488	Adherent	2.11	2	4696	1	2
H1299	2.5	118.4834123	Adherent	2.11	3	4696	1	2
H1299	2.3	109.0047393	Adherent	2.11	4	4696	1	2
H1299	2.6	123.2227488	Adherent	2.11	5	4696	1	2
H1299	2.7	127.9620853	Adherent	2.11	6	4696	1	2
H1299	2.3	109.0047393	Adherent	2.11	1	4696	5	3
H1299	2.5	118.4834123	Adherent	2.11	2	4696	5	3
H1299	2.3	109.0047393	Adherent	2.11	3	4696	5	3
H1299	2.2	104.2654028	Adherent	2.11	4	4696	5	3
H1299	2.6	123.2227488	Adherent	2.11	5	4696	5	3
