Auro	Cell line	Species	Percent_increase
0	143B	GSH	0
125	143B	GSH	29.94164584
250	143B	GSH	46.23082257
0	786O	GSH	0
125	786O	GSH	8.62979103
250	786O	GSH	55.77665669
0	UOK262	GSH	0
125	UOK262	GSH	24.383176
250	UOK262	GSH	32.47234008
0	143B	GSF/GSH	0
125	143B	GSF/GSH	-12.48162461
250	143B	GSF/GSH	-17.16637703
0	786O	GSF/GSH	0
125	786O	GSF/GSH	10.42426337
250	786O	GSF/GSH	-4.165982949
0	UOK262	GSF/GSH	0
125	UOK262	GSF/GSH	-7.856122929
250	UOK262	GSF/GSH	-12.216644
0	143B	GSSG/GSH	0
125	143B	GSSG/GSH	15.91678832
250	143B	GSSG/GSH	46.51052201
0	786O	GSSG/GSH	0
125	786O	GSSG/GSH	8.203109004
250	786O	GSSG/GSH	6.2269065
0	UOK262	GSSG/GSH	0
125	UOK262	GSSG/GSH	18.61825153
250	UOK262	GSSG/GSH	18.35906754
