Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p1
Date Time	Elapsed	B1	C1	D1	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6
10/5/2022 10:20:00 PM	0	4.919083	4.484957	3.833322	3.788357	4.305843	4.10927	2.219122	2.174773	1.575728	2.044324	2.957823	2.931436	3.080776	3.263287	2.628836	5.786695	4.617968	4.725153
10/6/2022 10:20:00 AM	12	4.989066	2.983011	2.54601	2.323211	2.271067	2.355677	1.10262	1.172146	0.6019959	1.021127	1.119159	1.557659	1.553267	1.752194	1.343891	5.144375	4.039978	4.225857
10/6/2022 10:20:00 PM	24	3.901346	3.130437	2.431301	1.765991	2.387663	2.016889	1.037906	1.219774	0.6243738	0.9287779	0.8973836	1.522001	1.309188	1.812497	1.467427	5.505811	4.944283	4.154579
10/7/2022 10:20:00 AM	36	4.457837	3.362093	2.673863	1.970974	2.629189	2.439819	1.333778	1.319976	0.8374246	1.009266	1.175421	1.741591	1.419246	1.892836	1.534696	5.95503	5.052417	5.245095
10/7/2022 10:20:00 PM	48	4.041369	5.396842	2.678509	2.370542	2.790512	2.60422	1.509943	1.382481	0.8616536	1.311306	1.518742	1.787828	1.655249	2.387411	1.860465	6.79187	5.054519	5.558002
10/8/2022 10:20:00 AM	60	4.19559	3.812048	3.170092	2.57793	2.763277	2.537217	1.573204	1.444147	1.05129	1.672195	1.774577	2.214405	1.838812	2.600363	2.170676	7.321192	5.611627	5.769555
10/8/2022 10:20:00 PM	72	4.606607	3.808836	3.331157	2.786666	2.706566	2.573517	1.872721	1.587041	1.153124	1.693033	1.988812	2.261223	2.237621	2.512293	2.443057	6.502166	5.428416	5.914888
10/9/2022 10:20:00 AM	84	5.498439	3.685391	3.823887	2.748736	3.179663	2.781791	2.013161	1.796409	1.278954	1.970988	2.130512	2.431838	2.687952	2.866038	2.672445	5.734022	5.806841	5.733066
10/9/2022 10:20:00 PM	96	6.226372	4.072861	3.886182	2.63674	3.404377	2.951117	1.988051	1.918987	1.524268	2.328605	2.307425	2.484149	2.860143	3.995981	3.348602	6.372701	5.549093	5.710655
10/10/2022 10:20:00 AM	108	5.952064	4.816324	3.860755	2.823681	3.445578	3.129563	2.272385	2.123139	1.555023	2.729263	2.66923	2.787439	3.432132	3.700747	3.387882	6.619778	6.17496	5.406736
10/10/2022 10:20:00 PM	120	4.606851	4.155156	3.851092	2.753334	3.548958	3.109529	2.217924	2.104104	1.921539	2.975607	2.632126	2.67635	4.931194	3.562854	3.657127	6.492643	6.16807	5.339846
10/11/2022 10:20:00 AM	132	4.457651	3.833575	3.913112	2.777984	3.822627	3.051653	2.39228	1.959054	2.263096	2.93431	2.823758	2.626643	5.415742	3.94514	3.93399	6.351847	5.990737	5.774501
10/11/2022 10:20:00 PM	144	4.347642	3.168009	2.721063	2.677559	3.403586	2.840854	2.67055	2.293031	1.633868	3.619121	2.790909	2.754185	5.529785	3.715529	4.160656	5.839857	5.314046	5.696171
10/12/2022 10:20:00 AM	156	3.415497	2.163223	1.92016	2.665633	3.23283	2.652262	2.755795	1.995412	1.939597	3.096114	2.7835	2.938288	3.753469	3.662328	3.829536	5.58365	5.054503	5.57778
