Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p1
Date Time	Elapsed	B1	C1	D1	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6
10/5/2022 10:20:00 PM	0	4625643	3545170	3925942	2622344	3099750	2736929	1578571	1720267	1357538	1354605	1850672	2553777	2348631	1762460	2251649	7575955	4981817	4407055
10/6/2022 10:20:00 AM	12	5244171	4084365	4047526	2755282	3070888	2997829	1229343	1193598	837652.1	1095288	1782028	1858752	1973634	1654243	1697396	9062564	5824321	5748936
10/6/2022 10:20:00 PM	24	5919469	4546593	4805546	2185671	2894553	2931738	1164796	1231233	822639.9	1215458	1322195	1874145	2082346	2017501	1965532	8840522	7271831	6940390
10/7/2022 10:20:00 AM	36	6503401	4962339	5524328	2409192	3059494	3140192	1312558	1374630	1226338	1354695	1569798	2324212	2070047	2311656	2340192	1.067222E+07	8701897	8493846
10/7/2022 10:20:00 PM	48	8065760	6239147	7601466	2830792	3253056	3367365	1685241	1564837	1328705	1910471	2107628	2732956	2558135	2947846	2803827	1.34606E+07	1.062637E+07	1.10343E+07
10/8/2022 10:20:00 AM	60	1.008323E+07	7819123	7939472	3104503	3604311	3549390	2078465	1927630	1833019	2286922	2943949	3209599	3158416	3311483	3328261	1.61581E+07	1.280822E+07	1.331873E+07
10/8/2022 10:20:00 PM	72	1.298857E+07	9739445	9601564	3960042	4228992	3986941	2263648	2220049	2402802	2800477	3055951	4126883	3849054	3603534	4171710	1.963686E+07	1.630154E+07	1.63247E+07
10/9/2022 10:20:00 AM	84	1.625519E+07	1.252506E+07	1.211498E+07	4542147	4865701	4589948	2436179	2296159	2625098	3483243	3528772	4899399	4370630	4127133	5086070	2.221681E+07	1.998769E+07	2.124819E+07
10/9/2022 10:20:00 PM	96	2.135573E+07	1.69028E+07	1.630282E+07	5498835	5953456	5351189	2461684	2641531	3322081	4083436	3845343	6014814	5041054	4817560	6838196	2.824604E+07	2.598722E+07	2.644386E+07
10/10/2022 10:20:00 AM	108	2.626911E+07	2.297933E+07	1.947839E+07	6813969	7068920	6826638	2774329	2948004	3450995	4600523	4556172	6810071	6172538	5100368	7741579	3.422876E+07	3.333185E+07	3.327767E+07
10/10/2022 10:20:00 PM	120	3.261813E+07	2.945726E+07	2.371847E+07	8208414	8735033	7801753	3167181	3507151	4466216	5915952	6111176	8016440	8343582	6835995	1.015941E+07	4.46406E+07	4.245281E+07	4.566183E+07
10/11/2022 10:20:00 AM	132	3.804468E+07	3.708572E+07	2.790043E+07	9826951	1.151952E+07	9171207	3826578	3778593	5461236	6975502	7405828	9616654	9540841	7850162	1.213048E+07	5.634249E+07	5.240363E+07	5.781939E+07
10/11/2022 10:20:00 PM	144	4.043326E+07	3.917268E+07	2.987759E+07	1.198843E+07	1.397841E+07	1.235654E+07	4357241	4984653	6966932	7517425	9456968	1.201347E+07	1.281538E+07	9860459	1.563543E+07	7.067638E+07	6.146069E+07	7.413758E+07
10/12/2022 10:20:00 AM	156	3.604427E+07	3.646357E+07	2.747618E+07	1.373624E+07	1.69474E+07	1.529457E+07	5537844	5693923	8452893	9252964	1.152961E+07	1.589899E+07	1.791125E+07	1.211279E+07	1.696011E+07	8.326473E+07	7.450024E+07	9.205476E+07
