Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p1
Date Time	Elapsed	B1	C1	D1	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6
10/5/2022 10:20:00 PM	0	1042869	881107.3	1052619	723801.9	826079.1	737877	726840.1	727329.3	769076.6	700098	762585.6	870055.7	838584.3	566615.6	1048274	1137197	1050601	1139147
10/6/2022 10:20:00 AM	12	1899880	1570571	1753693	1116454	1449111	1321791	1066616	1084971	1242069	1096824	1396705	1258593	1293505	931589.3	1392224	1580970	1531606	1687212
10/6/2022 10:20:00 PM	24	2114677	1630819	1980537	1182013	1401419	1541476	1197896	1121673	1274801	1304414	1511840	1338852	1606144	1034628	1423412	1702664	1487625	1999411
10/7/2022 10:20:00 AM	36	1964291	1628744	2078433	1234382	1388180	1551611	1115292	1178379	1401677	1366594	1393616	1417412	1431870	1128769	1528977	2025970	1728642	2072648
10/7/2022 10:20:00 PM	48	2147881	1790492	2582764	1305193	1384876	1549999	1285043	1254789	1439611	1512751	1452483	1395331	1505413	1156619	1490433	2149230	1908304	2385766
10/8/2022 10:20:00 AM	60	2373885	2197584	2373864	1242336	1400330	1584330	1379191	1386386	1429599	1437322	1522119	1398253	1627753	1254101	1446966	2337820	2239711	2586072
10/8/2022 10:20:00 PM	72	2935687	2670661	2673417	1486677	1579087	1934840	1282027	1421258	1656580	1613638	1567698	1740282	1692651	1384185	1608707	3107545	2833620	2996225
10/9/2022 10:20:00 AM	84	3377210	3312238	3042830	1676736	1557948	2028456	1335543	1395781	1683420	1837601	1709231	1922769	1710590	1454307	1796072	3816347	3258781	3853783
10/9/2022 10:20:00 PM	96	4471225	4398111	4062147	2046140	1910802	2254738	1352181	1485550	1872376	1906264	1831223	2254772	1760939	1457533	2002596	4781841	4415623	4594380
10/10/2022 10:20:00 AM	108	5549736	5701224	4964140	2350511	2173678	2568266	1356759	1546857	1906971	1873518	1859881	2288457	1872324	1404202	2240791	5481524	5263258	5763654
10/10/2022 10:20:00 PM	120	7157006	7336998	6442790	2926654	2436351	2769688	1545500	1635451	2155745	2333308	2358759	2803291	2295190	1767438	2751006	7265344	6409100	7640036
10/11/2022 10:20:00 AM	132	9266651	9695183	8120164	3430037	3011867	3423312	1623668	1887334	2514511	2783023	2833986	3451737	2832032	2133749	3275027	9409953	8125420	9658091
10/11/2022 10:20:00 PM	144	1.217459E+07	1.272526E+07	1.151947E+07	4325407	3928916	4470978	1759857	2331113	3379873	2871099	3763535	4070949	3765518	2917351	3951665	1.209803E+07	1.062073E+07	1.270088E+07
10/12/2022 10:20:00 AM	156	1.59769E+07	1.797428E+07	1.568686E+07	4978724	5139113	5786391	2330509	2689957	3654165	3942173	4531812	5240945	5184452	3584348	4391076	1.437097E+07	1.316228E+07	1.561407E+07
