Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p1
Date Time	Elapsed	B1	C1	D1	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6
10/5/2022 10:20:00 PM	0	3102.563	3390.25	3246.25	2424.25	2773.563	2506.5	2527.063	2506.5	2835.313	2362.688	2773.563	3020.25	2670.875	2136.625	3123.063	3451.75	3492.75	3842.188
10/6/2022 10:20:00 AM	12	3862.75	4150.438	3554.438	2897	3472.313	2958.5	2753.063	2424.125	3205.188	2917.5	3328.5	3266.875	2835.313	2650.313	3369.625	3862.75	3759.938	4602.438
10/6/2022 10:20:00 PM	24	4705.313	4499.813	4705.25	3410.688	3225.813	3575	2876.5	2855.813	3431.125	3164.188	3698.563	3349.063	3349.188	2917.5	3883.375	4479.25	4170.938	5445.063
10/7/2022 10:20:00 AM	36	5835.5	5259.938	5486.25	3267	3575.063	3739.438	3020.25	2979.125	3595.625	3164.188	3636.625	3328.5	3349	3492.813	4150.438	5917.563	5362.813	5958.875
10/7/2022 10:20:00 PM	48	6102.5	5917.688	6390.438	3616.063	3554.625	3657.313	3143.563	3369.563	3492.938	3246.25	3698.438	3903.875	4130	3657.25	4006.688	7089	6801.313	7376.688
10/8/2022 10:20:00 AM	60	8424.563	8136.875	7294.375	3677.813	4047.75	4027	3472.25	3164	4212.125	3554.625	4232.563	3903.875	4171	3513.375	4828.563	8671.313	8404.063	9041.375
10/8/2022 10:20:00 PM	72	11260.44	10294.69	9328.938	4068.375	4355.875	4766.875	3081.75	3205.063	3862.813	3924.375	4417.625	4705.188	4849.188	4150.5	5342.313	11651	10849.63	11301.63
10/9/2022 10:20:00 AM	84	14178.5	13849.5	11918.06	4910.875	5260.188	5958.813	3246.375	3472.188	4397.063	4581.938	5609.375	5136.875	5506.75	5198.5	6040.938	15226.5	14425.06	14507.19
10/9/2022 10:20:00 PM	96	20240.5	19233.56	15534.88	6041.063	5958.75	6719.125	3472.25	4006.438	4520.25	5116.313	6164.188	6041.125	6308.25	5979.25	7459	19891.13	19767.81	19480.19
10/10/2022 10:20:00 AM	108	25213.31	24966.69	21144.69	7335.5	7808.188	8178.125	3657.25	4602.375	5157.25	6225.875	7808.188	6637	6739.75	6945.125	8404	28398.56	26035.5	26775.13
10/10/2022 10:20:00 PM	120	34090.63	33926.31	27453.19	8917.75	9411.125	9390.438	4109.313	4931.25	5999.875	7479.375	9164.438	7911	8260.438	9061.688	10746.75	39022.5	35631.88	37953.94
10/11/2022 10:20:00 AM	132	44961.19	44426.88	37234.75	10972.75	11589.44	12452.31	4314.938	6164.313	6986.188	9287.75	11260.38	10007	9924.75	12308.56	12863.44	53530.25	49132.63	51434.25
10/11/2022 10:20:00 PM	144	62900.69	57516.81	54804.31	13397.63	15062.13	17014.19	5342.375	7006.875	8979.563	11301.69	15226.63	13479.63	13664.69	16603.31	17589.5	70339.44	65941.88	69969.69
10/12/2022 10:20:00 AM	156	80490.69	80922.25	73339.81	16582.69	20014.38	22151.5	6595.75	8095.813	10787.81	15390.88	19480.06	18082.75	17260.88	22685.81	22624.25	94176.56	87169.31	93745
