Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	B3	C3	D3	A4	C4	D4	A5	B5	C5	D5	A6	C6	D6
10/5/2022 10:45:00 PM	0	4.291321	3.944008	4.109322	3.521898	2.996118	4.036034	3.311944	3.646562	1.350907	2.11986	1.792331	2.364506	2.434729	2.402358	2.68412	2.88953	2.607256	2.292995	5.193891	4.522356	5.35013
10/6/2022 10:45:00 AM	12	2.592253	2.558611	2.648396	2.216262	1.765599	2.501889	1.800863	2.128223	0.6181743	0.7977306	0.77485	1.018472	1.092506	1.236795	1.528472	1.44939	1.469303	1.238917	4.144661	4.015649	4.53266
10/6/2022 10:45:00 PM	24	2.569507	2.937398	2.644325	2.211391	1.758264	2.557309	1.630381	1.704365	0.6780275	0.7908795	0.7069758	1.011131	1.051895	1.116245	1.558788	1.405791	1.447282	1.17103	4.536778	4.076221	5.065104
10/7/2022 10:45:00 AM	36	2.747816	2.944551	2.663137	3.046031	2.083214	2.788832	1.809944	1.647445	0.7591442	0.9981394	0.8430254	1.118231	1.33597	1.159309	2.040277	1.657093	1.477261	1.386684	5.199792	4.628453	6.277496
10/7/2022 10:45:00 PM	48	2.920021	3.387197	2.86204	3.1123	1.963877	2.827873	1.922703	1.955222	0.9340988	1.057223	0.9295293	1.265193	1.727227	1.241845	2.128879	2.066479	1.73888	1.702249	5.53163	4.678718	6.853444
10/8/2022 10:45:00 AM	60	3.398264	3.606854	3.458652	3.51874	2.257158	2.873069	1.947134	2.282809	0.940026	1.424826	1.17317	1.579377	2.096181	1.244653	2.553057	2.300093	2.070423	2.091848	6.147611	5.195428	7.257949
10/8/2022 10:45:00 PM	72	3.797377	3.888159	4.207687	3.572485	2.512344	3.183161	2.142663	2.327208	1.118003	1.659432	1.479834	1.766958	2.314186	1.615794	2.846135	3.0912	2.580226	2.289058	6.003431	5.4372	7.951348
10/9/2022 10:45:00 AM	84	4.044394	4.415412	5.217384	3.821148	2.946574	3.109543	2.398277	2.562432	1.084882	1.830219	1.303608	2.037716	2.305333	1.958618	3.528674	3.12143	2.798864	2.615272	6.046828	5.709419	7.982565
10/9/2022 10:45:00 PM	96	4.078464	4.730272	4.583435	3.809459	3.167289	3.628319	2.770518	2.800516	1.176189	2.011953	1.337322	2.415019	2.275332	2.211063	3.780181	3.440062	3.619554	2.781638	5.93575	5.545656	7.438292
10/10/2022 10:45:00 AM	108	4.08203	4.72436	4.679091	3.900355	3.689536	3.533274	2.855384	2.967885	1.022252	1.956566	1.421087	2.834424	2.436281	2.336409	4.179882	4.087724	3.790308	3.299224	5.937556	5.126374	7.77253
10/10/2022 10:45:00 PM	120	4.157557	4.501213	4.132033	3.844036	3.921952	3.880254	3.233825	3.137592	1.060569	1.967888	1.537812	3.404372	2.454777	2.649541	4.751983	3.740554	4.434737	3.384605	5.874125	5.175211	7.28598
10/11/2022 10:45:00 AM	132	3.725313	4.035484	3.806114	3.316664	4.086576	3.842461	3.07826	2.99955	1.147754	2.708765	1.45137	3.631058	2.281067	2.829884	4.82038	3.659905	4.185703	3.835027	5.807147	5.036593	6.963826
10/11/2022 10:45:00 PM	144	2.882049	3.329078	3.161333	2.814055	4.160134	4.109862	2.82173	3.081272	1.33478	2.150973	1.685697	3.872636	2.694664	2.928361	4.254225	3.506417	4.158229	3.398041	5.444888	4.511797	6.669762
10/12/2022 10:45:00 AM	156	1.980146	2.192911	2.41313	1.929943	4.092712	3.966229	2.908441	2.836591	1.376011	2.310436	1.76605	3.72943	2.316146	3.331953	4.405279	3.504107	4.102756	3.313169	5.371854	4.040286	6.567177
