Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	B3	C3	D3	A4	C4	D4	A5	B5	C5	D5	A6	C6	D6
10/5/2022 10:45:00 PM	0	5087762	4592745	4601121	3889933	2903369	3682012	4914924	4105904	1367823	2660152	1923322	2184497	2730996	2173892	2702868	3163328	3058695	2202835	6195004	5252517	6064322
10/6/2022 10:45:00 AM	12	5984500	5424343	5280363	3767800	3046183	4082084	4988863	4075305	833943.9	1709131	1206867	1474393	1956645	1821198	2223323	2526842	2473892	1856376	7939539	7130224	7655353
10/6/2022 10:45:00 PM	24	6544871	6415682	5726118	4321449	2903955	4104837	4990213	3658261	851155.9	1502575	1062591	1751952	2137069	1784305	2618914	2823284	2823754	2030384	9896297	8303057	1.023125E+07
10/7/2022 10:45:00 AM	36	8225110	7585343	6707986	6257674	3090697	4558110	5708460	3714348	876333.8	1607772	1122040	2180814	2735292	2016890	3773274	3256270	3281326	2659046	1.226036E+07	9735683	1.244331E+07
10/7/2022 10:45:00 PM	48	9552456	9217335	7936358	7330732	3393506	5104248	6361485	3852531	986714.6	1843907	1356131	2836513	3393789	2363332	4475374	3929367	4011464	3240353	1.414112E+07	1.229491E+07	1.605409E+07
10/8/2022 10:45:00 AM	60	1.185739E+07	1.19441E+07	1.005457E+07	9532433	4182655	5589726	6750526	5040484	1253196	2262770	1693725	3671419	4327730	2873597	5491025	4495729	4874116	4325225	1.746723E+07	1.507641E+07	2.080596E+07
10/8/2022 10:45:00 PM	72	1.48546E+07	1.489204E+07	1.377067E+07	1.178588E+07	4897246	6454268	7850858	5926052	1583166	2705667	2160871	4522854	5204254	3761965	6504967	5774998	6160605	5576048	2.088684E+07	1.843193E+07	2.744419E+07
10/9/2022 10:45:00 AM	84	1.860766E+07	1.919174E+07	1.931928E+07	1.548931E+07	5718092	7203772	9113276	7576059	1613481	3052690	2501699	5634297	5945594	4693191	8425287	7336738	7612332	6633904	2.556535E+07	2.1596E+07	3.633462E+07
10/9/2022 10:45:00 PM	96	2.356405E+07	2.424612E+07	2.428932E+07	2.031687E+07	7159816	9188865	1.059051E+07	8596983	2025044	3712179	2792896	7410467	7024546	5931019	1.16779E+07	9500733	8989103	8596594	3.350068E+07	2.711986E+07	4.742631E+07
10/10/2022 10:45:00 AM	108	2.95614E+07	3.137132E+07	3.182012E+07	2.651458E+07	8773065	1.105435E+07	1.232819E+07	9366200	2201809	4337258	3064076	9494801	8588655	7987266	1.444483E+07	1.225515E+07	1.029773E+07	1.092887E+07	4.227008E+07	3.414906E+07	5.864572E+07
10/10/2022 10:45:00 PM	120	3.873182E+07	3.79835E+07	3.918157E+07	3.421482E+07	1.078729E+07	1.401169E+07	1.500148E+07	1.174062E+07	2565206	4867212	3941434	1.318963E+07	1.054899E+07	1.028817E+07	1.7727E+07	1.467125E+07	1.41265E+07	1.408274E+07	5.744128E+07	4.335363E+07	7.506518E+07
10/11/2022 10:45:00 AM	132	4.794957E+07	4.415192E+07	4.746828E+07	3.903183E+07	1.411505E+07	1.80995E+07	1.558617E+07	1.400327E+07	3178300	5956188	4569795	1.687532E+07	1.294934E+07	1.378683E+07	2.211524E+07	1.694484E+07	1.744865E+07	1.852955E+07	7.27598E+07	5.979382E+07	9.427442E+07
10/11/2022 10:45:00 PM	144	4.964144E+07	4.531906E+07	5.63668E+07	4.010949E+07	1.646577E+07	2.27057E+07	1.674821E+07	1.599963E+07	3654952	6976299	6386931	2.165208E+07	1.776054E+07	1.774436E+07	2.693507E+07	2.122447E+07	2.199389E+07	2.139492E+07	9.380567E+07	7.082516E+07	1.147277E+08
10/12/2022 10:45:00 AM	156	4.425282E+07	3.867474E+07	5.490309E+07	3.483158E+07	2.165169E+07	2.783402E+07	1.948754E+07	1.674796E+07	4254887	8178189	7303330	2.57192E+07	1.962496E+07	2.220267E+07	3.581596E+07	2.539584E+07	2.742056E+07	2.662818E+07	1.136876E+08	8.07038E+07	1.335083E+08
