Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	B3	C3	D3	A4	C4	D4	A5	B5	C5	D5	A6	C6	D6
10/5/2022 10:45:00 PM	0	1187272	1254629	1144437	1174812	988485.6	878105.5	1374278	1101079	993448.3	1388122	1062295	991574.2	1078691	1000981	1016714	1085626	1093347	1002746	1336177	1217865	1167967
10/6/2022 10:45:00 AM	12	2173359	2193581	2030965	1795779	1765862	1621861	2552114	1860448	1522028	2245310	1643215	1438452	1707624	1684002	1671910	1691631	1566819	1485254	2041753	1882865	1617032
10/6/2022 10:45:00 PM	24	2376052	2419555	2266299	2064521	1875545	1731574	2664299	2098352	1595845	2054243	1628784	1782277	1954110	1805252	1872833	2074658	1820458	1663488	2274445	2222090	2049288
10/7/2022 10:45:00 AM	36	2755620	2887132	2567191	2433504	1832494	1647366	2958839	2259084	1486341	1879707	1541594	2028260	2010536	1871501	1953881	2102228	2078115	1851590	2571647	2334763	2124052
10/7/2022 10:45:00 PM	48	3084942	3053537	2771651	2737133	2015387	2085679	3015570	2070865	1367455	2002522	1586812	2292004	1990489	2000137	2289231	2385520	2069199	1996529	2848720	2573391	2555019
10/8/2022 10:45:00 AM	60	3234594	3452039	2852157	3118809	2178805	2134366	3030464	2328115	1495725	2041759	1505534	2331484	2080952	2305783	2233259	2101663	2245336	2181176	3082838	2975385	3058214
10/8/2022 10:45:00 PM	72	3775324	4230199	3486312	3498329	2267407	2196088	3153762	2748144	1628245	2082790	1720999	2547647	2198084	2311888	2360209	2235628	2276192	2452465	3859919	3362033	3912664
10/9/2022 10:45:00 AM	84	4414873	4703368	4252545	4167160	2214044	2394513	3326604	3047025	1810847	1978642	2074176	2863920	2542186	2459095	2566856	2503801	2545538	2600789	4690711	3858869	5040232
10/9/2022 10:45:00 PM	96	5699793	5783746	5456793	5205054	2549181	2635864	3581734	3203949	1848194	2172651	2121324	3074303	2854683	2839158	3122158	2702027	2707400	3020693	6156822	4868106	6700989
10/10/2022 10:45:00 AM	108	7122207	7218239	6930766	6663040	2633621	3162075	3846620	3460677	2110335	2603519	2353750	3354139	3171022	3433694	3456897	3213746	2675199	3136078	7926957	6650672	8236156
10/10/2022 10:45:00 PM	120	8713673	9201107	9517621	8669102	3266881	3882733	4481107	4124428	2337750	2776674	2786832	3918603	3984798	4177260	3972335	3781403	3276426	3909392	1.059182E+07	8861998	1.079733E+07
10/11/2022 10:45:00 AM	132	1.202509E+07	1.183287E+07	1.261085E+07	1.116077E+07	4069428	4762272	4994976	4821908	2570238	2853762	3013119	4701395	5003941	4912333	4587941	4426338	4140743	4761424	1.297218E+07	1.216436E+07	1.3619E+07
10/11/2022 10:45:00 PM	144	1.605126E+07	1.528295E+07	1.715515E+07	1.400469E+07	4541820	5701472	5807281	5640093	2940012	3445949	3809461	5401456	5868789	6564321	6034187	5806538	5341106	6092081	1.744936E+07	1.599308E+07	1.705802E+07
10/12/2022 10:45:00 AM	156	2.122775E+07	2.012921E+07	2.184107E+07	1.810036E+07	6011847	7232967	6494409	6559209	3361135	3529443	4202759	6681497	7299497	7783651	7707885	7119887	6827178	7841743	2.113089E+07	2.028764E+07	1.995801E+07
