Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	B3	C3	D3	A4	C4	D4	A5	B5	C5	D5	A6	C6	D6
10/5/2022 10:45:00 PM	0	3575.188	4047.625	4171	3965.5	3328.438	3492.875	4232.563	3451.813	3266.75	4027.25	3554.5	3801.063	3801.188	3698.375	3616.125	3472.188	3595.688	3739.5	4602.438	3862.813	3903.813
10/6/2022 10:45:00 AM	12	4520.313	4458.688	4890.25	4540.938	3944.938	3883.25	5075	4068.25	3595.625	4767	3986	3821.688	4458.688	4438.188	4129.938	3945	3821.688	4212.063	4972.438	4623.125	4376.5
10/6/2022 10:45:00 PM	24	5588.875	5609.438	5999.938	5342.313	4335.375	4397.125	5773.813	4294.125	3883.438	4746.375	4458.625	4314.875	5054.563	4479.313	4253.25	4335.375	4458.813	4540.75	6040.938	5712.25	5486.125
10/7/2022 10:45:00 AM	36	6267	7068.438	6760.125	6801.25	4623.188	4479.188	5753.188	4540.875	3760	4726	4499.813	4499.688	5342.313	4951.875	4890.125	4314.813	5075.125	4910.75	7212.313	7931.438	6308.25
10/7/2022 10:45:00 PM	48	7520.375	8589	8054.875	7561.688	4746.438	4787.5	6040.938	4623.125	3842.313	4643.688	4643.688	4849.063	5876.563	5301.25	5486.125	5362.938	5794.375	5424.5	8342.375	8342.563	7952.063
10/8/2022 10:45:00 AM	60	9000	10500.19	9370	9472.813	5034.063	5506.688	7109.563	5835.438	3883.438	4643.625	4623.063	5732.75	6287.625	6575.188	5712.188	6184.875	5856.063	5424.438	10130.38	10089	11650.81
10/8/2022 10:45:00 PM	72	11178.25	13212.63	13746.94	11568.63	5671.063	6164.313	7499.875	6472.5	4314.813	4972.5	4808.125	6287.625	7191.688	7006.875	6164.313	6410.875	6493.063	6780.688	12678.31	12842.81	15308.56
10/9/2022 10:45:00 AM	84	15062.06	17486.88	17199.06	14445.56	6431.5	7746.625	8342.375	7417.75	4705.25	4951.875	5157.188	7232.688	8589.125	8054.688	7931.5	7417.75	7623.188	7458.875	17897.94	16808.75	20569.25
10/9/2022 10:45:00 PM	96	19726.81	22377.63	22439.31	18617.13	7212.125	9184.875	9863.125	9246.688	4705.188	5527.25	5876.563	8445.25	9657.625	9986.375	9965.875	8753.375	8547.938	9842.5	23076.31	22768.06	27412.06
10/10/2022 10:45:00 AM	108	26877.81	30618	30309.63	25809.5	8013.75	10602.81	12267.38	10520.63	5465.563	6143.75	6020.313	9821.938	10911.19	11938.56	11959.06	10787.88	11281	11548.13	31830.13	32015.25	37111.31
10/10/2022 10:45:00 PM	120	35878.44	42125.5	38919.81	34296.25	9678.063	13274.25	14589.44	12904.25	6020.5	6678.063	6493.063	12061.88	13788	15288.13	15637.44	13520.88	13397.63	15411.5	44180.31	45680.44	47920.19
10/11/2022 10:45:00 AM	132	49605.38	57516.88	54085	46605.06	13520.81	16295.06	17219.69	15164.81	7417.75	7356.063	7479.313	15349.81	17384.13	18576.06	18534.81	17260.94	16767.75	20713.13	62284.13	64503.56	61400.5
10/11/2022 10:45:00 PM	144	68079.06	78518.06	74696.06	62571.94	16089.44	22357.13	22007.81	19089.69	8342.5	9657.688	8691.813	19850.06	21781.75	24925.69	26014.94	21329.63	22767.88	27206.69	87683.06	91710.75	79915.44
10/12/2022 10:45:00 AM	156	95389.06	109013.2	99252.31	86285.69	22418.75	28480.69	25727.19	24185.81	9431.625	10643.94	9328.875	25521.69	27967	32981	37132	29960.31	29508.19	39412.88	114725.9	124219.6	98533.06
