Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p3
Date Time	Elapsed	A1	B1	C1	D1	A2	C2	D2	A3	B3	D3	A4	B4	C4	D4	B5	C5	D5	A6	B6	C6	D6
10/5/2022 11:10:00 PM	0	3.499009	3.332721	3.672597	3.976263	3.039462	3.646377	3.916537	1.930517	1.938532	1.166753	2.263488	2.329179	2.083661	1.91241	2.926725	2.506726	2.347551	4.776603	4.412471	5.326211	4.639939
10/6/2022 11:10:00 AM	12	2.195588	2.516156	2.488494	2.773441	1.823866	2.259199	2.33809	0.7335541	0.7904626	0.5817059	1.011569	1.000029	0.956719	0.9140003	1.579419	1.348237	1.274517	3.940163	4.013897	4.642513	4.159927
10/6/2022 11:10:00 PM	24	2.406377	2.896629	2.588654	3.701036	1.606677	2.016026	2.062019	0.6765456	0.7522784	0.5607446	0.9713726	0.931971	0.8638926	1.009672	1.655818	1.454671	1.359934	4.418955	4.464135	5.063664	4.66661
10/7/2022 11:10:00 AM	36	2.773025	3.03028	3.096285	3.871408	1.794357	2.183766	2.107808	0.7771789	0.9164286	0.6704307	1.222202	1.018037	1.076589	1.322437	1.758439	1.642696	1.756313	4.880496	4.851468	5.901004	5.175686
10/7/2022 11:10:00 PM	48	3.265152	3.784205	3.639757	4.489792	2.108328	2.290107	2.325179	0.8886704	0.997997	0.7525783	1.44609	1.219098	1.320729	1.395223	2.166701	2.084318	2.12461	5.308552	5.33385	6.075248	5.901083
10/8/2022 11:10:00 AM	60	3.567897	4.330191	3.71422	4.851287	2.128977	2.354785	2.495329	1.085127	1.142137	0.8627259	1.670925	1.541179	1.504639	1.538112	2.612472	2.704361	2.519081	5.696471	5.850102	6.298343	6.039982
10/8/2022 11:10:00 PM	72	3.692062	3.91419	3.715816	4.576321	2.244056	2.51221	2.975644	1.216841	1.150906	0.9556164	2.038662	1.902909	1.685831	1.821419	2.901954	2.831944	3.021402	5.54795	5.515178	6.350282	6.047283
10/9/2022 11:10:00 AM	84	3.793881	4.436374	3.927917	4.751387	2.477601	2.433393	3.156569	1.339851	1.225555	1.200245	2.488209	2.042176	1.792081	1.764875	3.011457	2.716825	3.498813	5.585294	5.702255	6.575572	6.246388
10/9/2022 11:10:00 PM	96	4.305785	4.358099	3.967328	4.551731	2.704821	2.308095	3.155257	1.538024	1.367482	1.34254	2.742142	2.466542	2.119841	1.918522	3.364117	2.864848	3.717049	6.084453	5.641714	6.429055	6.236851
10/10/2022 11:10:00 AM	108	4.260236	4.132213	3.991599	4.640428	2.921853	2.266692	3.178409	1.865297	1.521651	1.541102	3.203526	2.407519	2.288344	2.433877	3.550111	3.204746	3.713569	6.158308	5.29161	5.99556	6.046736
10/10/2022 11:10:00 PM	120	3.982138	4.03341	3.958061	4.440515	2.987791	2.379753	3.297705	1.959139	1.607427	1.539833	3.518424	2.467961	2.316434	2.573348	3.701203	3.24871	3.903218	6.061373	5.186181	6.191056	5.862424
10/11/2022 11:10:00 AM	132	3.487869	3.51981	3.434687	4.069649	3.30189	2.482557	3.51485	2.11073	1.741685	1.680148	3.46937	2.628667	2.219724	2.925954	4.053597	3.190537	4.0106	5.795245	4.961491	5.80745	5.473865
10/11/2022 11:10:00 PM	144	3.028236	2.676268	2.616438	3.29153	3.046686	2.459309	3.703594	1.982011	2.121017	1.999767	4.16116	2.961722	2.254836	2.819851	4.09905	3.144863	3.875403	5.293859	4.602239	5.528248	5.274493
10/12/2022 11:10:00 AM	156	2.234236	1.964195	1.65333	2.455387	2.882571	2.567227	3.732041	2.116435	2.269653	2.078081	3.576608	2.715646	2.442925	3.007388	3.864891	3.083338	3.978567	5.29544	4.76189	5.133389	5.155747
