Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p3
Date Time	Elapsed	A1	B1	C1	D1	A2	C2	D2	A3	B3	D3	A4	B4	C4	D4	B5	C5	D5	A6	B6	C6	D6
10/5/2022 11:10:00 PM	0	3411899	3729601	3946910	5530948	3972416	5121397	4963831	2794349	2968015	1700339	2472761	3494281	3407181	2551919	4364024	3949796	4403881	6834328	7071712	6345316	7357145
10/6/2022 11:10:00 AM	12	3921386	3896013	4507005	6357458	4107124	5171679	5361895	1787183	1939948	1229760	1837977	2373007	2409342	1966905	3912517	3422765	3616010	8424270	9937198	8375851	9804437
10/6/2022 11:10:00 PM	24	4525021	4470845	5365211	7740719	4297772	5489922	5331258	1794424	1900129	1131429	2095404	2472396	2590902	2035750	4156361	4012193	4007487	1.043556E+07	1.236516E+07	1.062398E+07	1.283649E+07
10/7/2022 11:10:00 AM	36	5734032	5615407	6422591	9932088	4867423	5773100	5918555	2220811	2124865	1567193	2825169	2839143	3537999	2519284	5415836	4841280	5185417	1.389494E+07	1.459117E+07	1.416049E+07	1.64971E+07
10/7/2022 11:10:00 PM	48	7382687	7049274	8052777	1.199369E+07	5124131	6127236	7036583	2508626	2710374	1884132	3388166	3521879	4320054	2914867	6449674	6103673	6933090	1.737976E+07	1.771035E+07	1.761447E+07	2.050751E+07
10/8/2022 11:10:00 AM	60	9061775	9043827	1.020938E+07	1.45383E+07	5294258	6553273	7231577	2855010	2931330	2368581	4433755	4288434	5095158	3415342	8180172	7907245	8557081	2.216292E+07	2.231959E+07	2.208083E+07	2.555774E+07
10/8/2022 11:10:00 PM	72	1.153998E+07	1.226773E+07	1.339651E+07	1.730012E+07	6730231	7767998	9077356	3475239	3399263	2860993	5463317	5735776	6256455	4677251	1.019197E+07	9809924	1.158627E+07	2.682087E+07	2.786144E+07	2.823742E+07	3.172636E+07
10/9/2022 11:10:00 AM	84	1.392981E+07	1.513982E+07	1.671488E+07	2.19213E+07	7867330	8496753	1.053007E+07	4369735	3564997	3241370	6813486	6961567	7468875	5137740	1.277475E+07	1.142818E+07	1.457154E+07	3.266772E+07	3.405518E+07	3.672798E+07	3.959624E+07
10/9/2022 11:10:00 PM	96	1.787805E+07	1.835604E+07	2.112991E+07	2.684928E+07	9834308	9933509	1.285295E+07	5565910	4621439	3733009	8833688	9095008	9739150	6527337	1.598433E+07	1.324568E+07	1.805443E+07	4.363853E+07	4.353058E+07	4.526202E+07	5.16913E+07
10/10/2022 11:10:00 AM	108	2.392662E+07	2.167701E+07	2.714054E+07	3.214167E+07	1.223517E+07	1.082295E+07	1.597184E+07	7334025	5781215	4393061	1.184559E+07	1.135642E+07	1.226806E+07	8040081	2.131406E+07	1.762177E+07	2.231042E+07	5.470616E+07	5.424242E+07	5.766655E+07	6.017909E+07
10/10/2022 11:10:00 PM	120	3.057709E+07	2.803188E+07	3.246449E+07	4.139347E+07	1.495977E+07	1.307321E+07	2.055042E+07	8931466	7406159	6109863	1.604916E+07	1.404429E+07	1.492352E+07	1.053767E+07	2.919345E+07	2.17411E+07	2.81418E+07	7.080827E+07	7.150692E+07	7.361489E+07	7.899954E+07
10/11/2022 11:10:00 AM	132	3.667416E+07	3.38362E+07	3.662577E+07	5.079859E+07	1.795079E+07	1.586392E+07	2.656969E+07	1.179906E+07	8989069	7341530	1.917313E+07	1.779517E+07	1.740385E+07	1.284158E+07	3.878261E+07	2.806234E+07	3.604018E+07	9.191694E+07	9.261416E+07	9.39124E+07	9.661218E+07
10/11/2022 11:10:00 PM	144	3.866868E+07	3.779793E+07	3.763446E+07	5.621528E+07	2.137422E+07	1.788073E+07	3.274199E+07	1.327725E+07	1.117869E+07	8424815	2.446509E+07	2.248761E+07	2.091352E+07	1.72018E+07	4.569264E+07	3.501157E+07	4.380786E+07	1.140822E+08	1.097231E+08	1.117459E+08	1.142214E+08
10/12/2022 11:10:00 AM	156	3.874556E+07	3.614706E+07	3.336966E+07	5.815464E+07	2.370181E+07	2.23672E+07	3.991476E+07	1.571904E+07	1.327589E+07	1.042603E+07	2.935395E+07	2.814956E+07	2.633463E+07	2.13328E+07	5.503013E+07	4.269167E+07	5.534361E+07	1.454365E+08	1.255968E+08	1.351035E+08	1.351464E+08
