Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p3
Date Time	Elapsed	A1	B1	C1	D1	A2	C2	D2	A3	B3	D3	A4	B4	C4	D4	B5	C5	D5	A6	B6	C6	D6
10/5/2022 11:10:00 PM	0	978640.2	1109795	1029105	1465144	1306534	1412793	1325386	1478605	1633488	1476073	1181202	1463407	1599672	1437387	1545472	1525706	1898648	1483983	1590204	1446557	1603732
10/6/2022 11:10:00 AM	12	1820893	1759930	1724526	2412349	2296745	2468369	2449301	2458444	2672882	2249028	1844402	2325300	2575847	2276446	2530260	2474783	2839304	2313655	2405003	2145020	2396376
10/6/2022 11:10:00 PM	24	1952134	1943719	2026975	2369891	2674129	2771375	2715433	2584294	2793384	2214817	2177475	2621488	2881040	2279805	2529831	2838283	3094322	2541198	2730456	2461593	2754331
10/7/2022 11:10:00 AM	36	2083431	2195007	2094134	2732637	2660688	2683451	3126886	2739183	2667395	2458420	2333489	2866394	3124663	2244231	3163529	2980348	3183425	3044639	3178003	2769288	3182231
10/7/2022 11:10:00 PM	48	2211623	2375910	2339088	2822305	2554858	2781334	3367371	2833765	2958513	2457812	2426984	2892217	3188671	2232421	3140074	3006273	3431592	3379569	3328631	3372357	3542518
10/8/2022 11:10:00 AM	60	2468940	2677658	2763698	3260360	2643390	2889853	3134089	2746225	2823537	2713319	2709405	2832767	3346318	2310363	3297188	3086870	3423017	4039968	3731769	3812720	4247530
10/8/2022 11:10:00 PM	72	3013194	3313058	3560052	4222104	3166719	3327985	3383877	3002537	3207617	2942005	2866712	3123125	3608254	2774635	3523982	3652874	3792759	5025078	4942663	4915819	5289066
10/9/2022 11:10:00 AM	84	3614719	3540974	4131612	4956313	3479682	3552207	3669557	3371760	3255026	2908074	2907337	3497079	4041175	2919392	4255706	4031851	4281000	6316340	5723003	5955348	6314885
10/9/2022 11:10:00 PM	96	4357483	4263917	5266090	6323478	4034009	4319269	4229451	3612226	3664374	3000965	3375945	3808086	4460402	3426689	4798451	4503236	5044973	7545239	7496471	7490629	8230487
10/10/2022 11:10:00 AM	108	5641630	5317006	6689931	7551443	4542651	4862579	4944973	3861071	3956635	3353431	3902799	4592444	5237116	3581958	6028011	5430856	5987969	9336740	9903841	1.011273E+07	9999396
10/10/2022 11:10:00 PM	120	7873643	7329106	8451539	1.006503E+07	5517161	5421378	6239233	4544548	4598084	4167582	4936162	5627683	6176647	4389610	7778784	6533727	7133509	1.234094E+07	1.318868E+07	1.289351E+07	1.3525E+07
10/11/2022 11:10:00 AM	132	1.065144E+07	9881451	1.130137E+07	1.335654E+07	6075851	6472452	7886620	5560012	5207568	4712360	5959862	6562315	7666796	4950194	9489351	8367810	8827712	1.652631E+07	1.751363E+07	1.666681E+07	1.729863E+07
10/11/2022 11:10:00 PM	144	1.338534E+07	1.3513E+07	1.551911E+07	1.713815E+07	7362735	7391781	8953263	6225590	5333405	4631368	6401490	7728767	9075094	6480673	1.078018E+07	1.022508E+07	1.095016E+07	2.234649E+07	2.187867E+07	2.092176E+07	2.070942E+07
10/12/2022 11:10:00 AM	156	1.830802E+07	1.845811E+07	2.127051E+07	2.342089E+07	8998863	8924562	1.084978E+07	7009832	5739259	5422544	8675917	1.013268E+07	1.058843E+07	7620725	1.362497E+07	1.269033E+07	1.374531E+07	2.806986E+07	2.523354E+07	2.601678E+07	2.492869E+07
