Vessel Name: H1299-Nuc-RFP-Asp-sens_Rot_p3
Date Time	Elapsed	A1	B1	C1	D1	A2	C2	D2	A3	B3	D3	A4	B4	C4	D4	B5	C5	D5	A6	B6	C6	D6
10/5/2022 11:10:00 PM	0	3616.25	3862.875	3677.813	4869.75	4335.438	4417.688	4561.438	5589	5444.938	4849.25	4356	5198.375	5773.875	5034.188	4931.313	5403.938	6616.25	5198.563	5403.938	5280.688	5362.875
10/6/2022 11:10:00 AM	12	4417.563	4540.875	4212.063	5999.813	4910.688	5609.5	5403.875	6225.75	6184.875	5568.25	4951.875	5547.75	6595.75	5527.375	6123.125	5856	7356.25	6020.313	6760.25	6267.063	6431.375
10/6/2022 11:10:00 PM	24	4931.375	5383.313	5136.813	7109.563	5773.75	6410.813	6102.813	6431.438	6513.625	5712.188	5321.813	6328.625	6986.188	6040.875	6533.938	7047.75	8034.25	7047.875	8054.813	7541.125	8116.563
10/7/2022 11:10:00 AM	36	5650.563	6636.875	5876.438	8486.5	5712.125	6102.625	6328.75	6924.5	6513.75	6082.063	5917.625	6821.75	7684.938	6020.438	7500	8342.563	8794.625	8691.75	9472.813	9123.313	9657.625
10/7/2022 11:10:00 PM	48	6390.25	7808.063	7623.375	9904.188	5609.375	6883.5	7931.5	6821.875	6657.375	6246.5	6493.063	7356.125	8589.063	6513.563	7869.75	8876.75	10274.06	11404.31	11938.63	11548.31	12000.25
10/8/2022 11:10:00 AM	60	8198.625	8959.063	9164.5	11753.75	6534.125	7479.438	7582.125	6965.75	6965.625	7068.438	7150.625	8363.188	9739.813	6862.938	8876.813	10253.5	11198.81	13726.38	15308.69	14342.94	15021.06
10/8/2022 11:10:00 PM	72	10479.63	12246.81	12411.19	14692.25	7623.25	8404.188	8856.188	7643.938	7356.125	7212.25	7828.625	9739.813	11404.38	8137.063	10356.19	11794.75	13233.19	16932	21103.75	19089.75	18719.75
10/9/2022 11:10:00 AM	84	13746.94	15678.5	16377.25	19315.69	9575.438	9965.938	10808.25	8691.938	8342.5	7541.125	8342.563	11404.25	13993.5	8794.5	12739.94	14404.44	15103.06	22110.5	28624.5	24802.44	25706.81
10/9/2022 11:10:00 PM	96	18411.56	20014.5	21678.94	24761.25	11609.69	11897.44	12513.94	9554.875	9102.813	7910.875	10541.25	12780.94	15267.69	10212.44	15986.69	16582.75	18308.88	30802.69	38693.63	32652.25	32796.06
10/10/2022 11:10:00 AM	108	25069.69	26322.94	29364.38	32960.56	14198.88	14445.75	15760.81	9267.25	10397.31	8589.125	11692.06	15966.19	18740.38	11137.13	20014.38	21617.25	22911.81	40625.31	52852.19	45885.94	44180.38
10/10/2022 11:10:00 PM	120	36433.38	34933.13	38919.75	45495.5	17425.19	17712.94	19685.63	11096.06	11753.69	9863.125	14794.94	19356.75	22007.56	14034.63	25768.19	26857.25	28604	57927.81	73421.81	64832.38	61338.94
10/11/2022 11:10:00 AM	132	50057.5	49728.69	55194.69	61791.06	22685.81	21391.19	23795.44	12349.63	12596.13	10931.69	19254.25	22994	27802.69	16253.94	32323.56	34707	38817	80141.5	98224.75	88648.88	81744.38
10/11/2022 11:10:00 PM	144	69065.44	68264.13	77737.13	88237.88	28953.38	25994.38	31337.06	15616.94	14815.56	12760.56	24062.56	30227.44	34789.31	21267.94	42865.19	45762.63	50571.06	115136.9	133076.4	119143.9	108437.9
10/12/2022 11:10:00 AM	156	94032.88	93375.06	110184.4	118054.7	36515.5	33289.31	37912.94	17980	15842.94	15699.19	33618.13	38673.19	44036.5	27761.5	54907.06	60147.13	64482.94	148488.2	159543.8	158434	135953.2
