Vessel Name: H1299-Nuc-RFP_Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
10/13/2022 1:25:00 AM	0	4.324069	3.878982	4.102918	12.75269	3.226141	4.55198	4.945452	3.575973	4.03426	2.552227	3.298656	6.166687	3.22492	3.393261	4.647102	2.793962	3.641946	3.467277	4.508751	3.408847	5.652431	3.810487	3.643087	3.501167
10/13/2022 1:25:00 PM	12	3.943068	3.534885	3.834433	4.937234	2.216936	2.776569	2.550562	2.305528	2.163748	1.645624	2.228152	1.663833	1.539995	2.157254	2.29251	1.708426	2.438077	2.22802	2.76585	2.195886	3.941565	2.733183	2.259052	2.727725
10/14/2022 1:25:00 AM	24	4.128286	3.524006	4.119081	5.46254	2.249513	2.236169	2.80419	2.421841	1.512768	1.376015	1.641826	1.638676	1.475088	1.663062	1.902012	2.436575	2.260179	1.964011	2.212742	2.356459	3.2038	2.597217	1.993379	3.03316
10/14/2022 5:30:00 PM	40.0833333333333	5.065178	4.530442	3.674234	5.272995	2.14963	2.558447	2.491331	2.276833	1.261399	1.133734	1.366064	1.230799	0.6968594	1.014172	1.069535	0.7937604	2.332072	1.921617	1.748998	1.955649	3.845179	2.150162	2.692134	3.613085
10/15/2022 5:30:00 AM	52.0833333333333	5.460361	4.687154	3.886738	6.03397	2.280624	2.692623	2.643413	2.619215	1.59591	1.395389	1.653736	1.577584	0.8150968	1.110283	1.010167	0.945354	2.674084	2.119222	1.996233	2.044706	4.314272	2.306753	3.030102	3.704278
10/15/2022 5:30:00 PM	64.0833333333333	6.099986	5.047308	4.062921	6.416728	2.841875	2.978735	3.046824	3.114067	1.885384	1.788656	1.864088	1.887873	1.061552	1.422887	1.046655	1.190106	2.976029	2.489013	2.484425	2.342231	4.749002	2.829884	3.455435	4.283308
10/16/2022 5:30:00 AM	76.0833333333333	6.187295	4.845324	3.991509	6.163265	3.029646	3.271043	3.5058	3.465875	2.036012	2.081244	2.092062	2.27097	1.279408	1.809392	1.176942	1.4653	3.468439	2.643869	2.861798	2.645271	4.901701	3.112324	3.465426	4.421912
10/16/2022 5:30:00 PM	88.0833333333333	5.732477	4.725249	3.907602	5.76399	3.216018	3.621191	3.875338	3.741016	2.325683	2.416718	2.349561	2.425181	1.913157	2.198159	1.626444	1.838413	3.878522	2.951471	3.091499	3.023719	4.946646	3.390522	3.733527	4.686232
10/17/2022 5:30:00 AM	100.083333333333	4.96011	4.395474	3.590387	5.467333	3.222278	3.336647	3.591748	3.836362	2.508164	2.5015	2.371472	2.612329	1.946532	2.702609	1.742545	2.212888	4.124849	2.941987	3.141361	3.395104	4.975208	3.22632	3.418302	4.440433
10/17/2022 5:30:00 PM	112.083333333333	4.833105	4.098522	3.144905	4.997143	3.051565	3.159701	3.283265	3.547769	2.629536	2.639675	2.345979	3.135654	2.107625	3.348217	1.512773	2.425212	4.366136	3.014937	3.525143	3.210665	4.469034	3.00993	3.188185	3.877525
10/18/2022 5:30:00 AM	124.083333333333	3.892699	3.483084	2.702248	4.303793	2.39464	2.70749	2.899423	3.177774	2.301683	2.458602	2.328272	3.048049	2.067334	2.4221	1.573992	2.510129	4.002998	2.769752	3.245311	3.016842	3.580984	2.022233	2.137077	2.82276
10/18/2022 5:30:00 PM	136.083333333333	3.16981	3.126568	2.32802	3.726844	1.990072	2.26239	2.509096	2.74617	2.174298	2.223531	2.080001	2.712992	2.092123	2.241626	1.495573	2.401509	3.497658	2.414568	2.745425	2.65898	2.015316	1.001869	1.122268	1.534335
10/19/2022 5:30:00 AM	148.083333333333	2.302521	2.291962	1.691286	2.873373	1.328544	1.526196	1.782802	2.147386	1.71264	1.763539	1.660972	2.210199	1.710654	1.82367	1.400955	2.101225	2.578721	1.651121	1.890128	1.723441	0.8134403	0.4235874	0.4479799	0.6799813
