Vessel Name: H1299-Nuc-RFP_Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
10/13/2022 1:25:00 AM	0	5473999	5143212	4936013	6836769	4460857	5250372	4303329	4655804	2753220	3811020	3405507	3252044	3022101	3213740	2986585	3325755	4834867	4618744	4660113	4883250	4819100	4865389	3855076	7213539
10/13/2022 1:25:00 PM	12	6691067	6457193	5781420	8083849	4450186	5068615	4420792	4655729	2383008	3257685	3017774	2731647	2325810	2408683	2395871	2604718	4862999	4413344	4479496	4770879	5213649	4715467	4084300	7964436
10/14/2022 1:25:00 AM	24	8134818	7794940	6701741	9929556	4528722	5127247	4325796	5350131	2452206	2912414	2737535	2472380	2196087	2209235	2290621	2297423	5056479	4436321	4202742	4512481	6770094	4969850	3762438	9694699
10/14/2022 5:30:00 PM	40.0833333333333	1.173021E+07	1.116392E+07	8913344	1.415731E+07	5594424	5276268	5206664	6555741	2487585	2724858	2905680	2659371	1586969	1790358	1931977	1575015	4943719	5031527	4128234	5601705	8574677	5901546	5446512	1.473946E+07
10/15/2022 5:30:00 AM	52.0833333333333	1.609198E+07	1.525501E+07	1.212163E+07	2.003768E+07	7544615	7338845	6792307	1.005452E+07	3599324	3917570	4159504	3853879	2062962	2406643	2063496	2231002	7417284	6871174	5452505	7704564	1.2913E+07	8613183	8177643	2.183388E+07
10/15/2022 5:30:00 PM	64.0833333333333	2.238392E+07	2.156309E+07	1.595505E+07	2.771903E+07	1.021572E+07	9542966	8996252	1.354072E+07	4939404	5615598	5514914	5102583	3139798	3542535	2440658	3158715	1.099503E+07	9464728	7971295	1.083518E+07	1.921576E+07	1.308895E+07	1.269288E+07	3.336052E+07
10/16/2022 5:30:00 AM	76.0833333333333	2.950157E+07	2.652551E+07	1.926502E+07	3.456289E+07	1.423074E+07	1.235367E+07	1.173133E+07	1.833184E+07	6138558	6476533	6917638	7242363	4482553	4403602	3214469	4399944	1.485306E+07	1.13014E+07	1.092911E+07	1.409353E+07	2.759291E+07	1.798482E+07	1.940566E+07	4.428086E+07
10/16/2022 5:30:00 PM	88.0833333333333	3.663353E+07	3.369007E+07	2.511658E+07	4.335752E+07	1.900147E+07	1.709523E+07	1.537343E+07	2.603684E+07	8534006	8609614	9366645	1.02137E+07	7061211	6493640	4426852	5826943	2.055302E+07	1.517601E+07	1.332715E+07	1.833957E+07	3.829704E+07	2.607396E+07	2.593132E+07	6.035358E+07
10/17/2022 5:30:00 AM	100.083333333333	4.207727E+07	4.015014E+07	3.023164E+07	5.156236E+07	2.399855E+07	2.246721E+07	1.760946E+07	3.185577E+07	1.070688E+07	1.09881E+07	1.171011E+07	1.367005E+07	9203714	7992352	5597752	8114657	2.903602E+07	1.941309E+07	1.703907E+07	2.405238E+07	5.123138E+07	3.123997E+07	3.262864E+07	7.368722E+07
10/17/2022 5:30:00 PM	112.083333333333	5.266734E+07	4.839664E+07	3.607681E+07	6.457757E+07	2.911792E+07	2.729193E+07	2.193395E+07	3.913001E+07	1.417916E+07	1.46879E+07	1.448034E+07	1.813308E+07	1.195524E+07	1.005543E+07	7870598	1.221744E+07	3.917558E+07	2.585354E+07	2.367352E+07	2.938703E+07	6.50598E+07	3.698823E+07	3.938149E+07	8.639826E+07
10/18/2022 5:30:00 AM	124.083333333333	6.000655E+07	5.60095E+07	4.385947E+07	7.408977E+07	3.304143E+07	3.233006E+07	2.692549E+07	4.824909E+07	1.717301E+07	1.692628E+07	1.918439E+07	2.266655E+07	1.641822E+07	1.234601E+07	1.025724E+07	1.667238E+07	4.693931E+07	3.093544E+07	2.927832E+07	3.610163E+07	6.880409E+07	3.43921E+07	3.891296E+07	8.521831E+07
10/18/2022 5:30:00 PM	136.083333333333	6.580961E+07	6.240388E+07	5.063285E+07	8.187734E+07	3.600652E+07	3.524716E+07	3.151612E+07	5.721261E+07	2.057055E+07	2.104657E+07	2.16715E+07	2.909316E+07	2.25972E+07	1.633676E+07	1.292022E+07	2.144413E+07	5.327344E+07	3.529686E+07	3.430713E+07	4.127087E+07	5.763092E+07	2.492586E+07	2.945155E+07	6.319956E+07
10/19/2022 5:30:00 AM	148.083333333333	6.043547E+07	5.59306E+07	4.604873E+07	6.543506E+07	3.186816E+07	3.286736E+07	3.173728E+07	5.751857E+07	2.147591E+07	2.354044E+07	2.324181E+07	3.280989E+07	2.42278E+07	1.73105E+07	1.48026E+07	2.395999E+07	5.343602E+07	3.206702E+07	3.276187E+07	4.002154E+07	3.509791E+07	1.656229E+07	1.780833E+07	3.988865E+07
