Vessel Name: H1299-Nuc-RFP_Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
10/13/2022 1:25:00 AM	0	1332056	1378388	1319794	1552231	1485461	1547303	1446531	1441111	928533.2	1575486	1267455	1316203	1262290	1223644	1084770	1335171	1459167	1602202	1404140	1527874	1233324	1439157	1185900	2094859
10/13/2022 1:25:00 PM	12	1699387	1903024	1738018	2109533	2113322	2205645	2145400	2154355	1468374	2078671	1799110	1894192	1780045	1571967	1754776	1753046	2203650	2379032	2276969	2330587	1819008	1987341	1961718	2914412
10/14/2022 1:25:00 AM	24	2027331	2407858	2087497	2346884	2362441	2473018	2223052	2338925	1755187	2184228	2086671	2031539	2112379	1732953	2076844	1863550	2470605	2659195	2365153	2449675	2371664	1926965	1925305	3209852
10/14/2022 5:30:00 PM	40.0833333333333	2382867	2611735	2507857	2867025	2651720	2311758	2483669	2554984	1963916	2279286	2162466	2253855	2222646	1752123	2047612	2073746	2303799	2972946	2353929	2795447	2694049	2463192	2675394	3874506
10/15/2022 5:30:00 AM	52.0833333333333	3029023	3324832	3041321	3560459	3478476	3053756	3021634	3255820	2347277	2741065	2541204	2623343	2722045	2091524	2165315	2506297	2868556	3556107	2786891	3553057	3562983	3297767	3458801	5635514
10/15/2022 5:30:00 PM	64.0833333333333	3825498	4381268	3694211	4532380	3789273	3469210	3208783	3706710	2711413	3177209	2719912	2967979	3163615	2447214	2418896	2823061	3678200	4138766	3294623	4224295	4502544	4236963	4416869	7426125
10/16/2022 5:30:00 AM	76.0833333333333	4945190	5552450	4462644	5783822	4786057	4079875	3647930	4647622	3017066	3194700	3025174	3466410	3599502	2706352	2806537	3169547	4249905	4667509	4114208	4846667	6217758	5366037	6079767	9585985
10/16/2022 5:30:00 PM	88.0833333333333	6654663	7222039	6121992	7754823	5912623	5168529	4132504	5936704	3491889	3663713	3707344	4200115	3914699	3344603	3144903	3452498	5268568	5442590	4590891	5600948	8253207	7347698	7692002	1.226044E+07
10/17/2022 5:30:00 AM	100.083333333333	8867226	9366586	8098182	1.028749E+07	7429444	6768713	5336292	7485810	4002026	4458107	4383748	5107110	4861870	3587291	3617584	4188615	7069638	6996342	5895850	6811719	1.132538E+07	9632942	1.032532E+07	1.613631E+07
10/17/2022 5:30:00 PM	112.083333333333	1.166313E+07	1.223964E+07	1.090803E+07	1.396983E+07	9576349	8926644	7266712	9961100	4898822	5649361	5703720	6211925	5905453	4363903	4540667	5187115	9060569	8984468	7719766	8571311	1.510079E+07	1.263007E+07	1.36515E+07	2.096873E+07
10/18/2022 5:30:00 AM	124.083333333333	1.652117E+07	1.693959E+07	1.535201E+07	1.805555E+07	1.337206E+07	1.230571E+07	9758967	1.379553E+07	6587494	7261396	7399539	8172685	8134035	5494534	5678795	6656169	1.20263E+07	1.197075E+07	1.070993E+07	1.138759E+07	2.108086E+07	1.786414E+07	1.963701E+07	2.853258E+07
10/18/2022 5:30:00 PM	136.083333333333	2.177282E+07	2.045529E+07	2.021636E+07	2.135663E+07	1.765733E+07	1.598436E+07	1.363368E+07	1.865585E+07	8652137	9948673	9816643	1.103268E+07	1.119301E+07	7331356	7221593	8583055	1.557927E+07	1.567641E+07	1.431089E+07	1.485418E+07	2.925249E+07	2.523089E+07	2.771006E+07	3.766915E+07
10/19/2022 5:30:00 AM	148.083333333333	2.707771E+07	2.482476E+07	2.476975E+07	2.3224E+07	2.333849E+07	2.076098E+07	1.909643E+07	2.403897E+07	1.194732E+07	1.441859E+07	1.336051E+07	1.517131E+07	1.50193E+07	9493559	8983898	1.126087E+07	2.180436E+07	2.109564E+07	1.954874E+07	2.221609E+07	4.350585E+07	3.838441E+07	4.097657E+07	5.398306E+07
