Vessel Name: H1299-Nuc-RFP_Asp-sens_Rot_p2
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
10/13/2022 1:25:00 AM	0	3862.875	3801.188	3718.875	4458.75	4458.5	4129.875	3801	4171.063	3061.375	4109.375	3266.75	3677.875	4129.938	3616.313	2979.25	3492.875	4335.375	3924.375	3903.813	4417.563	4068.25	3616.188	3554.563	6246.5
10/13/2022 1:25:00 PM	12	4910.813	5198.375	4869.813	5856.125	4910.75	5342.25	4808	5588.813	4027.063	4993.125	4314.75	4746.375	4992.938	4109.438	4047.813	4376.438	5506.688	5239.625	5054.625	5814.813	4951.875	4849.125	4623	8178.188
10/14/2022 1:25:00 AM	24	6349.25	7212.188	5650.625	7972.688	6081.938	6616.375	5999.813	6266.938	5116.188	5630.063	5219.063	5321.688	5938.188	4828.563	4561.438	4869.563	6452.125	6472.438	6308.188	6410.938	7828.688	6534.125	5753.375	10705.63
10/14/2022 5:30:00 PM	40.0833333333333	9554.813	10726.13	9575.438	11774.19	9267.25	8589.188	7643.875	8856.188	6410.813	7705.438	7006.875	6842.375	7232.813	5547.688	5773.813	6308.188	8137.063	8897.313	7253.438	9123.375	10130.25	9842.5	9472.688	16397.88
10/15/2022 5:30:00 AM	52.0833333333333	12472.88	14712.81	12986.69	15740.31	12205.63	11876.88	9349.375	11856.5	8465.813	9534.313	8465.688	8506.813	8794.625	6904	6225.875	7561.563	10253.56	10828.94	8815.188	11219.5	14219.5	13151.06	13746.94	22788.69
10/15/2022 5:30:00 PM	64.0833333333333	17528.13	20980.13	17692.31	22562.56	15678.44	15514.13	12020.94	15493.63	10027.5	12000.31	10849.5	11219.44	10561.81	8712.375	8034.25	8897.375	13561.81	14301.81	11856.5	14034.5	20096.69	17733.44	18000.63	31522
10/16/2022 5:30:00 AM	76.0833333333333	25542.06	27473.81	24391.38	32241.31	21391.19	20918.69	15719.63	20240.5	12596.25	13130.56	12698.94	13931.81	13623.69	9863.125	9739.875	10746.81	17281.44	17774.81	14897.69	17343.06	28624.69	26405.13	25603.75	45495.5
10/16/2022 5:30:00 PM	88.0833333333333	36330.56	38878.69	34296.13	45495.44	30330.13	27946.31	21000.81	27966.88	15884	16706.13	16911.5	18000.56	17199.19	12411.13	10911.06	13726.44	25110.69	23487.31	19274.81	22891.38	41509	36885.31	35899.13	64072
10/17/2022 5:30:00 AM	100.083333333333	51865.69	54475.56	47694.25	65489.88	41344.5	39433.44	27740.94	38015.75	20466.5	21555.56	20815.88	23384.38	21946.13	15082.69	13376.94	17178.63	36741.5	31912.5	25685.94	30946.69	60928	54496	51516.44	86758.5
10/17/2022 5:30:00 PM	112.083333333333	76072.75	76997.38	68202.44	87518.63	57701.69	54146.69	38344.44	53961.81	26569.75	31008.38	29816.38	30371.19	29508.19	17671.81	17795.19	23055.75	48865.5	44057	35878.38	42515.81	87025.38	81353.94	74860.25	122719.5
10/18/2022 5:30:00 AM	124.083333333333	107019.9	108663.8	97957.69	125637.4	81641.5	75065.75	56941.38	74655	36536.06	42104.88	40214.25	40871.88	40460.94	25007.88	22829.75	30145.13	69908	59839	50797.19	60126.44	124116.8	118774.1	110143.4	159070.9
10/18/2022 5:30:00 PM	136.083333333333	148262.1	142343.9	132952.9	157077.9	110862.6	101471.6	79360.63	105684.2	49831.38	62345.81	55708.44	57311.38	56201.63	33351	29734.31	39885.63	94115.06	84991	70586.06	85689.81	167701.8	165297.5	153111.7	197415.9
10/19/2022 5:30:00 AM	148.083333333333	189258	180524.5	171112.8	175880.3	149618.4	131350	114746.3	141378.2	71141.06	89902.38	76257.69	76442.63	78929.13	44652.94	40769.19	54927.63	130035	115527.4	100896.3	117417.9	203991.6	198114.6	194806.2	223616.2
