Vessel Name: H1299_Asp-sens_MPA-Gua_Met-rescue_p1
Date Time	Elapsed	A1	B1	C1	A2	B2	C2	A3	B3	C3	A4	B4	C4
11/5/2023 9:00:00 PM	0	2.268984	2.286074	2.268949	2.450781	2.395763	2.37471	2.246805	2.281169	2.299576	2.176697	2.212199	2.170554
11/6/2023 5:00:00 AM	8	0.7182571	0.7252965	0.7557204	0.8415077	0.8484456	0.8725969	0.7259036	0.7393063	0.748073	0.6492863	0.6387968	0.6509885
11/6/2023 1:00:00 PM	16	0.452036	0.459414	0.488715	0.4111198	0.4226099	0.4432248	0.4095528	0.4320319	0.4249138	0.5628791	0.5520964	0.5636154
11/6/2023 9:00:00 PM	24	0.463	0.4679179	0.4983368	0.364424	0.3666842	0.3726776	0.3778268	0.4086922	0.4089354	0.7781445	0.7373079	0.7643937
11/7/2023 5:00:00 AM	32	0.5803575	0.5768731	0.6239567	0.3979011	0.4104524	0.4244638	0.4185083	0.4351347	0.4727313	1.054838	1.005088	1.037421
11/7/2023 1:00:00 PM	40	0.7638828	0.7358911	0.8262987	0.4725018	0.4785336	0.5117486	0.4660864	0.4830387	0.535225	1.403773	1.299268	1.378335
11/7/2023 9:00:00 PM	48	1.008788	0.9603601	1.105614	0.5806176	0.5877986	0.6554677	0.5278192	0.5512114	0.6120498	1.772472	1.598008	1.712645
11/8/2023 5:00:00 AM	56	1.235383	1.181387	1.415896	0.7286467	0.7462566	0.8203071	0.6487949	0.6944366	0.7491172	2.030073	1.849031	1.978847
11/8/2023 1:00:00 PM	64	1.456763	1.347117	1.679232	0.8914632	0.8849841	1.012319	0.7935957	0.8407775	0.9159802	2.187964	1.985799	2.159584
11/8/2023 9:00:00 PM	72	1.569555	1.442396	1.872572	1.022793	1.014625	1.196139	0.9375335	0.9923577	1.084704	2.239942	2.048635	2.25798
11/9/2023 5:00:00 AM	80	1.565417	1.45452	1.877394	1.076647	1.045231	1.278959	1.065972	1.088481	1.20666	2.335948	2.108352	2.379164
11/9/2023 1:00:00 PM	88	1.601103	1.407914	1.864347	1.064291	1.029347	1.308894	1.127217	1.160121	1.281866	2.537721	2.26037	2.566565
11/9/2023 9:00:00 PM	96	1.606498	1.409534	1.885984	0.9926444	0.9695866	1.255713	1.172669	1.174741	1.342658	2.786408	2.387889	2.81868
11/10/2023 5:00:00 AM	104	1.648126	1.411979	1.925961	0.9290668	0.8985895	1.109102	1.179191	1.141492	1.383659	2.977496	2.584051	2.999784
11/10/2023 10:40:00 AM	109.666666666667	1.642937	1.416907	1.921278	0.8471227	0.8544729	0.96876	1.178261	1.126825	1.345236	3.115974	2.694852	3.113429
