Vessel Name: H1299_Asp-sens_MPA-Gua_Met-rescue_p1													
Date Time	Elapsed	A1	B1	C1	A2	B2	C2	A3	B3	C3	A4	B4	C4
11/5/2023 21:00	0	9.01E+07	9.43E+07	9.03E+07	8.51E+07	8.16E+07	8.72E+07	7.47E+07	7.03E+07	8.12E+07	8.82E+07	8.43E+07	7.79E+07
11/6/2023 5:00	8	4.38E+07	4.54E+07	4.56E+07	4.59E+07	4.42E+07	4.89E+07	3.79E+07	3.53E+07	4.16E+07	4.68E+07	4.28E+07	4.22E+07
11/6/2023 13:00	16	3.31E+07	3.45E+07	3.63E+07	3.00E+07	2.89E+07	3.23E+07	2.65E+07	2.53E+07	2.84E+07	6.31E+07	5.82E+07	5.72E+07
11/6/2023 21:00	24	3.14E+07	3.24E+07	3.46E+07	2.62E+07	2.47E+07	2.77E+07	2.10E+07	2.10E+07	2.37E+07	1.15E+08	1.03E+08	1.01E+08
11/7/2023 5:00	32	3.14E+07	3.25E+07	3.45E+07	2.36E+07	2.33E+07	2.66E+07	1.75E+07	1.67E+07	2.02E+07	1.61E+08	1.47E+08	1.42E+08
11/7/2023 13:00	40	3.89E+07	4.09E+07	4.33E+07	2.57E+07	2.46E+07	2.95E+07	1.69E+07	1.55E+07	1.94E+07	1.95E+08	1.73E+08	1.71E+08
11/7/2023 21:00	48	5.31E+07	5.58E+07	5.99E+07	3.07E+07	2.91E+07	3.72E+07	1.97E+07	1.77E+07	2.28E+07	2.19E+08	1.90E+08	1.91E+08
11/8/2023 5:00	56	6.31E+07	6.57E+07	7.31E+07	3.64E+07	3.51E+07	4.48E+07	2.47E+07	2.24E+07	2.91E+07	2.41E+08	2.08E+08	2.09E+08
11/8/2023 13:00	64	7.04E+07	7.08E+07	8.09E+07	4.30E+07	4.00E+07	5.38E+07	3.05E+07	2.71E+07	3.55E+07	2.64E+08	2.29E+08	2.32E+08
11/8/2023 21:00	72	7.22E+07	7.16E+07	8.29E+07	4.85E+07	4.50E+07	6.36E+07	3.62E+07	3.24E+07	4.20E+07	2.93E+08	2.51E+08	2.60E+08
11/9/2023 5:00	80	6.66E+07	6.44E+07	7.68E+07	5.31E+07	4.73E+07	7.07E+07	4.01E+07	3.48E+07	4.52E+07	3.31E+08	2.85E+08	2.97E+08
11/9/2023 13:00	88	6.63E+07	5.97E+07	7.35E+07	5.65E+07	5.02E+07	7.92E+07	4.12E+07	3.65E+07	4.65E+07	3.86E+08	3.32E+08	3.49E+08
11/9/2023 21:00	96	7.22E+07	6.31E+07	8.06E+07	6.01E+07	5.41E+07	8.68E+07	4.16E+07	3.64E+07	4.71E+07	4.54E+08	3.84E+08	4.15E+08
11/10/2023 5:00	104	8.29E+07	7.09E+07	9.29E+07	6.54E+07	5.86E+07	8.95E+07	4.40E+07	3.66E+07	4.95E+07	5.16E+08	4.46E+08	4.74E+08
11/10/2023 10:40	109.6666667	9.08E+07	7.71E+07	9.98E+07	6.79E+07	6.30E+07	8.79E+07	4.80E+07	3.89E+07	5.31E+07	5.62E+08	4.89E+08	5.10E+08
