Compound	Sample Name	Height	Area	Actual RT	m/z (Delta)	Formula
2-hydroxybutyric acid neg	solvent_blank_2	31024	662468	4.65	.1440 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P9	58746	890824	4.64	.2921 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P8	517112	8071393	6.19	.5142 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P7	415982394	7427546709	4.73	.2181 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P6	309085836	4606339309	6.18	.7364 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P5	48758	1696647	14.06	.2921 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P4	0	0	0	0	C4H8O3
2-hydroxybutyric acid neg	P3	122871964	1751147852	5.77	1.5508 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P2	235653756	4499063497	4.76	.5883 (ppm)	C4H8O3
2-hydroxybutyric acid neg	P1	235874	4906282	4.68	.2181 (ppm)	C4H8O3
2-hydroxybutyric acid neg	solvent_blank_1	0	0	0	0	C4H8O3
2-hydroxybutyric acid pos	solvent_blank_2	865	3198	5.54	-2.3350 (ppm)	C4H8O3
2-hydroxybutyric acid pos	P9	0	0	0	0	C4H8O3
2-hydroxybutyric acid pos	P8	3107	11073	9.42	-.8099 (ppm)	C4H8O3
2-hydroxybutyric acid pos	P7	126592	762303	7.71	-1.3909 (ppm)	C4H8O3
2-hydroxybutyric acid pos	P6	66806	799499	7.61	-.4468 (ppm)	C4H8O3
2-hydroxybutyric acid pos	P5	0	0	0	0	C4H8O3
2-hydroxybutyric acid pos	P4	0	0	0	0	C4H8O3
2-hydroxybutyric acid pos	P3	0	0	0	0	C4H8O3
2-hydroxybutyric acid pos	P2	109910	469933	12.08	-1.8993 (ppm)	C4H8O3
2-hydroxybutyric acid pos	P1	0	0	0	0	C4H8O3
2-hydroxybutyric acid pos	solvent_blank_1	1528	5587	5.8	-.9552 (ppm)	C4H8O3
2-hydroxybutyric acid U-13C neg	solvent_blank_2	1058	3935	9.85	-1.2145 (ppm)	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P9	1223	4313	6.78	-.4305 (ppm)	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P8	644	2485	14.15	-.5018 (ppm)	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P7	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P6	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P5	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P4	994	3719	15.31	-.5018 (ppm)	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P3	7437	25491	9.95	3.6317 (ppm)	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P2	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	P1	688	2541	14.25	-1.4996 (ppm)	[13]C4H8O3
2-hydroxybutyric acid U-13C neg	solvent_blank_1	1842	6676	3.38	-1.5708 (ppm)	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	solvent_blank_2	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P9	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P8	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P7	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P6	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P5	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P4	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P3	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P2	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	P1	0	0	0	0	[13]C4H8O3
2-hydroxybutyric acid U-13C pos	solvent_blank_1	0	0	0	0	[13]C4H8O3
2-Hydroxyglutarate neg	solvent_blank_2	114894	4590666	8.89	-.5735 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P9	123860	5319741	8.16	-.4698 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P8	92856	2839264	9.7	-.7811 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P7	3250958	106711249	9.08	-1.0924 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P6	617034307	9187417566	10.32	-.7811 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P5	400432	8882720	10.01	-.0546 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P4	234412	7151219	8.73	-.6773 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P3	190638	5964900	8.79	-.1584 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P2	191731	7302259	9.58	-.7811 (ppm)	C5H8O5
2-Hydroxyglutarate neg	P1	191988	6799918	9.98	-1.4038 (ppm)	C5H8O5
2-Hydroxyglutarate neg	solvent_blank_1	140814	9943486	8.57	-.8849 (ppm)	C5H8O5
2-Hydroxyglutarate pos	solvent_blank_2	227313	2693366	1.89	3.2684 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P9	97869	1105548	1.91	2.8589 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P8	130322	1635269	1.93	3.1660 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P7	83706	883532	1.92	2.8589 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P6	93402	805651	1.91	3.1660 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P5	97044	1139961	1.92	2.3470 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P4	136765	1609577	1.91	3.0636 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P3	80492	1022579	1.9	3.3708 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P2	192251	2031267	1.9	3.0636 (ppm)	C5H8O5
2-Hydroxyglutarate pos	P1	47447	625696	1.94	3.0636 (ppm)	C5H8O5
2-Hydroxyglutarate pos	solvent_blank_1	196553	1901612	1.89	3.1660 (ppm)	C5H8O5
2-Hydroxyglutarate U-13C neg	solvent_blank_2	3866	87215	7.39	-1.6624 (ppm)	[13]C5H8O5
